total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,relief_buffer,soft_span,vg_cap,overheat_cap,overheat_hi_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
20.19288751386561,0.24118878591975346,0.2106861166994356,1.1447777845933385,-0.21809917516334554,911,1641,0.8194766636541497,0.026011560693641522,0.8,214.43231265068124,39.25277847272835,214.43231265068124,39.25277847272835,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs03_vg30_cap08_hi04__stressbond_511260_vr90_vb-1_cap20,0.02,0.03,0.3,0.08,0.04,-1.059463965891183e-05,-5.8410861158542104e-05,0.017333800795938714,False
20.192878990234263,0.2411887505978032,0.21070534531398877,1.1446731464661644,-0.21818674513200753,911,1641,0.8196688033921408,0.026011560693641522,0.8,214.50110544144266,39.26877853602593,214.50110544144266,39.26877853602593,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs03_vg32_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.02,0.03,0.32,0.08,0.06,-1.0629961609165406e-05,-0.00016304898833263692,0.08612659155735969,False
20.19198302191121,0.24118503762914645,0.2106950577291134,1.1447114148222377,-0.2181741226574314,911,1641,0.8195538402593433,0.026011560693641522,0.8,214.4725001267385,39.2666091851317,214.4725001267385,39.2666091851317,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs04_vg30_cap08_hi05__stressbond_511260_vr90_vb-1_cap20,0.04,0.04,0.3,0.08,0.05,-1.4342930265920373e-05,-0.00012478063225929148,0.05752127685320829,False
20.191931379321527,0.2411848236134322,0.21069516275069985,1.144709828477688,-0.21816406140206202,911,1641,0.8195604497258491,0.026011560693641522,0.8,214.47085549312493,39.264701709328435,214.47085549312493,39.264701709328435,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs05_vg30_cap08_hi05__stressbond_511260_vr90_vb-1_cap20,0.04,0.05,0.3,0.08,0.05,-1.4556945980181979e-05,-0.00012636697680901143,0.055876643239628265,False
20.19192431897221,0.24118479435410078,0.21070557072770085,1.1446531457195732,-0.21821797225460882,911,1641,0.8196499101283389,0.026011560693641522,0.8,214.50690989911183,39.274621332817134,214.50690989911183,39.274621332817134,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs04_vg31_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.04,0.04,0.31,0.08,0.06,-1.4586205311584166e-05,-0.00018304973492377918,0.09193104922653106,False
20.191872493905226,0.24118457958161588,0.2107056787922209,1.1446515393609802,-0.21820791815028528,911,1641,0.8196565195948448,0.026011560693641522,0.8,214.50526660380524,39.272715197788195,214.50526660380524,39.272715197788195,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs05_vg31_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.04,0.05,0.31,0.08,0.06,-1.4800977796491921e-05,-0.00018465609351681067,0.09028775391993804,False
20.19177099104349,0.24118415893391765,0.2106948986201553,1.1447081088029993,-0.21819089225117227,911,1641,0.8195477960128116,0.026011560693641522,0.8,214.4754470362631,39.26978846796373,214.4754470362631,39.26978846796373,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs03_vg30_cap08_hi05__stressbond_511260_vr90_vb-1_cap20,0.04,0.03,0.3,0.08,0.05,-1.522162549472128e-05,-0.00012808665149766085,0.060468186377789834,False
20.19171258941007,0.24118391690528562,0.21070540659053785,1.1446498730522678,-0.21823472992995896,911,1641,0.819643865881807,0.026011560693641522,0.8,214.5098545754604,39.27779838102896,214.5098545754604,39.27779838102896,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs03_vg31_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.04,0.03,0.31,0.08,0.06,-1.5463654126746107e-05,-0.00018632240222915541,0.09487572557509338,False
20.191646892863723,0.24118364464426167,0.21069645631378733,1.1446972049927133,-0.21817836577398575,911,1641,0.8196281573931359,0.026011560693641522,0.8,214.4738493789801,39.26718991432847,214.4738493789801,39.26718991432847,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs04_vg32_cap08_hi05__stressbond_511260_vr90_vb-1_cap20,0.02,0.04,0.32,0.08,0.05,-1.573591515069417e-05,-0.00013899046178367236,0.05887052909480417,False
20.19162098505778,0.24118353727636577,0.21069651027534786,1.1446964022383477,-0.21817333828439367,911,1641,0.8196314621263889,0.026011560693641522,0.8,214.47302764888917,39.26623676478425,214.47302764888917,39.26623676478425,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs05_vg32_cap08_hi05__stressbond_511260_vr90_vb-1_cap20,0.02,0.05,0.32,0.08,0.05,-1.5843283046601542e-05,-0.00013979321614931983,0.0580487990038705,False
