date,base_regime_mix,remove_159949,remove_159954,remove_159941,remove_513650,remove_513880,remove_511580,remove_518880,remove_512890,remove_511580_cap28_hi18_hm30,remove_511580_cap28_hi20_hm30,remove_511580_cap29_hi18_hm30,remove_511580_cap29_hi20_hm30,remove_511580_cap30_hi18_hm30
2014-09-26,1.0132795956743468,1.0132795956743468,1.0132795956743468,1.0132795956743468,1.0132795956743468,1.0132795956743468,1.0132795956743468,1.0158836458334501,1.0132795956743468,1.0132795956743468,1.0132795956743468,1.0132795956743468,1.0132795956743468,1.0132795956743468
2014-09-29,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.0221631967304268,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625
2014-09-30,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.0221631967304268,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625,1.019267674219625
2014-10-08,1.035532583914619,1.035532583914619,1.035532583914619,1.035532583914619,1.035532583914619,1.035532583914619,1.035532583914619,1.0384743115718698,1.035532583914619,1.035532583914619,1.035532583914619,1.035532583914619,1.035532583914619,1.035532583914619
2014-10-09,1.0361349879773964,1.0361349879773964,1.0361349879773964,1.0361349879773964,1.0361349879773964,1.0361349879773964,1.0361349879773964,1.0390784269363675,1.0361349879773964,1.0361349879773964,1.0361349879773964,1.0361349879773964,1.0361349879773964,1.0361349879773964
2014-10-10,1.0289061392240657,1.0289061392240657,1.0289061392240657,1.0289061392240657,1.0289061392240657,1.0289061392240657,1.0289061392240657,1.0318290425623928,1.0289061392240657,1.0289061392240657,1.0289061392240657,1.0289061392240657,1.0289061392240657,1.0289061392240657
2014-10-13,1.0204724823451798,1.0204724823451798,1.0204724823451798,1.0204724823451798,1.0204724823451798,1.0204724823451798,1.0204724823451798,1.0233714274594223,1.0204724823451798,1.0204724823451798,1.0204724823451798,1.0204724823451798,1.0204724823451798,1.0204724823451798
2014-10-14,1.015050845780182,1.015050845780182,1.015050845780182,1.015050845780182,1.015050845780182,1.015050845780182,1.015050845780182,1.0179343891789414,1.015050845780182,1.015050845780182,1.015050845780182,1.015050845780182,1.015050845780182,1.015050845780182
2014-10-15,1.0246893107846229,1.0246893107846229,1.0246893107846229,1.0246893107846229,1.0246893107846229,1.0246893107846229,1.0246893107846229,1.0276002350109077,1.0246893107846229,1.0246893107846229,1.0246893107846229,1.0246893107846229,1.0246893107846229,1.0246893107846229
2014-10-16,1.0266696745325898,1.0266696745325898,1.0266696745325898,1.0266696745325898,1.0266696745325898,1.0266696745325898,1.0266696745325898,1.0257084762612279,1.0266696745325898,1.0266696745325898,1.0266696745325898,1.0266696745325898,1.0266696745325898,1.0266696745325898
2014-10-17,1.0253724579332757,1.0253724579332757,1.0253724579332757,1.0253724579332757,1.0253724579332757,1.0253724579332757,1.0253724579332757,1.0238413473564498,1.0253724579332757,1.0253724579332757,1.0253724579332757,1.0253724579332757,1.0253724579332757,1.0253724579332757
2014-10-20,1.0271509176856395,1.0271509176856395,1.0271509176856395,1.0271509176856395,1.0271509176856395,1.0271509176856395,1.0271509176856395,1.0257172732040751,1.0271509176856395,1.0271509176856395,1.0271509176856395,1.0271509176856395,1.0271509176856395,1.0271509176856395
2014-10-21,1.0241341895242628,1.0241341895242628,1.0241341895242628,1.0241341895242628,1.0241341895242628,1.0241341895242628,1.0241341895242628,1.0230014260504379,1.0241341895242628,1.0241341895242628,1.0241341895242628,1.0241341895242628,1.0241341895242628,1.0241341895242628
2014-10-22,1.0217388398685736,1.0217388398685736,1.0217388398685736,1.0217388398685736,1.0217388398685736,1.0217388398685736,1.0217388398685736,1.0206087258176708,1.0217388398685736,1.0217388398685736,1.0217388398685736,1.0217388398685736,1.0217388398685736,1.0217388398685736
2014-10-23,1.0172633532535056,1.0172633532535056,1.0172633532535056,1.0172633532535056,1.0172633532535056,1.0172633532535056,1.0172633532535056,1.0161381894013335,1.0172633532535056,1.0172633532535056,1.0172633532535056,1.0172633532535056,1.0172633532535056,1.0172633532535056
2014-10-24,1.0169151457487244,1.0169151457487244,1.0169151457487244,1.0169151457487244,1.0169151457487244,1.0169151457487244,1.0169151457487244,1.0157903670382133,1.0169151457487244,1.0169151457487244,1.0169151457487244,1.0169151457487244,1.0169151457487244,1.0169151457487244
2014-10-27,1.01290723048641,1.01290723048641,1.01290723048641,1.01290723048641,1.01290723048641,1.01290723048641,1.01290723048641,1.011786884808271,1.01290723048641,1.01290723048641,1.01290723048641,1.01290723048641,1.01290723048641,1.01290723048641
2014-10-28,1.0213575552398162,1.0213575552398162,1.0213575552398162,1.0213575552398162,1.0213575552398162,1.0213575552398162,1.0213575552398162,1.0202278629161687,1.0213575552398162,1.0213575552398162,1.0213575552398162,1.0213575552398162,1.0213575552398162,1.0213575552398162
2014-10-29,1.0278626526191996,1.0278626526191996,1.0278626526191996,1.0278626526191996,1.0278626526191996,1.0278626526191996,1.0278626526191996,1.0255657639710887,1.0278626526191996,1.0278626526191996,1.0278626526191996,1.0278626526191996,1.0278626526191996,1.0278626526191996
2014-10-30,1.0226141534351851,1.0226141534351851,1.0226141534351851,1.0226141534351851,1.0226141534351851,1.0226141534351851,1.0226141534351851,1.0281145072898334,1.0226141534351851,1.0226141534351851,1.0226141534351851,1.0226141534351851,1.0226141534351851,1.0226141534351851
2014-10-31,1.0194566403013612,1.0194566403013612,1.0194566403013612,1.0194566403013612,1.0194566403013612,1.0194566403013612,1.0194566403013612,1.0365565032441195,1.0194566403013612,1.0194566403013612,1.0194566403013612,1.0194566403013612,1.0194566403013612,1.0194566403013612
2014-11-03,1.0112759734847565,1.0112759734847565,1.0112759734847565,1.0112759734847565,1.0112759734847565,1.0112759734847565,1.0112759734847565,1.035729620563469,1.0112759734847565,1.0112759734847565,1.0112759734847565,1.0112759734847565,1.0112759734847565,1.0112759734847565
2014-11-04,1.0094838537704651,1.0094838537704651,1.0094838537704651,1.0094838537704651,1.0094838537704651,1.0094838537704651,1.0094838537704651,1.0341734930338948,1.0094838537704651,1.0094838537704651,1.0094838537704651,1.0094838537704651,1.0094838537704651,1.0094838537704651
2014-11-05,1.007751329993971,1.007751329993971,1.007751329993971,1.007751329993971,1.007751329993971,1.007751329993971,1.007751329993971,1.0323985957346375,1.007751329993971,1.007751329993971,1.007751329993971,1.007751329993971,1.007751329993971,1.007751329993971
2014-11-06,1.0047066975924086,1.0047066975924086,1.0047066975924086,1.0047066975924086,1.0047066975924086,1.0047066975924086,1.0047066975924086,1.0321925296848877,1.0047066975924086,1.0047066975924086,1.0047066975924086,1.0047066975924086,1.0047066975924086,1.0047066975924086
