strategy,year,strategy_return,hs300_return,excess_return
hs300_partial_override_40,2020,0.35109750922354377,0.2742829597493357,0.07681454947420807
hs300_partial_override_40,2021,0.1199411296736399,-0.06111736032995996,0.18105849000359986
hs300_partial_override_40,2022,-0.04067916279628825,-0.21082164328657316,0.1701424804902849
hs300_partial_override_40,2023,0.07690782555378028,-0.11395289946821863,0.1908607250219989
hs300_partial_override_40,2024,0.37314720475299334,0.16478424558354998,0.20836295916944336
hs300_partial_override_40,2025,1.0046194931227803,0.21591199795344074,0.7887074951693396
hs300_partial_override_40,2026,0.10774782914704639,0.0037159372419488523,0.10403189190509754
hs300_partial_override_50,2016,-0.01968852158466694,0.09810333551340777,-0.11779185709807471
hs300_partial_override_50,2017,0.04996719467563571,0.20023557126030544,-0.15026837658466974
hs300_partial_override_50,2018,-0.11367013871372822,-0.260396518375242,0.1467263796615138
hs300_partial_override_50,2019,0.35351259063279894,0.35764003977461223,-0.004127449141813289
hs300_partial_override_50,2020,0.3507125970026681,0.2742829597493357,0.0764296372533324
hs300_partial_override_50,2021,0.11413701176069924,-0.06111736032995996,0.1752543720906592
hs300_partial_override_50,2022,-0.04067916279628736,-0.21082164328657316,0.1701424804902858
hs300_partial_override_50,2023,0.0769078255537805,-0.11395289946821863,0.19086072502199913
hs300_partial_override_50,2024,0.373147204752996,0.16478424558354998,0.20836295916944603
