date,hs300_benchmark,base_pool,plus_kc50,plus_hstech,plus_10y_bond,plus_germany,plus_china_internet,plus_30y_bond,plus_semiconductor,plus_solar,plus_convertible_bond,plus_kc50_convertible_bond,plus_csi500,plus_csi500_convertible_bond,plus_csi1000,plus_csi1000_convertible_bond,plus_hshares,plus_sse50,plus_financial,plus_india_lof,plus_dow,replace_div_lowvol_with_dividend
2023-06-09,0.9375609756097564,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.034459012598511,1.0761261312543589,,1.0699246227226487
2023-06-12,0.9385365853658538,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0462589252897487,1.0884013342724694,,1.082129086099713
2023-06-13,0.9456097560975614,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.0,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.0698587506722241,1.1129517403086906,,1.1065380128538418
2023-06-14,0.9456097560975614,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.0,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.0711698520823616,1.1143156517551474,,1.1078940643401822
2023-06-15,0.961463414634147,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.0,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.0777253591330493,1.1211352089874311,,1.1146743217718849
2023-06-16,0.9704878048780494,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.0,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.0882141704141495,1.132046500559085,,1.1255227336626088
2023-06-19,0.9631707317073177,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.0,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.0829697647735992,1.126590854773258,,1.1200985277172466
2023-06-20,0.9614634146341471,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.0,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.0816586633634617,1.1252269433268012,,1.1187424762309062
2023-06-21,0.9480487804878056,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.0,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.0855919675938743,1.1293186776661714,,1.1228106306899277
2023-06-26,0.9373170731707324,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.0,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.0777253591330493,1.1211352089874311,,1.1146743217718849
2023-06-27,0.9436585365853665,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0633032436215366,1.1061321830764073,,1.0997577554221396
2023-06-28,0.9456097560975614,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.0,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.0777253591330493,1.133575356159572,,1.1146743217718849
2023-06-29,0.9412195121951222,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.0,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.0855919675938746,1.1201403889754586,,1.122810630689928
2023-06-30,0.9468292682926832,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.0,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.0855919675938746,1.119020248586483,,1.122810630689928
2023-07-03,0.9578048780487807,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.0,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1052584887459376,1.139292354539137,,1.1431514029850354
2023-07-04,0.9595121951219513,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.0,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.0973918802851124,1.1311835121580753,,1.1350150940669923
2023-07-05,0.9529268292682928,1.1308020133786036,1.1308020133786036,1.116080950813405,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.0,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.09870298169525,1.1325349858882523,,1.1363711455533327
2023-07-06,0.9460975609756098,1.1321514191224922,1.1321514191224922,1.0997580118618377,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.0,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1000140831053875,1.1338864596184293,,1.1377271970396732
2023-07-07,0.9434146341463416,1.126753796146938,1.126753796146938,1.091596542386054,1.126753796146938,1.126753796146938,1.126753796146938,1.0,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938,1.0947696774648374,1.1284805646977216,,1.1323029910943112
2023-07-10,0.9473170731707319,1.117307955939718,1.117307955939718,1.0977176444928918,1.117307955939718,1.117307955939718,1.117307955939718,1.0,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.0855919675938748,1.1190202485864833,,1.1228106306899277
2023-07-11,0.9536585365853661,1.1227055789152722,1.1227055789152722,1.1120002160755131,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.0,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.0908363732344248,1.124426143507191,,1.1282348366352897
2023-07-12,0.9490243902439026,1.1240549846591608,1.1240549846591608,1.1242424202891885,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.0,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.1240549846591608,1.0921474746445625,1.1215958681345817,,1.1295908881216303
2023-07-13,0.9643902439024393,1.1429466650736002,1.1429466650736002,1.1650497676681062,1.1429466650736002,1.1429466650736002,1.1429466650736002,1.0,1.1429466650736002,1.1302464406170065,1.1429466650736002,1.1429466650736002,1.1429466650736002,1.1429466650736002,1.1429466650736002,1.1429466650736002,1.1429466650736002,1.1429466650736002,1.1105028943864876,1.141213134269255,,1.148575608930397
2023-07-14,0.9639024390243907,1.1469948823052658,1.1469948823052658,1.1609690329302145,1.1469948823052658,1.1469948823052658,1.1469948823052658,1.0,1.1469948823052658,1.1128721021285575,1.1469948823052658,1.1469948823052658,1.1469948823052658,1.1469948823052658,1.1469948823052658,1.1469948823052658,1.1469948823052658,1.1469948823052658,1.1144361986169002,1.1441099562747792,,1.1526437633894184
2023-07-17,0.9570731707317078,1.15239250528082,1.15239250528082,1.1446460939786476,1.15239250528082,1.15239250528082,1.15239250528082,1.0,1.15239250528082,1.1055565911860525,1.15239250528082,1.15239250528082,1.15239250528082,1.15239250528082,1.15239250528082,1.15239250528082,1.15239250528082,1.15239250528082,1.1196806042574503,1.149494003127837,,1.1580679693347804
2023-07-18,0.9556097560975616,1.1645371569758167,1.1645371569758167,1.1555523999115564,1.1645371569758167,1.1645371569758167,1.1645371569758167,1.0,1.1645371569758167,1.1160904483083955,1.1645371569758167,1.1645371569758167,1.1645371569758167,1.1645371569758167,1.1645371569758167,1.1645371569758167,1.1645371569758167,1.1645371569758167,1.131480516948688,1.1616081085472167,,1.1702724327118448
2023-07-19,0.9551219512195126,1.1820794316463679,1.1820794316463679,1.172959330617061,1.1820794316463679,1.1820794316463679,1.1820794316463679,1.0,1.1820794316463679,1.1329029347834931,1.1820794316463679,1.1820794316463679,1.1820794316463679,1.1820794316463679,1.1820794316463679,1.1820794316463679,1.1820794316463679,1.1820794316463679,1.1485248352804758,1.1791062608196545,,1.1879011020342714
2023-07-20,0.9482926829268296,1.167235968463594,1.167235968463594,1.158230389250865,1.167235968463594,1.167235968463594,1.167235968463594,1.0,1.167235968463594,1.11867698468918,1.167235968463594,1.167235968463594,1.167235968463594,1.167235968463594,1.167235968463594,1.167235968463594,1.167235968463594,1.167235968463594,1.134102719768963,1.1643001319737458,,1.172984535684526
