year,code,theme,name,gross_contribution,year_strategy_return_sum,year_gross_sum,contribution_share_of_gross
2022,159949,创业板50,创业板50ETF华安,0.12536613223909931,0.37578915498241783,0.42682222696724603,0.2937197838310323
2022,159954,H股,H股ETF,0.06596504924993715,0.37578915498241783,0.42682222696724603,0.15454923638500967
2022,159941,纳指ETF,纳指ETF广发,-0.11021952042798988,0.37578915498241783,0.42682222696724603,-0.258232850737757
2022,518880,黄金ETF,黄金ETF华安,-0.01746707651361379,0.37578915498241783,0.42682222696724603,-0.040923540083010246
2022,513880,日经ETF,日经225ETF华安,0.04658845806179779,0.37578915498241783,0.42682222696724603,0.10915190240402581
2022,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.043562369466190944,0.37578915498241783,0.42682222696724603,0.10206209216356926
2022,159985,豆粕,豆粕ETF,0.2730268148918245,0.37578915498241783,0.42682222696724603,0.6396733760371303
2022,511260,十年国债ETF,十年国债ETF,0.0,0.37578915498241783,0.42682222696724603,0.0
2023,510300,沪深300,沪深300ETF华泰柏瑞,-0.0024161519297735135,0.153237839430521,0.20341662705033592,-0.011877848752135838
2023,159949,创业板50,创业板50ETF华安,-0.0009363920980455243,0.153237839430521,0.20341662705033592,-0.0046033213293513705
2023,159954,H股,H股ETF,0.004661815471317499,0.153237839430521,0.20341662705033592,0.022917573351385487
2023,159941,纳指ETF,纳指ETF广发,0.120135815396523,0.153237839430521,0.20341662705033592,0.590589949005472
2023,518880,黄金ETF,黄金ETF华安,0.007566821090589282,0.153237839430521,0.20341662705033592,0.037198636120914806
2023,513880,日经ETF,日经225ETF华安,0.01706980172834307,0.153237839430521,0.20341662705033592,0.08391546932945214
2023,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.01697428410648657,0.153237839430521,0.20341662705033592,0.08344590288721208
2023,159985,豆粕,豆粕ETF,0.04036063328489552,0.153237839430521,0.20341662705033592,0.19841363938705062
2023,511260,十年国债ETF,十年国债ETF,0.0,0.153237839430521,0.20341662705033592,0.0
2024,510300,沪深300,沪深300ETF华泰柏瑞,-0.014742249289761733,0.2514388847444947,0.2976575167704528,-0.049527555862567525
2024,159949,创业板50,创业板50ETF华安,-0.03798709131863406,0.2514388847444947,0.2976575167704528,-0.1276201311184387
2024,159954,H股,H股ETF,0.2154373695996178,0.2514388847444947,0.2976575167704528,0.723776009210473
2024,159941,纳指ETF,纳指ETF广发,0.12664693527936638,0.2514388847444947,0.2976575167704528,0.4254787067145824
2024,518880,黄金ETF,黄金ETF华安,-0.008844807501827305,0.2514388847444947,0.2976575167704528,-0.029714712390912786
2024,513880,日经ETF,日经225ETF华安,0.013284156842431116,0.2514388847444947,0.2976575167704528,0.04462899840918708
2024,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.006754400761781466,0.2514388847444947,0.2976575167704528,0.02269185349345744
2024,159985,豆粕,豆粕ETF,-0.0073800046307890745,0.2514388847444947,0.2976575167704528,-0.02479361082784406
2024,511260,十年国债ETF,十年国债ETF,0.00448880702826826,0.2514388847444947,0.2976575167704528,0.015080442372063237
2025,510300,沪深300,沪深300ETF华泰柏瑞,0.018031875343387994,0.821599788863848,0.855841729445909,0.021069170528833916
2025,159949,创业板50,创业板50ETF华安,0.401424575452587,0.821599788863848,0.855841729445909,0.46904066679767786
2025,159954,H股,H股ETF,0.14760855310042964,0.821599788863848,0.855841729445909,0.17247178774046776
2025,159941,纳指ETF,纳指ETF广发,0.053446126190238405,0.821599788863848,0.855841729445909,0.06244860977372606
2025,518880,黄金ETF,黄金ETF华安,0.1582653946100629,0.821599788863848,0.855841729445909,0.18492367124062464
2025,513880,日经ETF,日经225ETF华安,0.049796194734348695,0.821599788863848,0.855841729445909,0.05818388262814418
2025,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.009943339775513767,0.821599788863848,0.855841729445909,0.011618199292468838
2025,159985,豆粕,豆粕ETF,0.01842033577836123,0.821599788863848,0.855841729445909,0.02152306337094239
2025,511260,十年国债ETF,十年国债ETF,-0.0010946655390207116,0.821599788863848,0.855841729445909,-0.0012790513728857583
2026,510300,沪深300,沪深300ETF华泰柏瑞,-0.009030315969729197,0.23421055500645563,0.2642527046874503,-0.034173031380738246
2026,159949,创业板50,创业板50ETF华安,0.14577520634022206,0.23421055500645563,0.2642527046874503,0.5516507636606419
2026,159954,H股,H股ETF,0.0,0.23421055500645563,0.2642527046874503,0.0
2026,159941,纳指ETF,纳指ETF广发,0.12168269090277349,0.23421055500645563,0.2642527046874503,0.4604785069151739
2026,518880,黄金ETF,黄金ETF华安,0.007039141868164317,0.23421055500645563,0.2642527046874503,0.026637917959969375
2026,513880,日经ETF,日经225ETF华安,0.08463906067785247,0.23421055500645563,0.2642527046874503,0.320295910605573
2026,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.010226369135690618,0.23421055500645563,0.2642527046874503,0.038699203278869145
2026,159985,豆粕,豆粕ETF,-0.09607944826752346,0.23421055500645563,0.2642527046874503,-0.3635892710394891
2026,511260,十年国债ETF,十年国债ETF,0.0,0.23421055500645563,0.2642527046874503,0.0
