date,hs300_benchmark,base_pool,resource_risk,resource_cap_70,resource_cap_60,resource_abs_08,resource_abs_10,resource_margin_03,resource_margin_05,resource_margin_03_cap_70
2024-07-08,0.8437172774869109,1.0901473658202394,1.161001320864382,1.1669916942953564,1.1688776956350138,1.1974991777365358,1.1405147839215877,1.1532141249854522,1.1319812128172146,1.159655645808519
2024-07-09,0.8534031413612565,1.0948666184861278,1.1660273006083834,1.172043606391873,1.1739377722394944,1.2026831568609364,1.1454520773584775,1.158206393924783,1.1368815643878518,1.1646758001193784
2024-07-10,0.8513089005235602,1.0863719636875286,1.1569805370691806,1.1629501646181433,1.1648296343514295,1.1933519944370155,1.1365649491720757,1.1492203098339875,1.1280609315607049,1.1556395223598317
2024-07-11,0.8633507853403141,1.0995858711520166,1.1710532803523852,1.17709551848839,1.1789978488439752,1.2078671359853372,1.1503893707953678,1.1631986628641142,1.1417819159584894,1.169695954430238
2024-07-12,0.8659685863874345,1.0590002982253757,1.127829854553971,1.1336490744583465,1.1354811900454422,1.1632849155154923,1.107928647238114,1.120265149985868,1.0996388924510088,1.1265226273568474
2024-07-15,0.8678010471204186,1.0892035152870618,1.1599961249155812,1.1659813118760531,1.1678656803141176,1.1964623819116558,1.1395273252342097,1.152215671197586,1.1310011425030873,1.1586516149463473
2024-07-24,0.8554973821989527,1.0306847822300447,1.097673976089961,1.1033376018792462,1.1051207304185586,1.1321810407690887,1.078304886616774,1.090311536349882,1.070236783027185,1.096401701491691
2024-07-25,0.8502617801047119,1.0089547521807065,1.0745316061859416,1.0800758251879035,1.081821359850398,1.1083111549792042,1.0555708771577104,1.067324389497126,1.0476728742006967,1.073286155079905
2024-07-26,0.8541884816753926,1.0124397845516704,1.0782431476828107,1.0838065169813065,1.0855580808981262,1.1121393744745331,1.059216926367341,1.0710110365342478,1.051291642904525,1.0769933946619343
2024-07-29,0.8489528795811518,1.018041320555919,1.0842087546307382,1.0898029044397453,1.0915641592522543,1.118292519424897,1.0650772667449997,1.0769366303064747,1.057108134984894,1.0829520870884752
2024-07-30,0.8429319371727749,1.019099614856107,1.0853358326010245,1.090935797750468,1.0926988834571574,1.1194550288195098,1.066184456775401,1.0780561486153137,1.0582070407869946,1.0840778587030466
2024-07-31,0.8630890052356022,1.0254477325904718,1.092096545240141,1.0977313933760549,1.0995054615966013,1.1264282748277292,1.0728258727464157,1.0847715150583013,1.064798764289116,1.0908307352422424
2024-08-01,0.8565445026178011,1.0116615193625071,1.0774142992711824,1.0829733919927147,1.0847236094776342,1.111284469942078,1.0584027034632806,1.0701877474659371,1.0504835121872074,1.076165506938819
2024-08-02,0.8471204188481677,1.0144398963454277,1.0803732564252027,1.0859476163630595,1.0877026405584076,1.1143364464516816,1.0613094481142151,1.0731268579767697,1.0533685079642907,1.0791210344715614
2024-08-05,0.836910994764398,0.9887266367558921,1.052988767609126,1.0584218328634398,1.060132372025339,1.0860910842366136,1.0344081743743905,1.0459260454189565,1.0266685152034531,1.0517682860358404
2024-08-06,0.836910994764398,0.9874424069205815,1.051621069459466,1.0570470778547478,1.0587553952443751,1.0846803903983067,1.0330646100462568,1.0445675208449017,1.0253350037057511,1.0504021731361288
2024-08-07,0.8350785340314137,0.9910844696972241,1.0554998475283115,1.0609458691041733,1.0626604874174108,1.0886811038037028,1.0368749448422374,1.0484202827464524,1.0291168287766748,1.0542764554522126
2024-08-08,0.8361256544502619,0.9905289290751964,1.054908199631715,1.0603511685048996,1.0620648257092171,1.0880708565482073,1.0362937369135141,1.0478326032157648,1.028539969567719,1.0536854933135062
2024-08-09,0.8329842931937174,0.9992323988202952,1.064177350011728,1.0696681445601866,1.0713968591375838,1.097631396884301,1.0453993277968445,1.0570395825298684,1.0375774305080223,1.0629439001532397
2024-08-12,0.8319371727748692,1.006824787321339,1.072263204598548,1.0777957194169263,1.0795375691495632,1.1059714427094043,1.0533425028227288,1.0650712027825973,1.0454611730304146,1.0710203827155604
2024-08-13,0.8332460732984295,1.0136764549930126,1.0795601953232392,1.0851303601413012,1.0868840635506178,1.1134978255271804,1.0605107339436486,1.0723192503277428,1.0525757699408662,1.078308915759606
2024-08-14,0.8269633507853404,1.010343211260847,1.0760103079436596,1.0815621565456592,1.0833100933014561,1.1098363419942083,1.0570234863713093,1.068793173143618,1.049114614687133,1.0747631429273676
2024-08-15,0.8369109947643981,1.0079358685653939,1.0734465003917408,1.0789851206154732,1.0807288925659502,1.1071919372203949,1.0545049186801752,1.066246561843972,1.0466148914483255,1.0722023069929731
2024-08-16,0.8374345549738222,1.0097876706388191,1.0754186600470628,1.0809674559463853,1.0827144315932622,1.1092260947387127,1.056442278442586,1.0682054936129304,1.0485377554781774,1.074172180788661
2024-08-19,0.8397905759162306,1.0185744529592016,1.084776537889969,1.0903736172682101,1.0921357944224677,1.1188781518215556,1.0656350311416274,1.0775006052673195,1.0576617260711838,1.0835192122504627
2024-08-20,0.835602094240838,1.0184725955139056,1.08466806023618,1.0902645799064834,1.0920265808430254,1.1187662640063734,1.0655284676385133,1.0773928552067928,1.0575559598985766,1.0834108603292376
2024-08-21,0.8316753926701573,1.0229063597606558,1.089389996286546,1.0950108795469253,1.0967805510843156,1.1236366413573897,1.0701670824078449,1.0820831197678238,1.0621598675781643,1.0881273233526192
2024-08-22,0.829319371727749,1.020319997283385,1.0866355335904991,1.0922422047566676,1.0940074017768964,1.1207955879026301,1.0674612237924015,1.0793471321072226,1.0594742547650715,1.0853760532556467
2024-08-23,0.8329842931937176,1.0168099339213743,1.0828973342172927,1.0884847175413177,1.0902438420025418,1.1169398724997421,1.0637889871000141,1.0756340059964065,1.0558294945187314,1.0816421866954697
2024-08-26,0.8332460732984297,1.023091099937604,1.0895867436219782,1.0952086420319438,1.096978633177703,1.1238395737470155,1.070360358023234,1.082278547457867,1.062351697064814,1.0883238426452602
2024-08-27,0.8287958115183249,1.0223976813782334,1.088848256433381,1.094466344499677,1.0962351360018163,1.1230778710812033,1.0696349018663842,1.0815450135318445,1.0616316689232648,1.0875862114107184
2024-08-28,0.8235602094240843,1.0211870620203485,1.0875589530624454,1.093170388760205,1.094937085839331,1.1217480364817054,1.068368348995956,1.0802643579184235,1.0603745926673702,1.0862984024251505
2024-08-29,0.8209424083769639,1.0221193274824822,1.0885518109703476,1.0941683694784996,1.0959366794165526,1.1227721064004519,1.069343687354273,1.0812505564204578,1.061342633339284,1.0872901095470058
2024-08-30,0.8327225130890058,1.0201988142022984,1.0865064742342876,1.0921124794979076,1.0938774668662485,1.1206624713676487,1.0673344417628574,1.0792189383921338,1.059348421345295,1.0852471434875137
2024-09-02,0.8170157068062832,1.0156169723710384,1.0816268363203052,1.0872076643056678,1.0889647248926368,1.1156294345531037,1.0625409078701158,1.0743720297227883,1.0545907536797094,1.0803731613870988
2024-09-03,0.8201570680628276,1.0170966547201494,1.0832026903888834,1.0887916492472898,1.0905512697476982,1.1172548280108392,1.0640889550860986,1.0759373140494652,1.0561272180813555,1.081947188939657
2024-09-04,0.8146596858638747,1.0114759060738137,1.0772166220762454,1.0827746948504313,1.084524591216462,1.1110805784613882,1.0582085143962936,1.0699913961532457,1.0502907760835962,1.0759680588644405
2024-09-05,0.816492146596859,1.0185948967919825,1.0847983104664167,1.0903955021837755,1.0921577147067336,1.1189006088523317,1.065656419528425,1.077522231808346,1.0576829544255801,1.0835409595910972
2024-09-06,0.8091623036649218,1.0213718730645889,1.0877557758711782,1.0933682271079408,1.095135243918039,1.121951046717251,1.0685616987528757,1.0804598605755444,1.0605664957408083,1.086494997103614
2024-09-09,0.7984293193717281,1.0153461122506604,1.0813383716893867,1.0869177112949948,1.088674303282428,1.1153319015941632,1.0622575333637405,1.0740854999136007,1.0543094994408952,1.0800850311052042
2024-09-10,0.7984293193717281,1.0104912273201492,1.0761679442832468,1.0817206062353468,1.0834687990652256,1.10999893387386,1.0571783411269,1.0689497521673939,1.0492683107869254,1.074920596556319
2024-09-11,0.7965968586387437,1.0144323007496348,1.0803651671548662,1.0859394853548294,1.0876944964094737,1.1143281028827283,1.061301501583713,1.0731188229636786,1.0533606208913986,1.0791129545772096
2024-09-12,0.7937172774869112,1.0119099702962868,1.0776788982339758,1.083239356196502,1.0849900035121112,1.1115573869790198,1.05866263342499,1.0704505716814374,1.050741497298362,1.076429799214431
2024-09-13,0.7897905759162307,1.0157412740778184,1.081759216996792,1.0873407280215905,1.0890980036558027,1.1157659768191568,1.0626709526133262,1.0745035224810278,1.0547198254008439,1.0805053886258842
2024-09-18,0.792408376963351,1.0062179254402945,1.0716168998258486,1.0771460799305892,1.0788868797663436,1.1053048203550921,1.0527076024699598,1.0644292329764247,1.0448310231354048,1.0703748270515798
2024-09-19,0.7994764397905761,1.004021858854374,1.0692781002406737,1.0747952129320155,1.0765322134791113,1.1028924970184981,1.050410072350411,1.062106120445316,1.0425506836186575,1.0680387382852523
