date,nav,strategy_return,current_momentum,signal,holding,exposure,trade_cost_rate,turnover,drawdown,weight_510300,weight_159949,weight_159954,weight_159941,weight_513880,weight_518880,weight_512890,weight_159985,weight_511260,effective_momentum,signal_risk_winner,signal_defensive_winner,top2_close_risk_cap_triggered,stress_bond_trigger,weak_market_trigger,target_weight_510300,target_weight_159949,target_weight_159954,target_weight_159941,target_weight_513880,target_weight_518880,target_weight_512890,target_weight_159985,target_weight_511260
2025-04-11,2.5721875638471743,0.015214963707425921,0.11293037490436109,518880,518880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.05161768337861239,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-14,2.591285340342121,0.007424721572941051,0.12273980999080614,518880,518880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.047288932904184455,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-15,2.590578015286753,-0.0002729630135116512,0.1193459657701712,518880,518880,1.0,0.0,0.0,-0.0002729630135115402,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.042754163559532876,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-16,2.65352994521454,0.024300341296928263,0.15342044581091474,518880,518880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.04337050805452314,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-17,2.675457021930961,0.008263361322137897,0.1592093165798345,518880,518880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.024074074074074137,159941,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-18,2.6818229474292763,0.002379378717779268,0.15330798479087449,518880,518880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.026095060577819185,159941,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-21,2.731689363832748,0.018594223921930553,0.15750037464408817,518880,518880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.012393493415956636,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-22,2.8229342959752715,0.03340238218539615,0.19544705706155474,518880,518880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.010769230769230753,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-23,2.6524689576314877,-0.060385868203457815,0.11491006392151037,518880,518880,1.0,0.0,0.0,-0.060385868203457815,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01449275362318836,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-24,2.6814692849015915,0.01093333333333324,0.11499999999999999,518880,518880,1.0,0.0,0.0,-0.050112753695815804,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.017584097859327352,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
