date,hs300_benchmark,base_pool,plus_resources
2023-08-30,0.940975609756098,8.631288403884895,1.131600626197763
2023-08-31,0.9363414634146344,8.645009855145975,1.1349246404794446
2023-09-01,0.9419512195121954,8.553039269061806,1.1335485632935283
2023-09-04,0.95609756097561,8.426834528236459,1.1368690954576368
2023-09-05,0.9495121951219514,8.518271534836249,1.137272777337959
2023-09-06,0.9470731707317077,8.649075830257509,1.1364022893791734
2023-09-07,0.934146341463415,8.657852905095824,1.1360868664822399
2023-09-08,0.9290243902439029,8.529155091641696,1.1425441985830271
2023-09-11,0.9358536585365859,8.596683686171048,1.1443577608030002
2023-09-12,0.9346341463414638,8.520496630068637,1.1445591879116124
2023-09-13,0.928536585365854,8.41183368295531,1.1467747886273234
2023-09-14,0.9278048780487809,8.376477464322923,1.1538210238877062
2023-09-15,0.9236585365853662,8.518051731325563,1.1449764027986717
2023-09-18,0.9268292682926833,8.465181065406991,1.1401427293303923
2023-09-19,0.9256097560975614,8.308494461841098,1.1471993156304037
2023-09-20,0.9212195121951222,8.359522723506277,1.154245067075381
2023-09-21,0.9126829268292684,8.339142520088064,1.1421177249139074
2023-09-22,0.9309756097560977,8.311466763252836,1.1373027959815254
2023-09-25,0.9241463414634149,8.333950911797391,1.1302777486933189
2023-09-26,0.9190243902439026,8.312543967073264,1.1222757823308884
2023-09-27,0.9214634146341466,8.183516325516726,1.1081377648499895
2023-09-28,0.918048780487805,8.175828972437053,1.1063217677506902
2023-10-09,0.9156097560975611,8.149249799026553,1.1035327212773691
2023-10-10,0.9090243902439026,8.059942951913934,1.0914392120030967
2023-10-11,0.9109756097560977,8.056718974733169,1.0895261178060272
2023-10-12,0.9197560975609759,8.052690615245803,1.0893823515646293
2023-10-13,0.9112195121951222,8.044196215862632,1.087592271130058
2023-10-16,0.9007317073170733,8.078173813395315,1.0912673453302866
2023-10-17,0.903658536585366,8.120645810311169,1.0968951177471504
2023-10-18,0.8968292682926832,8.078173813395315,1.0911582185957533
2023-10-19,0.878048780487805,7.904331682819037,1.0682106219901646
2023-10-20,0.8736585365853659,7.904331682819037,1.0788769881371232
2023-10-23,0.864390243902439,7.900379516977628,1.0730096997526488
2023-10-24,0.8656097560975609,7.905563493038637,1.073713774358786
2023-10-25,0.8704878048780487,7.874459636672584,1.0694893267219645
2023-10-26,0.8736585365853657,7.931483373343681,1.0772341473894704
2023-10-27,0.8868292682926829,7.947035301526708,1.0793463712078812
2023-10-30,0.8907317073170731,7.964315221730071,1.0816932865616709
2023-10-31,0.8887804878048781,7.983323133953769,1.0842748934508395
2023-11-01,0.8882926829268294,7.953947269608052,1.080285137349397
2023-11-02,0.8841463414634148,7.971227189811415,1.0826320527031867
2023-11-03,0.8909756097560977,7.95887377485803,1.0819279780970497
2023-11-06,0.9026829268292682,8.074389178242578,1.0775018928806919
2023-11-07,0.8999999999999998,8.057945789165121,1.0741192839298566
2023-11-08,0.8973170731707316,8.099075244490507,1.073043915408895
2023-11-09,0.8980487804878047,8.079905835627807,1.0730522263308848
2023-11-10,0.891463414634146,7.92833214537021,1.0731187135780655
2023-11-13,0.8902439024390242,7.899723018226692,1.0692463998109423
2023-11-14,0.8902439024390242,7.959600333093525,1.0730163298234974
2023-11-15,0.8963414634146339,8.024798424559139,1.076594620348578
2023-11-16,0.8875609756097558,8.013954102363789,1.0732074753774135
2023-11-17,0.8863414634146338,7.8702182081420355,1.0756556784359623
2023-11-20,0.8890243902439022,7.79393396415139,1.0662448676010021
2023-11-21,0.8902439024390242,7.856749726280336,1.0651130729604703
2023-11-22,0.880731707317073,7.804961957052469,1.0619054693749381
2023-11-23,0.8853658536585364,7.741817016363944,1.0604894409403607
2023-11-24,0.8792682926829268,7.707610627357535,1.054129209624925
2023-11-27,0.8734146341463415,7.663466236593747,1.0470437225664155
2023-11-28,0.8743902439024389,7.68995287105202,1.0477847073546933
2023-11-29,0.8678048780487806,7.698781749204779,1.0468906930992712
2023-11-30,0.8687804878048782,7.689952871052021,1.0446444402474493
2023-12-01,0.8653658536585368,7.645808480288232,1.0386476294538358
2023-12-04,0.8595121951219514,7.654637358440989,1.0398469916125583
2023-12-05,0.8434146341463417,7.566348576913412,1.0326447293562453
2023-12-06,0.8446341463414636,7.672295114746505,1.0396874896587602
2023-12-07,0.8424390243902441,7.59482259184387,1.0326447293562453
2023-12-08,0.8441463414634147,7.597257043965064,1.0396874896587602
2023-12-11,0.8500000000000001,7.658104640427026,1.0458499049234606
2023-12-12,0.8519512195121951,7.73633726444955,1.0502516301125326
2023-12-13,0.8378048780487806,7.816221466090328,1.0609901580159304
2023-12-14,0.8339024390243903,7.904366181199142,1.073957815502792
2023-12-15,0.8321951219512195,7.808923779450305,1.0609901580159304
2023-12-18,0.8287804878048781,7.853908386369124,1.0625549213703618
2023-12-19,0.8292682926829268,7.86585435952271,1.0669311772244408
2023-12-20,0.8217073170731708,7.878073415991686,1.0730579354201513
2023-12-21,0.8292682926829268,7.879442325360235,1.0616796701995461
2023-12-22,0.8307317073170735,7.90955702349842,1.0647781748241703
2023-12-25,0.8329268292682926,7.912002644170829,1.0660668624790255
2023-12-26,0.8280487804878048,7.957116743829342,1.0721455569435618
2023-12-27,0.8304878048780487,7.9677473627588435,1.0735779314103138
2023-12-28,0.8509756097560978,7.934561434609052,1.0691064442417437
2023-12-29,0.8534146341463417,7.915499425156538,1.0662978633059752
2024-01-02,0.8421951219512196,7.940022487058917,1.0686387266427904
2024-01-03,0.8397560975609757,7.9359384634907775,1.068089062488495
2024-01-04,0.8324390243902439,7.9196002672116625,1.065890122964607
2024-01-05,0.8282926829268293,7.937309113218757,1.0659380767528028
