total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,risk_cap,enter_days,exit_days,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
19.62561853912785,0.23880827370057456,0.2125753851010367,1.1234051091431372,-0.2337448813253289,885,1570,0.8235016011644832,0.026011560693641522,0.8,218.85781775680374,41.320738151200935,218.85781775680374,41.320738151200935,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc188_en03_ex01,0.188,3.0,1.0,-0.023573107607959276,-0.12067150686164929,28.987735765921457,False
19.439968734751602,0.23801597887832515,0.2121170773354175,1.1220972015466446,-0.23407644075235423,885,1573,0.8235016011644832,0.026011560693641522,0.8,218.7150697503022,41.42631435555488,218.7150697503022,41.42631435555488,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc184_en03_ex02,0.184,3.0,2.0,-0.024365402430208682,-0.12197941445814187,28.844987759419922,False
19.437247000591086,0.23800431371505293,0.21211881959508003,1.122032991553444,-0.23408992413067542,885,1573,0.8235016011644832,0.026011560693641522,0.8,218.7216119472005,41.430830357954605,218.7216119472005,41.430830357954605,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc186_en03_ex02,0.186,3.0,2.0,-0.024377067593480906,-0.12204362445134254,28.851529956318217,False
19.434524364657342,0.23799264324244862,0.21212058301068978,1.1219686456851528,-0.23410340900210458,885,1573,0.8235016011644832,0.026011560693641522,0.8,218.72815516997383,41.43534683563186,218.72815516997383,41.43534683563186,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc188_en03_ex02,0.188,3.0,2.0,-0.024388738066085214,-0.12210797031963372,28.858073179091548,False
18.767628079868416,0.23508956052468055,0.2111150000671104,1.1135616154699997,-0.23312364401301577,883,1579,0.8235016011644832,0.026011560693641522,0.8,232.52453714267406,41.335831059490204,232.52453714267406,41.335831059490204,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc184_en02_ex03,0.184,2.0,3.0,-0.027291820783853282,-0.13051500053478682,42.65445515179178,False
18.767327956495066,0.2350882336833331,0.21111748953188583,1.1135421996756307,-0.23311812793437414,883,1579,0.8235016011644832,0.026011560693641522,0.8,232.48148688030253,41.33359995744162,232.48148688030253,41.33359995744162,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc186_en02_ex03,0.186,2.0,3.0,-0.027293147625200742,-0.13053441632915574,42.61140488942024,False
18.767026002355493,0.23508689872930133,0.21112001101739614,1.1135225770234085,-0.2331126147101572,883,1579,0.8235016011644832,0.026011560693641522,0.8,232.4384896798129,41.3313696905024,232.4384896798129,41.3313696905024,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc188_en02_ex03,0.188,2.0,3.0,-0.027294482579232504,-0.13055403898137796,42.56840768893062,False
18.046121846775538,0.23184441621007723,0.2116763032921857,1.095278085473992,-0.23429954578723866,882,1568,0.8235016011644832,0.026011560693641522,0.8,233.00683523916317,41.49776493607179,233.00683523916317,41.49776493607179,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc188_en03_ex03,0.188,3.0,3.0,-0.030536965098456603,-0.1487985305307944,43.13675324828088,False
18.04501946041105,0.231839371141924,0.21167425246144056,1.0952648630903128,-0.234290848277377,882,1568,0.8235016011644832,0.026011560693641522,0.8,233.04367504871485,41.494771977206184,233.04367504871485,41.494771977206184,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc186_en03_ex03,0.186,3.0,3.0,-0.030542010166609845,-0.14881175291447368,43.17359305783256,False
18.043915739690796,0.23183431969523327,0.21167222688199377,1.0952514796590662,-0.23428215242867367,882,1568,0.8235016011644832,0.026011560693641522,0.8,233.08051586110207,41.4917795471147,233.08051586110207,41.4917795471147,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc184_en03_ex03,0.184,3.0,3.0,-0.030547061613300563,-0.14882513634572025,43.21043387021979,False
