date,baseline_cf60top2_nav,baseline_cf60top2__prs_rc184_en01_ex01_nav,baseline_cf60top2__prs_rc186_en01_ex01_nav,baseline_cf60top2__prs_rc188_en01_ex01_nav,baseline_cf60top2__prs_rc184_en01_ex02_nav,baseline_cf60top2__prs_rc186_en01_ex02_nav,baseline_cf60top2__prs_rc188_en01_ex02_nav,baseline_cf60top2__prs_rc184_en01_ex03_nav,baseline_cf60top2__prs_rc186_en01_ex03_nav,baseline_cf60top2__prs_rc188_en01_ex03_nav,baseline_cf60top2__prs_rc184_en01_ex05_nav,baseline_cf60top2__prs_rc186_en01_ex05_nav,baseline_cf60top2__prs_rc188_en01_ex05_nav,baseline_cf60top2__prs_rc184_en02_ex01_nav,baseline_cf60top2__prs_rc186_en02_ex01_nav,baseline_cf60top2__prs_rc188_en02_ex01_nav,baseline_cf60top2__prs_rc184_en02_ex02_nav,baseline_cf60top2__prs_rc186_en02_ex02_nav,baseline_cf60top2__prs_rc188_en02_ex02_nav,baseline_cf60top2__prs_rc184_en02_ex03_nav,baseline_cf60top2__prs_rc186_en02_ex03_nav,baseline_cf60top2__prs_rc188_en02_ex03_nav,baseline_cf60top2__prs_rc184_en02_ex05_nav,baseline_cf60top2__prs_rc186_en02_ex05_nav,baseline_cf60top2__prs_rc188_en02_ex05_nav,baseline_cf60top2__prs_rc184_en03_ex01_nav,baseline_cf60top2__prs_rc186_en03_ex01_nav,baseline_cf60top2__prs_rc188_en03_ex01_nav,baseline_cf60top2__prs_rc184_en03_ex02_nav,baseline_cf60top2__prs_rc186_en03_ex02_nav,baseline_cf60top2__prs_rc188_en03_ex02_nav,baseline_cf60top2__prs_rc184_en03_ex03_nav,baseline_cf60top2__prs_rc186_en03_ex03_nav,baseline_cf60top2__prs_rc188_en03_ex03_nav,baseline_cf60top2__prs_rc184_en03_ex05_nav,baseline_cf60top2__prs_rc186_en03_ex05_nav,baseline_cf60top2__prs_rc188_en03_ex05_nav,hs300_benchmark
2019-11-11,2.471107912151862,2.247458371390059,2.2473720612942296,2.2472856400269023,2.277985195200112,2.2779068382519414,2.2778283532032675,2.17138340778949,2.1716009591037437,2.1718183890502685,2.072573120567251,2.0730525411426854,2.073531920084497,2.243173602579332,2.2431506609723493,2.243127625889495,2.246835514984071,2.2468437222883653,2.24685182413132,2.1609201156181426,2.1611712550768742,2.161422305119289,2.0667588247787085,2.067259940562501,2.067761047854375,2.267354699506353,2.2671028939331928,2.2668510450944814,2.2400038898219834,2.2399785264595233,2.239953074595354,2.1546622676395106,2.1548796422940746,2.1550969363806285,2.1160130547884006,2.1163547937110097,2.1166964784344233,1.6725053452128054
2019-11-12,2.468883915030925,2.247458371390059,2.2473720612942296,2.2472856400269023,2.277985195200112,2.2779068382519414,2.2778283532032675,2.17138340778949,2.1716009591037437,2.1718183890502685,2.072573120567251,2.0730525411426854,2.073531920084497,2.243173602579332,2.2431506609723493,2.243127625889495,2.246835514984071,2.2468437222883653,2.24685182413132,2.1609201156181426,2.1611712550768742,2.161422305119289,2.0667588247787085,2.067259940562501,2.067761047854375,2.267354699506353,2.2671028939331928,2.2668510450944814,2.2400038898219834,2.2399785264595233,2.239953074595354,2.1546622676395106,2.1548796422940746,2.1550969363806285,2.1160130547884006,2.1163547937110097,2.1166964784344233,1.6703973223426103
2019-11-13,2.4698281797919357,2.245322790905965,2.2452015618385937,2.2450802243972428,2.2758206075094773,2.2757068484782996,2.2755929639130232,2.1693201152772943,2.1695036389577957,2.169687034613306,2.070603719592138,2.071050398511499,2.071497020904926,2.226788369757927,2.2267655957276182,2.226742728904232,2.230423533770453,2.2304316811245983,2.2304397237877454,2.1451357023377136,2.145385007351489,2.1456342236020873,2.05166221144002,2.052159666829995,2.0526571137900795,2.2507928361724585,2.250542869909879,2.2502928606977814,2.223641810126777,2.223616632030673,2.223591366079319,2.1389235647294127,2.1391393515735992,2.1393550584382837,2.100556664558071,2.100895907253101,2.1012350961448334,1.6691325086204933
2019-11-14,2.4819285900358814,2.254066960337725,2.253945259156718,2.253823449179681,2.279464159488498,2.2793630244472673,2.2792617623197597,2.1727931616909997,2.1729891876674854,2.173185087411825,2.0739187226531848,2.074377771148542,2.074836767990796,2.2354603588691138,2.23543749614778,2.235414540271996,2.239109679639041,2.239117858722185,2.2391259327066235,2.153489703869845,2.153739979775329,2.1539901665719574,2.059652190460512,2.060151583137291,2.0606509673513513,2.25955830811039,2.259307368380939,2.259056385534708,2.232301545298061,2.232276269148555,2.2322509048016563,2.147253373756128,2.147470000959097,2.1476865478710923,2.108737057796095,2.109077621635513,2.109418131462102,1.6703973223426105
2019-11-15,2.4886510401714066,2.2601722337947607,2.2600502029789196,2.2599280630723673,2.2837731419692804,2.2836763868211674,2.2835795039403943,2.174355609487121,2.1745623722113736,2.1747690105231743,2.075410070193612,2.0758795637328205,2.0763490100580433,2.241515235247416,2.241492310601051,2.2414692925479223,2.245174440418128,2.245182641654802,2.245190737508104,2.159322557888994,2.159573511681546,2.159824376123886,2.065230880033807,2.0657316253451388,2.0662323621708296,2.2656784552071136,2.265426835792588,2.2651751731444985,2.2383478658432887,2.238322521231839,2.238297088184109,2.1530693363069298,2.1532865502574694,2.153503683699562,2.114448696630862,2.1147901829075484,2.1151316150251085,1.6623868354358693
2019-11-18,2.4982506989649367,2.271161726017426,2.271039101858882,2.2709163680792024,2.2948773873921455,2.2947801617976076,2.294682807849343,2.1831449398574767,2.183356908643508,2.183568753344749,2.080441002416768,2.0809240393026824,2.081407034470897,2.2524140127283596,2.25239097661694,2.2523678466445896,2.2560910098204854,2.2560992509335125,2.2561073861507692,2.1698216951234626,2.170073869112737,2.170325953317357,2.075272521265738,2.075775701319264,2.0762788728458905,2.2766947199812164,2.276441877133557,2.2761889908421216,2.2492312428246986,2.249205774981751,2.2491802182725245,2.1635380688983736,2.16375633899454,2.163974528190808,2.1247296465334435,2.1250727931972127,2.125415885438521,1.674191763508962
2019-11-19,2.4992033791298116,2.272027808323936,2.2719051374040307,2.2717823568211872,2.2957525134027956,2.2956552507323567,2.2955578596592447,2.1839774579398736,2.1841895075578477,2.1844014330437136,2.082151375312943,2.082632562756616,2.083113707397731,2.253272945802571,2.253249900906586,2.2532267621138775,2.2569513450767107,2.2569595893323946,2.256967727651926,2.170649132534414,2.170901402687439,2.171153583021572,2.07606390339906,2.0765672753347126,2.0770706387402136,2.2775629122335395,2.2773099729670676,2.2770569902402524,2.2500889621849467,2.2500634846301204,2.2500379181751264,2.164363110118234,2.1645814634492777,2.1647997358495736,2.125539888592342,2.125883166111281,2.1262263891870066,1.6910559464705228
2019-11-20,2.4902813165693845,2.25515928031937,2.255037520162018,2.2549156511559136,2.2787078428129335,2.278611302263093,2.278514634263897,2.1677626542408923,2.1679731295097735,2.1681834815681573,2.0666925729798318,2.0671701878774997,2.0676477602903955,2.236543662098847,2.236520788298247,2.2364978212980544,2.240194751328215,2.2402029343749397,2.2402110122720282,2.154533284151707,2.154783681340798,2.155033989377852,2.060650297119483,2.0611499318017614,2.0616495580172196,2.260653289197053,2.2604022278623055,2.260151123389883,2.2333833177679527,2.233358029369635,2.233332652731183,2.1482939319148158,2.148510664095244,2.14872731594579,2.1097589509628896,2.110099679839413,2.1104403546769333,1.673770158934923
2019-11-21,2.4840678195038626,2.2442119051721883,2.2440907360835616,2.243969458674574,2.2676461542555892,2.2675500823491945,2.2674538836121303,2.1572395345601114,2.1574489881043863,2.157658319036273,2.056660084761483,2.05713538114023,2.057610635240442,2.225686654030406,2.2256638912676734,2.2256410357577727,2.229320019525651,2.229328162848848,2.2293362015328437,2.1440743847140773,2.144323566382833,2.1445726593323284,2.05064714033735,2.051144349608549,2.051641550454029,2.2496792441038633,2.2494294015134595,2.2491795159947867,2.2225416511768463,2.2225164855377435,2.222491232086857,2.137865320594841,2.138081000677306,2.1382966008198396,2.0995174026572445,2.0998564775100954,2.1001954985862685,1.6653380674541425
2019-11-22,2.4823246140164916,2.2004224045834624,2.200303599769736,2.2001846887492165,2.223399400026212,2.2233052026936004,2.2232108810050644,2.1151470558369874,2.1153524224828373,2.115557668908736,2.0165301318880884,2.0169961541911525,2.0174621350406285,2.1822586217566418,2.1822363031453773,2.1822138935966455,2.1858210923153942,2.18582907674448,2.1858369585761053,2.1022387869635586,2.102483106550973,2.1027273391502344,2.0106345132088164,2.0111220208356992,2.0116095202012674,2.205783063731105,2.205538096118075,2.2052930864144007,2.1791749848124202,2.179150310210178,2.1791255495095525,2.0961508753149416,2.0963623470055537,2.096573740316038,2.0585512094346643,2.0588836681928253,2.0592160742236096,1.6476306753445034
