strategy,year,start_date,end_date,strategy_return,hs300_return,excess_return
vg50,2018,2017-12-29,2018-12-28,-0.09313125308519854,-0.2416418271617753,0.14851057407657675
vg50,2019,2018-12-28,2019-12-31,0.5060316642598865,0.3859357093623652,0.12009595489752134
vg50,2020,2019-12-31,2020-12-31,0.5448795038681902,0.2907714843749991,0.25410801949319106
vg50,2021,2020-12-31,2021-12-31,0.18105383735822134,-0.0404000983832733,0.22145393574149463
vg50,2022,2021-12-31,2022-12-30,0.41382568741826486,-0.20132014717873803,0.6151458345970029
vg50,2023,2022-12-30,2023-12-29,0.14478674714858086,-0.09775224647250746,0.24253899362108833
vg50,2024,2023-12-29,2024-12-31,0.25849035024983524,0.17374101990322166,0.08474933034661358
vg50,2025,2024-12-31,2025-12-31,1.1972879796185922,0.20838818873246168,0.9888997908861306
vg50,2026,2025-12-31,2026-06-16,0.2013626591438249,0.05984960555005214,0.14151305359377275
top2_gap05_cap70,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
top2_gap05_cap70,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
top2_gap05_cap70,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
top2_gap05_cap70,2015,2014-12-31,2015-12-31,0.09556780137076726,0.0680185133646376,0.027549288006129657
top2_gap05_cap70,2016,2015-12-31,2016-12-30,0.20847116335120064,-0.09686562903164342,0.30533679238284406
top2_gap05_cap70,2017,2016-12-30,2017-12-29,0.08421678355523032,0.23368087754307587,-0.14946409398784555
top2_gap05_cap70,2018,2017-12-29,2018-12-28,-0.08791248377857985,-0.2416418271617753,0.15372934338319544
top2_gap05_cap70,2019,2018-12-28,2019-12-31,0.507126467582204,0.3859357093623652,0.12119075821983882
top2_gap05_cap70,2020,2019-12-31,2020-12-31,0.5257603618061055,0.2907714843749991,0.2349888774311064
top2_gap05_cap70,2021,2020-12-31,2021-12-31,0.17628538348414513,-0.0404000983832733,0.21668548186741843
top2_gap05_cap70,2022,2021-12-31,2022-12-30,0.39881663646759136,-0.20132014717873803,0.6001367836463294
top2_gap05_cap70,2023,2022-12-30,2023-12-29,0.15182989988401574,-0.09775224647250746,0.2495821463565232
top2_gap05_cap70,2024,2023-12-29,2024-12-31,0.26102646547380104,0.17374101990322166,0.08728544557057938
top2_gap05_cap70,2025,2024-12-31,2025-12-31,1.193578827489969,0.20838818873246168,0.9851906387575073
top2_gap05_cap70,2026,2025-12-31,2026-06-16,0.18239520566790057,0.05984960555005214,0.12254560011784843
vg50_top2_gap05_cap70,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
vg50_top2_gap05_cap70,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
vg50_top2_gap05_cap70,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
vg50_top2_gap05_cap70,2015,2014-12-31,2015-12-31,0.09556780137076726,0.0680185133646376,0.027549288006129657
vg50_top2_gap05_cap70,2016,2015-12-31,2016-12-30,0.2087735835622495,-0.09686562903164342,0.30563921259389293
vg50_top2_gap05_cap70,2017,2016-12-30,2017-12-29,0.08394572935934042,0.23368087754307587,-0.14973514818373546
vg50_top2_gap05_cap70,2018,2017-12-29,2018-12-28,-0.08508615359798521,-0.2416418271617753,0.15655567356379008
vg50_top2_gap05_cap70,2019,2018-12-28,2019-12-31,0.5078944648748438,0.3859357093623652,0.12195875551247859
vg50_top2_gap05_cap70,2020,2019-12-31,2020-12-31,0.5239951718161224,0.2907714843749991,0.23322368744112332
vg50_top2_gap05_cap70,2021,2020-12-31,2021-12-31,0.17628538348414424,-0.0404000983832733,0.21668548186741754
vg50_top2_gap05_cap70,2022,2021-12-31,2022-12-30,0.3988166364675916,-0.20132014717873803,0.6001367836463296
vg50_top2_gap05_cap70,2023,2022-12-30,2023-12-29,0.15182989988401574,-0.09775224647250746,0.2495821463565232
vg50_top2_gap05_cap70,2024,2023-12-29,2024-12-31,0.26102646547380104,0.17374101990322166,0.08728544557057938
vg50_top2_gap05_cap70,2025,2024-12-31,2025-12-31,1.1989060568562047,0.20838818873246168,0.990517868123743
vg50_top2_gap05_cap70,2026,2025-12-31,2026-06-16,0.1823952056678999,0.05984960555005214,0.12254560011784776
leader_margin05,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
leader_margin05,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
leader_margin05,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
leader_margin05,2015,2014-12-31,2015-12-31,0.05691486635469212,0.0680185133646376,-0.011103647009945483
leader_margin05,2016,2015-12-31,2016-12-30,0.21425711008445614,-0.09686562903164342,0.31112273911609956
leader_margin05,2017,2016-12-30,2017-12-29,0.08741162331004193,0.23368087754307587,-0.14626925423303394
leader_margin05,2018,2017-12-29,2018-12-28,-0.13247343340391826,-0.2416418271617753,0.10916839375785703
leader_margin05,2019,2018-12-28,2019-12-31,0.5125205373318009,0.3859357093623652,0.1265848279694357
leader_margin05,2020,2019-12-31,2020-12-31,0.5512970360331013,0.2907714843749991,0.2605255516581022
leader_margin05,2021,2020-12-31,2021-12-31,0.15034505549938726,-0.0404000983832733,0.19074515388266056
leader_margin05,2022,2021-12-31,2022-12-30,0.2754819911043831,-0.20132014717873803,0.4768021382831211
leader_margin05,2023,2022-12-30,2023-12-29,0.1278159077094052,-0.09775224647250746,0.22556815418191267
leader_margin05,2024,2023-12-29,2024-12-31,0.25849035024983436,0.17374101990322166,0.0847493303466127
leader_margin05,2025,2024-12-31,2025-12-31,1.1237420689021147,0.20838818873246168,0.915353880169653
leader_margin05,2026,2025-12-31,2026-06-16,0.17421351570814925,0.05984960555005214,0.1143639101580971
combo_vg60_top2_leader,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
combo_vg60_top2_leader,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
combo_vg60_top2_leader,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
combo_vg60_top2_leader,2015,2014-12-31,2015-12-31,0.07972865184899369,0.0680185133646376,0.011710138484356092
combo_vg60_top2_leader,2016,2015-12-31,2016-12-30,0.21949592423867315,-0.09686562903164342,0.31636155327031656
combo_vg60_top2_leader,2017,2016-12-30,2017-12-29,0.08688215106901342,0.23368087754307587,-0.14679872647406245
combo_vg60_top2_leader,2018,2017-12-29,2018-12-28,-0.1116585199716088,-0.2416418271617753,0.12998330719016649
combo_vg60_top2_leader,2019,2018-12-28,2019-12-31,0.5000280046133674,0.3859357093623652,0.11409229525100217
combo_vg60_top2_leader,2020,2019-12-31,2020-12-31,0.5271635658786904,0.2907714843749991,0.2363920815036913
combo_vg60_top2_leader,2021,2020-12-31,2021-12-31,0.15914640655247925,-0.0404000983832733,0.19954650493575254
combo_vg60_top2_leader,2022,2021-12-31,2022-12-30,0.2745216795848533,-0.20132014717873803,0.4758418267635913
combo_vg60_top2_leader,2023,2022-12-30,2023-12-29,0.13269440190513726,-0.09775224647250746,0.23044664837764472
combo_vg60_top2_leader,2024,2023-12-29,2024-12-31,0.2610264654738017,0.17374101990322166,0.08728544557058004
combo_vg60_top2_leader,2025,2024-12-31,2025-12-31,1.144300706609224,0.20838818873246168,0.9359125178767622
combo_vg60_top2_leader,2026,2025-12-31,2026-06-16,0.16366523244281939,0.05984960555005214,0.10381562689276724
