date,baseline,plus_161716_defensive
2013-07-10,1.069858783826724,1.069858783826724
2013-07-11,1.069858783826724,1.069858783826724
2013-07-12,1.069858783826724,1.069858783826724
2013-07-15,1.069858783826724,1.069858783826724
2013-07-16,1.069858783826724,1.069858783826724
2013-07-17,1.069858783826724,1.069858783826724
2013-07-18,1.069858783826724,1.069858783826724
2013-07-19,1.069858783826724,1.069858783826724
2013-07-22,1.069858783826724,1.069858783826724
2013-07-23,1.069858783826724,1.069858783826724
2013-07-24,1.069858783826724,1.069858783826724
2013-07-25,1.069858783826724,1.069858783826724
2013-07-26,1.069858783826724,1.069858783826724
2013-07-29,1.069858783826724,1.069858783826724
2013-07-30,1.069858783826724,1.069858783826724
2013-07-31,1.069858783826724,1.069858783826724
2013-08-01,1.0693238544348107,1.0693238544348107
2013-08-02,1.0669288109714616,1.0669288109714616
2013-08-05,1.0669288109714616,1.0669288109714616
2013-08-06,1.0669288109714616,1.0669288109714616
2013-08-07,1.0669288109714616,1.0669288109714616
2013-08-08,1.0669288109714616,1.0669288109714616
2013-08-09,1.0669288109714616,1.0669288109714616
2013-08-12,1.066395346565976,1.066395346565976
2013-08-13,1.066395346565976,1.066395346565976
2013-08-14,1.0641801505822492,1.0641801505822492
2013-08-15,1.0512491655468437,1.0512491655468437
2013-08-16,1.0512491655468437,1.0512491655468437
2013-08-19,1.0512491655468437,1.0512491655468437
2013-08-20,1.0512491655468437,1.0512491655468437
2013-08-21,1.0512491655468437,1.0512491655468437
2013-08-22,1.0512491655468437,1.0512491655468437
2013-08-23,1.0507235409640703,1.0507235409640703
2013-08-26,1.0741029265567665,1.0741029265567665
2013-08-27,1.0735658750934882,1.0735658750934882
2013-08-28,1.0735658750934882,1.0735658750934882
2013-08-29,1.0735658750934882,1.0735658750934882
2013-08-30,1.0735658750934882,1.0735658750934882
2013-09-02,1.0730290921559416,1.0730290921559416
2013-09-03,1.0893351484318443,1.0893351484318443
2013-09-04,1.0888822024241804,1.0888822024241804
2013-09-05,1.0833768248794282,1.0833768248794282
2013-09-06,1.0751855351820483,1.0751855351820483
2013-09-09,1.083994236321988,1.083994236321988
2013-09-10,1.0983201513394591,1.0983201513394591
2013-09-11,1.1030954563452828,1.1030954563452828
2013-09-12,1.1139484222676095,1.1139484222676095
2013-09-13,1.1057001681666414,1.1057001681666414
2013-09-16,1.1000566258870312,1.1000566258870312
2013-09-17,1.0773801784177397,1.0773801784177397
2013-09-18,1.0707730174922188,1.0707730174922188
2013-09-23,1.0830321484650995,1.0830321484650995
2013-09-24,1.0727257362671765,1.0727257362671765
2013-09-25,1.0653245728376952,1.0653245728376952
2013-09-26,1.0662971019266303,1.0662971019266303
2013-09-27,1.0630560773007134,1.0630560773007134
2013-09-30,1.071813518669781,1.071813518669781
2013-10-08,1.0647043402308582,1.0647043402308582
2013-10-09,1.0650215812722819,1.0650215812722819
2013-10-10,1.058505196836199,1.058505196836199
2013-10-11,1.0490758204338408,1.0490758204338408
2013-10-14,1.0494916253567237,1.0494916253567237
2013-10-15,1.0482442105880745,1.0482442105880745
2013-10-16,1.0290218400666387,1.0290218400666387
2013-10-17,1.0232086135083964,1.0232086135083964
2013-10-18,1.0471414265940135,1.0471414265940135
2013-10-21,1.047162867869904,1.047162867869904
2013-10-22,1.0346371188783479,1.0346371188783479
2013-10-23,1.043469498992459,1.043469498992459
2013-10-24,1.043469498992459,1.043469498992459
2013-10-25,1.043469498992459,1.043469498992459
2013-10-28,1.043469498992459,1.043469498992459
2013-10-29,1.042947764242963,1.042947764242963
2013-10-30,1.0392662258201493,1.0392662258201493
2013-10-31,1.0387465927072392,1.0387465927072392
2013-11-01,1.0343737597490381,1.0343737597490381
2013-11-04,1.0267046058008913,1.0267046058008913
2013-11-05,1.0267046058008913,1.0267046058008913
2013-11-06,1.0267046058008913,1.0267046058008913
2013-11-07,1.0267046058008913,1.0267046058008913
2013-11-08,1.0267046058008913,1.0267046058008913
2013-11-11,1.0267046058008913,1.0267046058008913
2013-11-12,1.0267046058008913,1.0267046058008913
2013-11-13,1.0267046058008913,1.0267046058008913
2013-11-14,1.0267046058008913,1.0267046058008913
2013-11-15,1.0267046058008913,1.0267046058008913
2013-11-18,1.0267046058008913,1.0267046058008913
2013-11-19,1.0267046058008913,1.0267046058008913
2013-11-20,1.0262939239585709,1.0262939239585709
2013-11-21,1.0115624322271082,1.0115624322271082
2013-11-22,1.0095156508477956,1.0095156508477956
2013-11-25,1.0095156508477956,1.0095156508477956
