date,base_pool,plus_soymeal_159985,plus_energy_159930,plus_coal_515220,plus_resource_510410,replace_cyb50_soymeal,replace_cyb50_energy,replace_cyb50_coal,replace_cyb50_resource,replace_nikkei_soymeal,replace_nikkei_energy,replace_nikkei_coal,replace_nikkei_resource
2012-08-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-10,1.0,1.0,1.0,1.0,0.9995,1.0,1.0,1.0,0.9995,1.0,1.0,1.0,0.9995
2012-10-11,1.0,1.0,1.0,1.0,0.9825784424379234,1.0,1.0,1.0,0.9825784424379234,1.0,1.0,1.0,0.9825784424379234
2012-10-12,1.0,1.0,1.0,1.0,0.9859627539503387,1.0,1.0,1.0,0.9859627539503387,1.0,1.0,1.0,0.9859627539503387
2012-10-15,1.0,1.0,1.0,1.0,0.9674291360045149,1.0,1.0,1.0,0.9674291360045149,1.0,1.0,1.0,0.9674291360045149
2012-10-16,1.0,1.0,1.0,1.0,0.9674291360045149,1.0,1.0,1.0,0.9674291360045149,1.0,1.0,1.0,0.9674291360045149
2012-10-17,1.0,1.0,1.0,1.0,0.9669454214365126,1.0,1.0,1.0,0.9669454214365126,1.0,1.0,1.0,0.9669454214365126
2012-10-18,0.9995,0.9995,0.9995,0.9995,0.9804063785794803,0.9995,0.9995,0.9995,0.9804063785794803,0.9995,0.9995,0.9995,0.9804063785794803
2012-10-19,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
