date,hs300_benchmark,resource_abs08_baseline,resource_abs08_plus_ci,resource_abs08_plus_ci_cap70,resource_abs08_ci_exclude_to_second,resource_abs08_ci_reverse_to_defensive
2024-11-18,1.0056725975460494,1.6044825977160877,1.603276086400159,1.5575141627706368,1.622175531095043,1.4580003543096904
2024-11-19,1.010653640624534,1.6032418107045026,1.6020362324143183,1.5563096976388389,1.620921061690165,1.4568728457252478
2024-11-20,1.0131441621637762,1.6033770200631194,1.6021713401005198,1.5564409489788564,1.6210577620279785,1.4569957110608085
2024-11-21,1.0143894229333974,1.6002207660866172,1.5990174595097708,1.5533770888430714,1.6178667034413092,1.4541276092673816
2024-11-22,0.9845031644624894,1.5370956865565732,1.5359398476947896,1.4920998861273684,1.5540455317079243,1.3967655733988458
2024-11-25,0.9790240170761565,1.5164967322202052,1.5153563830069465,1.472103930320289,1.5332194288021244,1.3780472134966661
2024-11-26,0.9770315998447626,1.517983450817094,1.5168419836466736,1.4735471278183514,1.5347225417264587,1.3793982011883419
2024-11-27,0.9929709376959135,1.5274886696700503,1.526340054928118,1.4827740979361872,1.5443325764273135,1.388035635134418
2024-11-28,0.9857484252321109,1.5189339727023898,1.5177917907748182,1.4744698248301353,1.5356835451965445,1.3802619445829498
2024-11-29,0.996457667850853,1.5170329289317985,1.5158921765185291,1.4726244308065681,1.5337615382563736,1.3785344577937346
2024-12-02,1.0039292324685798,1.5217855383582766,1.5206412121592512,1.4772379158654858,1.5385665556068007,1.3828531747667725
2024-12-03,1.0049254410842765,1.5293897134406416,1.5282396691844067,1.4846194919597544,1.5462545833674843,1.3897631219236333
2024-12-04,0.9996953458518677,1.528439191555346,1.5272898620562623,1.483696794947971,1.545293579897399,1.3888993785290258
2024-12-05,0.997951980774398,1.535092844752415,1.5339385119532731,1.4901556740304556,1.552020604187997,1.3949455822912789
2024-12-06,1.0104045884706099,1.5271411922762497,1.5259928388244104,1.4824367923381971,1.5439812673345041,1.3877198809068578
2024-12-09,1.0096574320088372,1.5502408069493356,1.5490750834452838,1.5048602060038168,1.5673356058320007,1.4087106017945246
2024-12-10,1.0173780487804882,1.5361243757602274,1.5349692672880833,1.4911570087637156,1.5530635100835304,1.3958829390298393
2024-12-11,1.014887527241246,1.5361243757602274,1.5349692672880833,1.4911570087637156,1.5530635100835304,1.3958829390298393
2024-12-12,1.0253477177060637,1.5669238619910089,1.565745593449248,1.5210548936512087,1.5842026280801926,1.4238705668800615
2024-12-13,1.0011896587754132,1.5759070454749866,1.5747220219129208,1.5297751100767274,1.5932848708292189,1.4320336250030428
2024-12-16,0.9952124070812318,1.5964400362955076,1.5952395726870305,1.549707033335056,1.6140442828269936,1.4506920435698576
2024-12-17,0.9979519807743983,1.6156897151897458,1.6144747765377583,1.568393211389739,1.6335062315749074,1.4681843109762465
2024-12-18,1.0021858673911102,1.6246728986737242,1.6234512050014318,1.5771134278152583,1.6425884743239343,1.4763473690992284
2024-12-19,1.0036801803146556,1.5836069170326819,1.582416103453212,1.5372495812986007,1.6010696503283843,1.4390305319655983
2024-12-20,1.0006915544675647,1.548957495023053,1.5477927365219022,1.5036144608001714,1.5660381425821397,1.4075444506340984
2024-12-23,1.0016877630832617,1.6054232197794855,1.6042160011507038,1.5584272497605751,1.6231265255760203,1.4588551016928393
2024-12-24,1.0133932143177005,1.6041399078532028,1.6029336542273218,1.5571815045569295,1.6218290623261593,1.4576889505324133
2024-12-25,1.0141403707794732,1.6182563390423108,1.6170394703845221,1.5708847017970304,1.6361011580746294,1.4705166132970984
2024-12-26,1.0143894229333974,1.6208229628948763,1.6196041642312862,1.573376192204322,1.6386960845743517,1.4728489156179505
2024-12-27,1.012895110009852,1.6105564674846158,1.6093453888442313,1.5634102305751576,1.6283163785754642,1.463519706334543
2024-12-30,1.0176271009344124,1.590023476664095,1.5888278380701217,1.543478307316829,1.6075569665776894,1.4448612877677283
2024-12-31,1.0016877630832617,1.5797569812538352,1.5785690626830675,1.5335123456876651,1.5971772605788026,1.4355320784843213
2025-01-02,0.9735448696898235,1.5990066601480732,1.597804266533795,1.552198523742348,1.6166392093267161,1.45302434589071
2025-01-03,0.9635827835328542,1.5913067885903782,1.5901101849935042,1.544724052520475,1.608854429827551,1.4460274389281547
2025-01-06,0.9595979490700665,1.6349393940839854,1.6337099803884874,1.5870793894444235,1.6529681803228224,1.4856765783826362
2025-01-07,0.9663223572260207,1.6221062748211599,1.6208865111546689,1.5746219374079682,1.6399935478242134,1.474015066778377
2025-01-08,0.9648280443024753,1.6131230913371815,1.6119100826909953,1.565901720982449,1.6309113050751864,1.465852008655395
2025-01-09,0.9628356270710815,1.606706531705769,1.6054983480740863,1.5596729949642216,1.624423988825882,1.4600212528532654
2025-01-10,0.9521263844523395,1.6002899720743566,1.5990866134571775,1.5534442689459944,1.6179366725765778,1.4541904970511363
2025-01-13,0.9483906021434759,1.6019924132343288,1.6007877744446335,1.5550968741046385,1.6196578868775413,1.455737512779424
2025-01-14,0.9727977132280508,1.5911030530397947,1.5899066026444868,1.5445262809734694,1.6086484476464782,1.4458423035422305
2025-01-15,0.9670695136877934,1.5982352222953458,1.597033408773678,1.5514496683898307,1.6158592646827317,1.4523233369397832
2025-01-16,0.9675676179956421,1.602425940675668,1.60122097588944,1.5555177107848221,1.6200961949080552,1.4561314610615528
2025-01-17,0.970805295996657,1.6059857238826574,1.6047780822716837,1.5589732875353404,1.6236952325184357,1.4593662516316992
2025-01-20,0.9755372869212173,1.6034743274094085,1.6022685742752985,1.5565354078219766,1.621156142400798,1.4570841346719883
2025-01-21,0.9767825476908387,1.6034743274094085,1.6022685742752985,1.5565354078219766,1.621156142400798,1.4570841346719883
2025-01-22,0.9678166701495663,1.614780038351809,1.613565783743014,1.5675101637576563,1.632586523558251,1.4673576836548232
2025-01-23,0.9705562438427328,1.6160340335280086,1.61481883596142,1.5687274504080426,1.6338543467766753,1.4684971945562217
2025-01-24,0.9785259127683082,1.6225117519749932,1.6212916834047435,1.5750155449239822,1.64040349625139,1.474383525641561
2025-01-27,0.9730467653819751,1.6191717470818956,1.617954190071263,1.5717733128598093,1.637026660491979,1.4713484485865251
2025-02-05,0.9680657223034905,1.668671096202619,1.6674163175200718,1.6198236547040885,1.6870718483070837,1.5163287236352199
2025-02-06,0.9792730692300807,1.6610002366828802,1.6833107459321721,1.6304395821127502,1.67931640076711,1.5074647825848433
2025-02-07,0.993219989849838,1.664736319689477,1.720777121835273,1.6558422973825515,1.6830936822683669,1.5117032027795525
2025-02-10,0.9942161984655348,1.6850658099486135,1.775638600836242,1.692796165139067,1.7036473496655382,1.5347790460618573
2025-02-11,0.990231364002747,1.6987159288141072,1.7569054128846915,1.6802947315155832,1.7174479909761151,1.5503199201091238
2025-02-12,0.9996953458518679,1.6892212832824611,1.8037383827635678,1.7116482889581817,1.7078486461905866,1.5394884018337565
2025-02-13,0.9972048243126255,1.6958355483255982,1.8492332677887613,1.7418687854546242,1.714535847986622,1.5470233710687948
2025-02-14,1.0046763889303525,1.703062853554383,1.9054328316434126,1.7789244600511265,1.721842850078498,1.5552647436696179
2025-02-17,1.0064197540078226,1.7206484126826582,1.9335326135707382,1.7972883572159803,1.7396223284967243,1.5291278191355786
2025-02-18,0.9991972415440195,1.6858878386890692,1.9643085652054282,1.8173135077704283,1.704478443072548,1.5434913542398705
2025-02-19,1.0044273367764285,1.7171723552832994,1.9637192726358665,1.8170409107442629,1.7361079399543065,1.5536164691494532
2025-02-20,1.0014387109293377,1.7136962978839405,1.941781264412959,1.7967415436215068,1.7325935514118889,1.558561292709947
2025-02-21,1.0148875272412463,1.7536709579765677,1.9847807654328957,1.8660900445771846,1.7730090196496915,1.546552435491605
2025-02-24,1.0116498492402313,1.743242785778491,1.9884709288746039,1.8692791007696998,1.7624658540224385,1.5496135167433394
2025-02-25,1.0014387109293377,1.7206484126826582,1.9703999731814315,1.8522913443395366,1.739622328496724,1.549848984531934
2025-02-26,1.0096574320088372,1.7449808144781707,2.0800191189835533,1.9244917061015456,1.7642230482936476,1.5350145138504527
2025-02-27,1.0128951100098522,1.7345526422800939,2.0726470732400144,1.9179586494926872,1.7536798826663949,1.5286568835583891
2025-02-28,0.9947143027733835,1.6650314942929156,2.029390459647058,1.8779304183193588,1.6833921118180424,1.5173544297058317
2025-03-03,0.9914766247723683,1.6649786184324264,2.0430287046054363,1.8868787435749368,1.6833386528854286,1.5190027042259964
2025-03-04,0.9904804161566713,1.6748895127042922,2.0629745915402173,1.8997737308043887,1.6933588364648429,1.5303051580785538
2025-03-05,0.9947143027733832,1.6847857670954054,2.1128393088771706,1.9319176924098498,1.703364218726768,1.5416076119311113
2025-03-06,1.0084121712392162,1.6823153312676804,2.164049205323129,1.9790394055874905,1.700866540935447,1.538781998467972
2025-03-07,1.0059216496999739,1.6804618239401934,2.161633224493674,1.9768299728015473,1.6989925946317384,1.5366627883706174
2025-03-10,1.0019368152371861,1.6841698610631994,2.1503143276604377,1.9664787558303003,1.7027415209821362,1.5409012085653264
2025-03-11,1.004925441084277,1.6761402003564188,2.1212646386253815,1.9559671854211844,1.6946233156865,1.5317179648101236
2025-03-12,1.0024349195450346,1.6804690482220586,2.1043509006429866,1.944758401746106,1.6989998985771277,1.535520256276153
2025-03-13,0.9974538764665498,1.6905631926735303,2.0803897718345934,1.92925764824257,1.7092053530705729,1.5447437306932574
2025-03-14,1.0226081440128973,1.7107213910470063,2.166367939911768,1.9850701831883406,1.7295858397140302,1.5631631844554401
2025-03-17,1.0196195181658068,1.7115417579661354,2.1720058525725663,1.9886864463717677,1.7304152529744954,1.563912790658086
2025-03-18,1.0218609875511246,1.7217951158092755,2.2481176734933443,2.037467982823976,1.7407816765358224,1.5732817455219956
2025-03-19,1.02335530047467,1.7367427648003948,2.2410702826673465,2.0329970499463057,1.7558941560823798,1.5869400856347478
2025-03-20,1.0151365793951703,1.7381730235478778,2.1579110709205707,1.9801902712275745,1.7573401865638596,1.5882469774699766
2025-03-21,0.9986991372361711,1.7314317619316497,2.119855160460182,1.955745074541617,1.750524587779478,1.5820871831104633
2025-03-24,1.0029330238528833,1.7327920630590488,2.1269025512861797,1.9602963429996592,1.7517649949275946,1.5832082369160332
2025-03-25,1.0034311281607318,1.7312586187554566,2.123483922466843,1.9574393411879014,1.7505248073205661,1.5820873815270662
2025-03-26,0.999446293697944,1.7353787075792335,2.1287503130628633,1.962293929456569,1.7548662328834512,1.5860110703386476
2025-03-27,1.0029330238528833,1.739546374695237,2.1330109465076985,1.966221405165268,1.7583785479338139,1.5891854265647853
2025-03-28,0.9982010329283226,1.7651106379000787,2.1645739975071074,1.9953164018829217,1.7843980073630163,1.6127012649379107
2025-03-31,0.992223781234141,1.7837587341274224,2.1874423567645986,2.016396583185651,1.8032498713961818,1.6297391818416915
2025-04-01,0.9917256769262925,1.7949517438680966,2.201168463966202,2.0290493854760348,1.8145651871893125,1.6399657254813143
2025-04-02,0.9909785204645198,1.788083306072683,2.194210750138826,2.0226357260052295,1.8088294947603774,1.6336903464297277
2025-04-03,0.9859974773860352,1.8046184340986788,2.2142800524084056,2.0411357209413956,1.8253739155194955,1.6487977404428067
2025-04-07,0.9202477087500379,1.7494165451503543,2.146546929857993,1.978698950227513,1.7695371323692655,1.5983622865837581
2025-04-08,0.928964534137386,1.7616271012310896,2.161529371712462,1.9925098488186022,1.7818881258771504,1.609518516008801
2025-04-09,0.9379304116786584,1.7837587341274221,2.1886850475736868,2.017542102514951,1.8042743016101916,1.629739181841691
2025-04-10,0.9536206973758851,1.822425495049751,2.236129446779506,2.061276614720067,1.8433857810518275,1.6650672416876606
2025-04-11,0.9563602710690515,1.8501536328164205,2.2701520751573625,2.092638863603999,1.871432828809316,1.6904011793403622
2025-04-14,0.9583526883004455,1.863890508407248,2.2870073222436402,2.1081761245189745,1.8853276965056867,1.7029519374435356
2025-04-15,0.9590998447622182,1.8633817352372173,2.2863830538330374,2.1076006704110126,1.8848130717761915,1.7024870945508255
2025-04-16,0.9613413141475363,1.9086625473699441,2.3419429423766935,2.1588160860196353,1.9306146727012647,1.7438581120020262
2025-04-17,0.9620884706093094,1.9244345156408942,2.361295263105383,2.176655163366459,1.9465680393156164,1.7582682416760402
2025-04-18,0.9645789921485517,1.92901347417117,2.3669136788008087,2.181834250338117,1.9511996618810732,1.7624518277104313
2025-04-21,0.9650770964564002,1.96488198265833,2.4109246017483112,2.2224037649494415,1.987480705310485,1.7952232516464948
2025-04-22,0.9658242529181731,2.0305137215922824,2.4914552267160825,2.296637344876546,2.0538672954153667,1.8551879848061006
2025-04-23,0.9668204615338699,1.9078993876148982,2.341006539760789,2.1579529048576918,1.929842735607022,1.743160847662961
2025-04-24,0.9668204615338699,1.9287590875861542,2.3666015445955066,2.1815465232841356,1.9509423495163252,1.762219406264076
2025-04-25,0.9668204615338699,1.9155309851653577,2.3503705659198317,2.1665847164771224,1.93756210654945,1.7501334910536128
2025-04-28,0.9653261486103244,1.8989958571393617,2.330081842575238,2.1478824579683553,1.9208368028408556,1.7350260970405336
2025-04-29,0.9635827835328549,1.9122239595601584,2.346312821250913,2.1628442647753685,1.934217045807731,1.7471120122509969
2025-04-30,0.9628356270710823,1.9026722469782715,2.33459279986757,2.152040683597948,1.9245554759899408,1.738385047134828
2025-05-06,0.9720505567662786,1.93139951634772,2.3698413700489467,2.1845330124842883,1.9536131466754802,1.7646318458654946
2025-05-07,0.9780278084604601,1.9433756142420464,2.384536129989345,2.1980787242800397,1.9657269854199735,1.7755738615151073
2025-05-08,0.9837560080007174,1.9202709530480853,2.3561865412714424,2.17194591504339,1.942356590286314,1.7544641840062847
2025-05-09,0.9825107472310961,1.9149855705122376,2.349701338140776,2.165967818572184,1.9370104189117001,1.7496351705052482
2025-05-12,0.9937180941576867,1.9089977549322859,2.3423542445138565,2.1591952266271432,1.930953735590694,1.744164375897443
2025-05-13,0.9947143027733836,1.897626212088311,2.3284012780536103,2.1463333042049415,1.9194514050734002,1.7337747146858424
