date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict,hs300_benchmark
2025-05-30,13.359663956977151,8.252049342397328,8.162488963305998,7.3095040323341145,8.846552800631,8.865338460743594,9.045659325650515,1.8091265199408026
2025-06-03,13.405260079697213,8.280213333327014,8.190347287412846,7.3344511450724585,8.87674581360244,8.895595588595963,9.076531883075946,1.808212588887536
2025-06-04,13.507851355817344,8.343582312918803,8.25302851665325,7.390582148733728,8.944680092788174,8.96367412626379,9.14599513728316,1.8159810028403005
2025-06-05,13.462255233097286,8.31541832198912,8.225170192546404,7.365635035995386,8.914487079816737,8.933416998411422,9.115122579857731,1.8205506581066324
2025-06-06,13.41665911037723,8.287254331059437,8.19731186843956,7.340687923257047,8.884294066845303,8.903159870559056,9.084250022432304,1.8214645891598988
2025-06-09,13.462255233097288,8.31541832198912,8.225170192546406,7.365635035995388,8.91448707981674,8.933416998411422,9.115122579857731,1.8255772788995979
2025-06-10,13.473654263777304,8.322459319721542,8.232134773573119,7.371871814179975,8.9220353330596,8.940981280374515,9.12284071921409,1.8150670717870343
2025-06-11,13.519250386497362,8.350623310651224,8.259993097679965,7.396818926918316,8.952228346031037,8.971238408226881,9.153713276639516,1.829689968639296
2025-06-12,13.4736542637773,8.32245931972154,8.232134773573117,7.371871814179973,8.922035333059599,8.940981280374512,9.122840719214086,1.8306038996925624
2025-06-13,13.31347394475867,8.22351851548579,8.134267784527665,7.2842319834523614,8.823908040902431,8.84264561485432,9.022504907581446,1.8187227960000996
2025-06-16,13.356108722166812,8.249853331092464,8.160316785548027,7.307558848438343,8.852165530777334,8.87096310952571,9.051398379713117,1.8232924512664315
2025-06-17,13.400678929254592,8.27738363045281,8.187548295608298,7.331944649569213,8.88170578528479,8.900566092781112,9.081603487249286,1.8228354857397981
2025-06-18,13.336291282747665,8.237612417813997,8.148208724217987,7.2967160866883995,8.831075794822404,8.849828589503986,9.029833983838756,1.824206382319698
2025-06-19,13.400756739099316,8.277431692341196,8.18759583587584,7.33198722185064,8.873763774495261,8.892607217126965,9.073482728171513,1.8097211369682864
2025-06-20,13.341783751244222,8.24100502717836,8.151564513228013,7.305565646276404,8.841786247379963,8.860561785713895,9.04078549311504,1.8120574668636753
2025-06-23,13.371268590954235,8.265830001977823,8.17612005990584,7.249736285882536,8.86132626205228,8.880143293618943,9.060765288627184,1.8181319245916865
2025-06-24,13.369553472939344,8.17777596658355,8.089021684428662,7.243848175193494,8.860189629413087,8.879004247339667,9.059603074161927,1.839158893650187
