date,hs300_benchmark,k_20_nav,k_21_nav,k_22_nav,k_23_nav,k_24_nav,k_25_nav,k_26_nav,k_27_nav,k_28_nav,k_29_nav,k_30_nav
2016-04-07,1.2909417676092707,1.3391474303809117,1.3281423030035457,1.6352914562659864,1.3553656702586576,1.5484891478629053,1.6365207195311346,1.5820499229101186,2.0500832427007154,1.8780940288656895,1.7645524059414006,1.6737956353794743
2016-04-08,1.2800630448485184,1.3278624801248928,1.3352174049701921,1.644002762104301,1.3625857929047671,1.534058185936319,1.6212693577581334,1.567306195299897,2.032807260318406,1.8622673937909788,1.749682582295827,1.6599546330099901
2016-04-11,1.2941650928717159,1.3424911193456581,1.3435666388976355,1.6542828585043912,1.372341270955136,1.545041326255863,1.632876889346752,1.5771067012038642,2.0552020522954737,1.8827834022211596,1.7689582796141632,1.6782418260082117
2016-04-12,1.2925534302404933,1.339612537515908,1.3418934550384853,1.6522227304116086,1.3770284117999714,1.5517148560877432,1.639929809192754,1.5737250544814074,2.0526426474980943,1.8804387155434246,1.766755342777782,1.6761518610941293
2016-04-13,1.3090729722105245,1.3289605161873905,1.3590435895947752,1.6733390433626298,1.3946275903797092,1.5393762885692022,1.6268897944007266,1.5626178273995286,2.0788765466712307,1.9044717539902076,1.78933544535069,1.6975740014634744
2016-04-14,1.313907960104192,1.3338689576137521,1.364063141172226,1.6795194276409775,1.3997785694762177,1.5450618888963275,1.6328986209728438,1.5510611800550387,2.086554761063368,1.9115058140234125,1.7959442558598337,1.7038438962057216
2016-04-15,1.3151167070776089,1.333894481509169,1.3653180290665885,1.6810645237105641,1.4010663142503448,1.5464832889781086,1.6344008276158728,1.5524880992639207,2.088474314661402,1.9132643290317135,1.7975964584871196,1.7054113698912832
2016-04-18,1.2965825868185494,1.3347275147528905,1.344864945913143,1.6558814148979855,1.381320894380395,1.5246884877241278,1.611366992422757,1.5306086713943923,2.0590411594915414,1.8846027618487475,1.770667648452353,1.6798635342832933
2016-04-19,1.298194249449772,1.3447223541769373,1.3549356974582025,1.6682811509221827,1.3817931533138932,1.5265836878331696,1.6133699346134627,1.5325112303395685,2.0616005642889204,1.8970063881196249,1.7839269381755531,1.6924428556008595
2016-04-20,1.2756309726126565,1.3472164296406348,1.3574487157533337,1.6713753354370307,1.3843559845101476,1.4987008405089086,1.5839019480740335,1.5045201172425031,2.0257688971256123,1.8640354515166768,1.787235612558568,1.6955818531692073
