date,base_pool,plus_resource_510410,plus_resource_510410__cash_tail,plus_energy_159930,plus_energy_159930__cash_tail
2018-12-14,1.6793025541440167,1.7044491651337474,1.6975322666157686,1.2663738031761356,1.2614435697658644
2018-12-17,1.6797463304911118,1.704899586781976,1.69798086038852,1.2667084580237946,1.261776921738727
2018-12-18,1.6889219295287543,1.7142125852531085,1.7072560653797173,1.2736278414434439,1.2686693666863165
2018-12-19,1.6944272889513399,1.7198003843357879,1.7128211883744358,1.2777794714952335,1.2728048336548703
2018-12-20,1.6944272889513399,1.7198003843357879,1.7128211883744358,1.2777794714952335,1.2728048336548703
2018-12-21,1.7054380077965108,1.7309759825011466,1.7239514343638722,1.2860827315988126,1.2810757675919775
2018-12-24,1.7115550738216059,1.7371846481485684,1.7301349043580039,1.2906956538785788,1.2856707308903705
2018-12-25,1.7250126190768151,1.750843712572896,1.7437385383450934,1.3008440828940644,1.2957796501468353
2018-12-26,1.7244009124743056,1.750222846008154,1.7431201913456802,1.3003827906660879,1.295320153816996
2018-12-27,1.7182838464492105,1.7440141803607323,1.7369367213515488,1.2957698683863217,1.290725190518603
2018-12-28,1.7286828586918719,1.7545689119613488,1.7474486203415722,1.303611836261924,1.298536628125871
2019-01-02,1.7354116313194765,1.7613984441735124,1.7542504373351169,1.3086860507696667,1.3035910877541033
2019-01-03,1.7543745359972713,1.7806453076805195,1.7734191943169246,1.322986109836942,1.3178354739791216
2019-01-04,1.745198936959629,1.7713323092093873,1.7641439893257276,1.316066726417293,1.3109430290315323
2019-01-07,1.7378584577295149,1.7638819104324814,1.7567238253327697,1.3105312196815735,1.3054290730734606
2019-01-08,1.7299062718968912,1.7558106450908333,1.7486853143403986,1.3045344207178773,1.2994556207855494
2019-01-09,1.7231774992692868,1.7489811128786696,1.741883497346854,1.2994602062101346,1.2944011611573172
2019-01-10,1.7268477388843435,1.7527063122671225,1.7455935793433328,1.3022279595779942,1.297158139136353
2019-01-11,1.7158370200391726,1.7415307141017637,1.7344633333538961,1.2939246994744151,1.2888872051992455
2019-01-14,1.7170604332441917,1.742772447231248,1.7357000273527226,1.2948472839303684,1.2898061978589241
2019-01-15,1.7133901936291347,1.7390472478427952,1.7319899453562437,1.2920795305625088,1.2870492198798884
2019-01-16,1.7146136068341538,1.7402889809722795,1.73322663935507,1.293002115018462,1.287968212539567
2019-01-17,1.7178673598918266,1.7435914571514624,1.7365157136135287,1.295455792959982,1.2904123378474688
2019-01-18,1.7183068527192382,1.7440375311367102,1.7369599773667377,1.2957872175754834,1.2907424721640803
2019-01-21,1.7115827775218309,1.7372127666961181,1.7301629087964656,1.2907165454327119,1.2856915411097207
2019-01-22,1.7109714979584303,1.7365923335651552,1.7295449934718954,1.2902555752379146,1.2852323655593245
2019-01-23,1.7128053366486324,1.738453632958044,1.731398739445606,1.291638485822307,1.2866098922105136
2019-01-24,1.7116561066182565,1.7372871938545085,1.7302370339188011,1.29077184341728,1.2857466238087465
2019-01-25,1.7101889728125839,1.7357980905454904,1.7287539736040136,1.2896654675514938,1.2846445552740533
