date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict
2024-01-23,6.180249991398318,5.497157548224272,5.348048171884959,4.748338902922494,5.935151444971058,5.896179912938569,6.180249991398318
2024-01-24,6.070907106935117,5.399900145447996,5.253428858074686,4.664329830024633,5.830144919406185,5.791862883709656,6.070907106935117
2024-01-25,6.042382876205586,5.374528649071576,5.228745558819833,4.642414419703453,5.8027519127370875,5.7646497456499395,6.042382876205586
2024-01-26,6.118028564318678,5.44181334887826,5.294205173655359,4.700533648570515,5.875397617317828,5.836818442284153,6.118028564318678
2024-01-29,6.170491465109733,5.48847761512747,5.339603680359439,4.740841343750005,5.925779925779586,5.886869929238441,6.170491465109733
2024-01-30,6.273547689996744,5.58014321203983,5.428782865000098,4.820020322351258,6.0247491103437545,5.985189259998164,6.273547689996744
2024-01-31,6.131845380777104,5.454103016285336,5.3061614861191915,4.711149226774535,5.888666481568022,5.850000180203543,6.131845380777104
2024-02-01,6.075060387550017,5.403594371072179,5.257022878515729,4.66752083102717,5.834133487745199,5.795825262216746,6.075060387550017
2024-02-02,6.08533533112304,5.412733642735726,5.265914249134783,4.675415158014109,5.844000943961259,5.805627926508022,6.08533533112304
2024-02-05,6.124052724242241,5.4471716687264236,5.299418150073982,4.705162062139916,5.8811828689702415,5.842565706680103,6.124052724242241
2024-02-06,6.142993093492475,5.464018591413207,5.315808103115447,4.719714109754782,5.89937209433819,5.8606354975255055,6.142993093492475
2024-02-07,6.092485442158517,5.419093464248451,5.272101561671537,4.680908649448472,5.850867493356991,5.812449388604431,6.092485442158517
2024-02-08,6.237694939743642,5.548253204847119,5.397757868322776,4.79247434782911,5.990318221177935,5.950984451752516,6.237694939743642
2024-02-19,6.193500744826429,5.508943718577958,5.359514644559354,4.758519570061089,5.947876695319386,5.908821606446576,6.193500744826429
2024-02-20,6.187187288409684,5.503328077682364,5.354051326878865,4.7536688875228,5.941813620196736,5.902798342831442,6.187187288409684
2024-02-21,6.11142581140875,5.435940386935234,5.2884915147130025,4.6954606970633375,5.8690567187249405,5.8305191794498334,6.11142581140875
2024-02-22,6.206127657659918,5.520175000369147,5.370441279920332,4.768220935137666,5.960002845564686,5.920868133676845,6.206127657659918
2024-02-23,6.294516047494343,5.598793972907468,5.446927727447174,4.836130490673708,6.044885897281784,6.005193824288725,6.294516047494343
2024-02-26,6.225068026910152,5.5370219230559306,5.386831232961798,4.782772982752532,5.978192070932636,5.938937924522248,6.225068026910152
2024-02-27,6.212441114076663,5.525790641264742,5.3759045976008215,4.773071617675956,5.9660659206873365,5.92689139729198,6.212441114076663
2024-02-28,6.225068026910152,5.5370219230559306,5.386831232961798,4.782772982752532,5.978192070932636,5.938937924522248,6.225068026910152
2024-02-29,6.174560375576195,5.492096795891176,5.343124691517889,4.743967522446224,5.929687469951437,5.890751815601175,6.174560375576195
2024-03-01,6.218863604195714,5.53150326455433,5.381462267045899,4.778006071739847,5.97223370541505,5.933018682965488,6.218863604195714
2024-03-04,6.310132746506649,5.61268458493341,5.460441559204769,4.848128934030945,6.059883263705078,6.020092714649295,6.310132746506649
2024-03-05,6.3367203844835025,5.6363335368362195,5.483449037684564,4.868556443584446,6.085416479703835,6.045458273840233,6.3367203844835025
2024-03-06,6.4042381401801745,5.69638867067121,5.541875187181094,4.920430912490839,6.15025659229508,6.109872631748002,6.4042381401801745
2024-03-07,6.35148494297935,5.649466193977049,5.49622547394237,4.879900180097999,6.099595500101546,6.059544191618282,6.35148494297935
2024-03-08,6.393772111721666,5.687079434407193,5.532818462219753,4.912389773352811,6.140205629305705,6.099887665629933,6.393772111721666
2024-03-11,6.208060888559626,5.52189455456964,5.372114191532872,4.76970625296497,5.961859407707614,5.922712505217445,6.208060888559626
2024-03-12,6.23270781686346,5.543817300114648,5.3934422866813465,4.788642698685697,5.985528879385976,5.9462265578501,6.23270781686346
2024-03-13,6.209566574969165,5.523233820039964,5.3734171296763416,4.770863084705429,5.963305381071424,5.924148983996695,6.209566574969165
2024-03-14,6.186425333074871,5.502650339965282,5.353391972671337,4.75308347072516,5.9410818827568725,5.902071410143292,6.186425333074871
2024-03-15,6.178711585776773,5.495789179940387,5.346716920336335,4.7471569327317376,5.933674049985355,5.894712218858825,6.178711585776773
2024-03-18,6.340700279036837,5.639873540463168,5.486893019371369,4.871614230593617,6.089238538187217,6.049255235832651,6.340700279036837
2024-03-19,6.332141606752419,5.564400780189331,5.413467443686351,4.8064223126659655,6.081019288764201,6.041089955839925,6.332141606752419
2024-03-20,6.3213803233833215,5.5575396201644365,5.406792391351349,4.800495774672543,6.070684780188215,6.030823305958994,6.3213803233833215
2024-03-21,6.290163630428342,5.530094980064859,5.380092182011342,4.776789622698851,6.04070608991568,6.001041462472776,6.290163630428342
2024-03-22,6.180905205085914,5.434038739716337,5.286641449321318,4.69381809079093,5.935780673961809,5.896805010271016,6.180905205085914
2024-03-25,6.071646779743485,5.337982499367816,5.193190716631294,4.610846558883009,5.830855258007938,5.792568558069255,6.071646779743485
2024-03-26,6.1028634726984645,5.365427139467394,5.219890925971301,4.634552710856701,5.860833948280473,5.822350401555473,6.1028634726984645
2024-03-27,6.039062559296185,5.309335576249113,5.086389879271268,4.516021950988243,5.799563274133465,5.761482044360663,6.039062559296185
2024-03-28,5.970179501979213,5.248775967332522,5.0283732447108305,4.464511075609784,5.733412005537881,5.695765139792174,5.970179501979213
2024-03-29,6.056846303047669,5.324970430574857,5.101368206345205,4.529320666867387,5.816641743866975,5.778448373041588,6.056846303047669
2024-04-01,6.084259263295563,5.349070960030444,5.124456724173377,4.549820128332725,5.842967551213388,5.804601319248096,6.084259263295563
2024-04-02,6.048236779556795,5.317401234376635,5.094116850241612,4.522882449562868,5.808373659912686,5.770234579176045,6.048236779556795
2024-04-03,5.97187015355229,5.250262329902182,5.029797193041591,4.465775347926973,5.735035608651162,5.697378081964226,5.97187015355229
2024-04-08,5.864956877145983,5.156267863637949,4.939749672961563,4.38582540563672,5.632362336885029,5.59537898586768,5.864956877145983
2024-04-09,5.913764628700584,5.199177955921506,4.9808579163519475,4.42232393090198,5.679234453315312,5.641943329496573,5.913764628700584
2024-04-10,6.004885809420161,5.279288556166829,5.057604571457524,4.490464515353474,5.766741917927257,5.728876200521173,6.004885809420161
2024-04-11,6.0322221636360345,5.303321736240426,5.080628567989198,4.510906690688922,5.792994157310841,5.754956061828553,6.0322221636360345
2024-04-12,5.922876746772542,5.207189015946038,4.988532581862506,4.429137989347129,5.687985199776506,5.650636616599033,5.922876746772542
2024-04-15,5.895540392556669,5.183155835872441,4.965508585330833,4.408695814011681,5.661732960392922,5.624556755291652,5.895540392556669
2024-04-16,5.767970739549261,5.071000995528988,4.858063268183026,4.313298995779589,5.539222509936198,5.502850735857212,5.767970739549261
2024-04-17,5.770389986440227,5.07312791398029,4.860100874646089,4.315108112998891,5.541545813475802,5.505158784066071,5.770389986440227
2024-04-18,5.7568648093982135,5.061237044670833,4.848709317935693,4.304993961040204,5.528557022702594,5.492255280598566,5.7568648093982135
2024-04-19,5.778856138697659,5.080571063133487,4.867231476579047,4.321439117034628,5.549676212063882,5.513235796638318,5.778856138697659
2024-04-22,5.665268607117793,4.980708821847881,4.7715625767512275,4.236498154602699,5.440593375103365,5.404869221986221,5.665268607117793
2024-04-23,5.553182218274392,4.882166333497021,4.677158011767952,4.152679749435722,5.332952148028183,5.297934791286476,5.553182218274392
2024-04-24,5.716566277017791,5.0258079644887355,4.814767949513578,4.274858645329249,5.489856663814076,5.453809036923462,5.716566277017791
2024-04-25,5.724985373154784,5.0332097435233285,4.8218589185113885,4.281154460712649,5.497941872450032,5.4618411562709195,5.724985373154784
