date,nav,drawdown,signal,holding,exposure,current_momentum,effective_momentum,absolute_momentum_threshold
2023-01-03,3.997249018544503,-0.1212538178615642,159954,159954,1.0,0.12616822429906538,0.12616822429906538,0.06
2023-01-04,4.091236893116088,-0.10059173612386951,159954,159954,1.0,0.10119047619047605,0.10119047619047605,0.06
2023-01-05,4.152052576662408,-0.08722215382300813,159954,159954,1.0,0.09635036496350358,0.09635036496350358,0.05
2023-01-06,4.091236893116087,-0.10059173612386962,159954,159954,1.0,0.06628242074927959,0.06628242074927959,0.05
2023-01-09,4.1244090841413525,-0.09329923668703621,159954,159954,1.0,0.0843023255813955,0.0843023255813955,0.05
2023-01-10,4.082031057236725,-0.1026155262592483,159985,159985,0.8,0.04609544468546645,0.042313117066290484,0.05
2023-01-11,4.113876359120356,-0.09561472712978203,159954,159954,1.0,0.0509193776520509,0.0509193776520509,0.05
2023-01-12,4.069581593477069,-0.1053523882104841,159954,159954,1.0,0.050000000000000044,0.050000000000000044,0.05
2023-01-13,4.0935782827643195,-0.1000770103200137,518880,518880,0.8,0.029923273657288973,0.0437235543018335,0.05
2023-01-16,4.112282489469773,-0.09596511982830502,518880,518880,0.8,0.032110091743119185,0.03671759487432236,0.05
2023-01-17,4.125279332893282,-0.09310792316998473,518880,518880,0.8,0.036980362152512214,0.029535864978903037,0.05
2023-01-18,4.113868968532866,-0.09561635185981754,159985,159985,0.8,0.054478784704033556,0.04714086874872536,0.05
2023-01-19,4.05952956203782,-0.10756220406358585,510300,510300,1.0,0.05161437513019185,0.05161437513019185,0.05
2023-01-20,4.077902887393277,-0.1035230537793802,159954,159954,1.0,0.05641748942172087,0.05641748942172087,0.05
2023-01-30,4.139093208556712,-0.09007111199223261,510300,510300,1.0,0.06297180982754291,0.06297180982754291,0.05
2023-01-31,4.09381418653683,-0.10002514976829835,510300,510300,1.0,0.06674593682518348,0.06674593682518348,0.05
2023-02-01,4.124328310071969,-0.093316993875732,510300,510300,1.0,0.09207547328786503,0.09207547328786503,0.05
2023-02-02,4.114485044415472,-0.09548091513139867,510300,510300,1.0,0.09030864795728455,0.09030864795728455,0.05
2023-02-03,4.072159002092539,-0.10478577653076449,510300,510300,1.0,0.07687959844678649,0.07687959844678649,0.05
2023-02-06,4.016052387850509,-0.11712012768806368,510300,510300,1.0,0.06477172762261163,0.06477172762261163,0.05
2023-02-07,4.025895653507005,-0.11495620643239723,510300,510300,1.0,0.06491827425933194,0.06491827425933194,0.05
2023-02-08,4.005152939789071,-0.11951623769446307,159941,159941,1.0,0.09001636661211188,0.09001636661211188,0.05
2023-02-09,3.9530859515718135,-0.13096252660443508,510300,510300,1.0,0.06526508289504362,0.06526508289504362,0.05
2023-02-10,3.9300973247635445,-0.1360162943198443,510300,510300,1.0,0.06231057885587732,0.06231057885587732,0.05
2023-02-13,3.9607488271745694,-0.12927793736596538,510300,510300,1.0,0.06624591621497,0.06624591621497,0.05
2023-02-14,3.96936956222767,-0.12738277447268687,510300,510300,1.0,0.06559013617198861,0.06559013617198861,0.05
2023-02-15,3.9425494976180238,-0.13327883680733088,510300,510300,1.0,0.05705182370614725,0.05705182370614725,0.05
2023-02-16,3.9112482791418297,-0.14016002587126675,512890,512890,0.8,0.031476997578691934,0.03006575487263574,0.05
2023-02-17,3.9002306783555145,-0.14258211030543222,512890,512890,0.8,0.026602176541716593,0.01143113900552195,0.05
2023-02-20,3.9663830008152545,-0.12803933337775053,512890,512890,0.8,0.04963680387409153,0.03141547182097537,0.05
2023-02-21,3.99932182158327,-0.12079813753036861,512890,512890,0.8,0.06829268292682844,0.03114283832857634,0.05
2023-02-22,4.00662651897429,-0.11919228937973914,512890,512890,0.8,0.06553398058252369,0.02117769855250895,0.05
2023-02-23,3.992023779952972,-0.12240252249361694,512890,512890,0.8,0.06326034063260288,0.019676702425287962,0.05
2023-02-24,3.995278238515549,-0.1216870696850667,512890,512890,1.0,0.052948255114319664,0.052948255114319664,0.05
2023-02-27,3.977014109425192,-0.12570221450936359,512890,512890,1.0,0.046874999999999334,0.046874999999999334,0.05
2023-02-28,3.9952782385155485,-0.12168706968506682,512890,512890,1.0,0.05421686746987886,0.05421686746987886,0.05
2023-03-01,4.0181083998784946,-0.11666813865469572,512890,512890,1.0,0.05515587529975963,0.05515587529975963,0.05
2023-03-02,4.054636658059208,-0.10863784900610196,512890,512890,1.0,0.06093189964157664,0.06093189964157664,0.05
2023-03-03,4.0865988839673335,-0.10161134556358242,512890,512890,1.0,0.05917159763313573,0.05917159763313573,0.05
2023-03-06,4.0865988839673335,-0.10161134556358242,512890,512890,1.0,0.06547619047619024,0.06547619047619024,0.05
2023-03-07,4.068827886362416,-0.10551808147762332,159941,159941,1.0,0.05128205128205132,0.05128205128205132,0.05
2023-03-08,4.0279845454604395,-0.1144969891505957,512890,512890,0.8,0.04829210836277942,0.025236593059936974,0.05
2023-03-09,4.024363885194857,-0.11529294691315695,512890,512890,0.8,0.0483490566037732,0.015444015444015413,0.05
2023-03-10,3.958781420839171,-0.12971044752430816,512890,512890,1.0,0.03321470937129267,0.03321470937129267,0.05
2023-03-13,4.013322611482191,-0.11772023554990141,512890,512890,1.0,0.05119047619047579,0.05119047619047579,0.05
2023-03-14,3.9951422146011843,-0.12171697287470362,512890,512890,1.0,0.04270462633451921,0.04270462633451921,0.05
2023-03-15,4.058773603684708,-0.10772839223789554,512890,512890,1.0,0.06309523809523787,0.06309523809523787,0.05
2023-03-16,4.026957909142946,-0.11472268255629958,512890,512890,1.0,0.046044864226682414,0.046044864226682414,0.05
2023-03-17,4.090180239296645,-0.10082402850930006,512890,512890,0.8,0.05757931844888353,0.0277777777777779,0.05
2023-03-20,4.068365944687063,-0.1056196336905838,512890,512890,0.8,0.04683840749414503,0.01702786377708998,0.05
2023-03-21,4.057835885037476,-0.10793453818410803,518880,518880,0.8,0.06749688667496878,0.012213740458015376,0.05
2023-03-22,4.006910821027766,-0.11912978905941696,512890,512890,0.8,0.04912280701754401,0.027397260273972712,0.05
2023-03-23,4.003304601288841,-0.11992257224926361,518880,518880,1.0,0.06298425393651574,0.06298425393651574,0.05
2023-03-24,4.023610570842404,-0.11545855383634263,518880,518880,0.8,0.07089178356713433,0.027522935779816793,0.05
2023-03-27,4.001774836282511,-0.12025887232780386,518880,518880,0.8,0.058852867830424094,0.03975535168195732,0.05
2023-03-28,3.985941153463493,-0.12373971334167422,518880,518880,0.8,0.05493133583021215,0.03527607361963203,0.05
2023-03-29,3.9936646338045723,-0.12204180089462435,159941,159941,1.0,0.05304212168486755,0.05304212168486755,0.05
2023-03-30,4.029163874993946,-0.1142377280136877,159941,159941,1.0,0.05581395348837215,0.05581395348837215,0.05
2023-03-31,4.046913495588633,-0.11033569157321932,159941,159941,1.0,0.057187017001545604,0.057187017001545604,0.05
2023-04-03,4.100162357372695,-0.09862958225181417,159941,159941,1.0,0.07943925233644888,0.07943925233644888,0.05
2023-04-04,4.117911977967381,-0.09472754581134601,159941,159941,1.0,0.08074534161490687,0.08074534161490687,0.05
