base_pool,plus_510500_risk,plus_588000_risk,plus_510050_risk,plus_511380_defensive,plus_513660_defensive,plus_513300_defensive
1.0518430269968702,1.0518430269968702,1.0518430269968702,1.061640616675656,1.0518430269968702,1.0518430269968702,1.0518430269968702
1.0543362389052149,1.0543362389052149,1.0543362389052149,1.0685067411764226,1.0543362389052149,1.0543362389052149,1.0543362389052149
1.0559648765744436,1.0559648765744436,1.0559648765744436,1.0729143604031715,1.0559648765744436,1.0559648765744436,1.0559648765744436
1.0515774786192549,1.0515774786192549,1.0515774786192549,1.0636310405370724,1.0515774786192549,1.0515774786192549,1.0515774786192549
1.0507718529237609,1.0507718529237609,1.0507718529237609,1.0612238288906362,1.0507718529237609,1.0507718529237609,1.0507718529237609
1.0531861221466332,1.0531861221466332,1.0531861221466332,1.06170186620326,1.0531861221466332,1.0531861221466332,1.0531861221466332
1.0382105700744793,1.0382105700744793,1.0382105700744793,1.0464260022563658,1.0382105700744793,1.0382105700744793,1.0382105700744793
1.0748251668464341,1.0748251668464341,1.0748251668464341,1.086131670640651,1.0748251668464341,1.0748251668464341,1.0748251668464341
1.081054048651343,1.081054048651343,1.081054048651343,1.0899204009650667,1.081054048651343,1.081054048651343,1.081054048651343
1.073273443993183,1.073273443993183,1.073273443993183,1.0780750127969876,1.073273443993183,1.073273443993183,1.073273443993183
1.066599376716117,1.066599376716117,1.066599376716117,1.067127163923047,1.066599376716117,1.066599376716117,1.066599376716117
1.082450286499149,1.082450286499149,1.082450286499149,1.0844132410924268,1.082450286499149,1.082450286499149,1.082450286499149
1.0862044493424985,1.0862044493424985,1.0862044493424985,1.090175266815553,1.0862044493424985,1.0862044493424985,1.0862044493424985
1.084535932523232,1.084535932523232,1.084535932523232,1.0907452764765928,1.084535932523232,1.084535932523232,1.084535932523232
1.0866215785473152,1.0866215785473152,1.0866215785473152,1.0952963087529324,1.0866215785473152,1.0866215785473152,1.0866215785473152
1.0795303820654325,1.0795303820654325,1.0795303820654325,1.0918392977836961,1.0795303820654325,1.0795303820654325,1.0795303820654325
1.074524831607633,1.074524831607633,1.074524831607633,1.0849915352221344,1.074524831607633,1.074524831607633,1.074524831607633
1.103723875944797,1.103723875944797,1.103723875944797,1.1143078296030426,1.103723875944797,1.103723875944797,1.103723875944797
1.1120664600411294,1.1120664600411294,1.1120664600411294,1.1196390555916156,1.1120664600411294,1.1120664600411294,1.1120664600411294
1.1183233981133789,1.1183233981133789,1.1183233981133789,1.122419701407866,1.1183233981133789,1.1183233981133789,1.1183233981133789
1.1212433025470954,1.1212433025470954,1.1212433025470954,1.1255190956538512,1.1212433025470954,1.1212433025470954,1.1212433025470954
1.14293402119756,1.14293402119756,1.14293402119756,1.147032173065246,1.14293402119756,1.14293402119756,1.14293402119756
1.145019667221643,1.145019667221643,1.145019667221643,1.1504227623955778,1.145019667221643,1.145019667221643,1.145019667221643
1.1533590257125048,1.1533590257125048,1.1533590257125048,1.1543358992147599,1.1533590257125048,1.1533590257125048,1.1533590257125048
1.1566741498455566,1.1566741498455566,1.1566741498455566,1.1602692769936898,1.1566741498455566,1.1566741498455566,1.1566741498455566
1.1512515880179357,1.1512515880179357,1.1512515880179357,1.1485800575101541,1.1512515880179357,1.1512515880179357,1.1512515880179357
1.1550056692832116,1.1550056692832116,1.1550056692832116,1.1445298905817993,1.1550056692832116,1.1550056692832116,1.1550056692832116
1.137903743519177,1.137903743519177,1.137903743519177,1.132667121401699,1.137903743519177,1.137903743519177,1.137903743519177
1.1195504573333839,1.1195504573333839,1.1195504573333839,1.119314525236694,1.1195504573333839,1.1195504573333839,1.1195504573333839
1.1245558990204183,1.1245558990204183,1.1245558990204183,1.118305452350556,1.1245558990204183,1.1245558990204183,1.1245558990204183
1.084116518510726,1.084116518510726,1.084116518510726,1.0901963337699987,1.084116518510726,1.084116518510726,1.084116518510726
1.0832158678645787,1.0832158678645787,1.0832158678645787,1.0892906322004052,1.0832158678645787,1.0832158678645787,1.0832158678645787
