date,nav,drawdown,entry_risk_level
2014-02-07,0.9853842085776106,-0.1480883283254989,低
2014-02-10,0.9937281877631468,-0.14087456013793254,低
2014-02-11,0.9992908405535044,-0.13606538134622148,低
2014-02-12,1.0016748346065147,-0.1340043047212025,低
2014-02-13,1.0000855052378412,-0.1353783558045485,低
2014-02-14,1.0139921372137348,-0.1233554088252713,低
2014-02-18,1.023107926527286,-0.11547437395061078,低
2014-03-24,1.0479028831033497,-0.09403795075452359,低
2014-03-25,1.0352010299748242,-0.10501930892719602,低
2014-03-26,1.0375826274364226,-0.10296030426982006,低
2014-03-27,1.0240869084873645,-0.11462799732828444,低
2014-03-28,1.0272623717694958,-0.11188265778511641,低
2014-04-01,1.0203894048368711,-0.11782466568210481,低
2014-04-02,1.0223063790612223,-0.11616734998553879,低
2014-04-03,1.026138531048332,-0.11285427171918228,低
2014-04-04,1.0232670979260825,-0.11533676268055881,低
2014-04-08,1.0366765263544429,-0.10374367189509359,低
2014-04-09,1.0379494982977793,-0.10264312690279276,低
2014-04-11,1.038164061197348,-0.10245762703699446,低
2014-04-14,1.047356964334668,-0.09450992358174948,低
2014-04-18,1.0294408924991054,-0.10999922265353634,低
2014-04-21,1.0249702690031806,-0.1138642900076583,低
2014-04-22,1.028806415039216,-0.11054775869540612,低
2014-04-23,1.0281676528102432,-0.11109999912462121,低
2014-04-24,1.0275287913560698,-0.11165232533875746,低
2014-04-25,1.0329599579174544,-0.10695682266662654,低
2014-04-30,1.0451002304384216,-0.09646097772828477,低
2014-05-05,1.0499016097513083,-0.09230995618645488,低
2014-05-06,1.0507018396367898,-0.09161811926281627,低
2014-05-07,1.0503017246940491,-0.09196403772463546,低
2014-05-08,1.035097356869907,-0.10510893927376441,低
2014-05-09,1.0354974718126473,-0.10476302081194544,低
2014-05-12,1.0373942967216974,-0.10312312515999944,低
2014-05-13,1.0380344166116915,-0.10256971096804257,低
2014-05-14,1.038890548997239,-0.10182954366538266,低
2014-05-15,1.0436891196623534,-0.09768095033358304,低
2014-05-23,1.0362539937395154,-0.10410897150430842,低
2014-05-26,1.0350569348326155,-0.10514388605397629,低
2014-05-27,1.0330618366544495,-0.10686874363675569,低
2014-06-05,1.0177805060942848,-0.12008018314390212,低
2014-06-10,1.023449099160804,-0.11517941392789077,低
2014-06-11,1.0263720795312754,-0.11265235791054862,低
2014-06-12,1.0263720795312754,-0.11265235791054862,低
2014-06-13,1.0309157029663547,-0.1087241786254094,低
2014-06-16,1.0344817635741,-0.10564114905461686,低
2014-06-17,1.0283275080726022,-0.11096179662188499,低
2014-06-18,1.027678721001263,-0.11152270400571984,低
2014-06-20,1.0339888176966148,-0.10606732428949261,低
2014-06-23,1.037033908860722,-0.10343469766382285,低
2014-06-24,1.036930205469836,-0.10352435419405659,低
2014-06-25,1.034413575467937,-0.10570010092638815,低
2014-06-26,1.035043115871417,-0.10515583320538469,低
2014-06-27,1.0359872829098402,-0.1043395557442266,低
2014-06-30,1.034414029632832,-0.10569970827916342,低
2014-07-01,1.0372469626923058,-0.10325050245931167,低
2014-07-02,1.039134296058842,-0.10161881269881312,低
2014-07-03,1.0372478192732586,-0.10324976190420121,低
2014-07-04,1.03630415181069,-0.10406560745819293,低
2014-07-07,1.0306408577742294,-0.1089617954098443,低
2014-07-08,1.0344215808291135,-0.10569317990962857,低
2014-07-09,1.035680671380142,-0.10460463604340953,低
2014-07-14,1.0347629743094662,-0.10539802895428108,低
2014-07-15,1.0284678383440855,-0.1108404744055097,低
2014-07-16,1.0224782938449168,-0.11601872145111747,低
2014-07-17,1.02658241358864,-0.11247051408063957,低
2014-07-18,1.031628594423484,-0.10810784994094425,低
2014-07-21,1.031628594423484,-0.10810784994094425,低
2014-07-22,1.027848581253077,-0.11137585171215314,低
2014-07-23,1.0269027083255438,-0.11219360399585343,低
2014-08-28,1.0561343362325486,-0.08692146671249845,低
2014-08-29,1.0568710732718756,-0.08628452238429218,低
2014-09-01,1.0569799558686108,-0.08619038818344593,低
2014-09-02,1.0573968278129064,-0.08582998249412421,低
2014-09-03,1.0578954341521307,-0.08539891351995299,低
2014-09-04,1.0599485226385268,-0.08362392054836276,低
2014-09-09,1.057694411879654,-0.08557270686746021,低
2014-09-10,1.0538338758049388,-0.08891032453206416,低
2014-09-11,1.0495075258502728,-0.09265066052491366,低
2014-09-12,1.0480895232014225,-0.093876591483118,低
2014-09-15,1.045792480604596,-0.09586249442486983,低
2014-09-16,1.0406998112480452,-0.10026535011005189,低
2014-09-17,1.0418706189747575,-0.0992531309583845,低
2014-09-18,1.0370840289574794,-0.10339136644840319,低
2014-09-19,1.0391099004881177,-0.10163990383388144,低
2014-09-22,1.02609506475808,-0.11289185040135286,低
2014-09-23,1.0302024091836568,-0.10934085513952807,低
2014-09-24,1.0372867856950447,-0.10321607357305673,低
2014-09-25,1.031808831546715,-0.10795202634684453,低
2014-09-26,1.038685202209643,-0.10200707576257995,低
2014-09-29,1.0387436410980635,-0.10195655255478786,低
2014-09-30,1.0399777919587745,-0.10088957024099121,低
2014-10-13,1.0287568811657952,-0.11059058309277625,低
2014-10-14,1.0284452462948586,-0.1108600063101779,低
2014-10-15,1.0264127227026156,-0.11261721994939888,低
2014-10-16,1.0298588924278498,-0.10963784176783031,低
2014-10-17,1.0293686581858392,-0.11006167266443678,低
2014-10-20,1.0300550781654034,-0.10946822983556759,低
2014-10-21,1.0282687120723988,-0.11101262856985517,低
2014-10-22,1.0266982653121426,-0.11237035473713053,低
2014-10-23,1.0237696095533084,-0.11490231739854662,低
2014-10-24,1.0235425723503684,-0.11509860189489363,低
2014-10-27,1.0209300777452324,-0.11735722815146277,低
2014-10-28,1.0258710897332202,-0.11308548749861991,低
2014-10-29,1.027654414393956,-0.11154371822766829,低
2014-10-30,1.021416849758766,-0.1169363905165951,低
2014-10-31,1.015222583921848,-0.1222916289281607,低
2014-11-03,1.0064522505537985,-0.12987400065248822,低
2014-11-04,1.0050018462534114,-0.13112794438468,低
2014-11-05,0.993531747553434,-0.14104439207352049,低
2014-11-06,0.9910833967464896,-0.1431611081834735,低
2014-11-07,0.9895341686015844,-0.1445004898452078,低
2014-11-10,1.0090220119033095,-0.12765231933467358,低
2014-11-11,0.9986005542858126,-0.13666216676567944,低
2014-11-12,1.0107586616108453,-0.12615090278813135,低
2014-11-13,1.0066086954195703,-0.12973874660034856,低
2014-11-14,1.0040911339995535,-0.13191529858809115,低
2014-11-17,1.0163340739145168,-0.1213306927882658,低
2014-11-18,1.014660043019228,-0.12277797238339838,低
2014-11-19,1.0163432032753723,-0.1213228000201455,低
2014-11-20,1.0117183647551309,-0.12532119362205918,低
2014-11-21,1.0210591624242735,-0.11724562828640284,低
2015-02-17,1.230259698208546,-0.07926956673558427,低
2015-02-26,1.223200659965907,-0.0845525743388077,低
2015-03-03,1.221884990598435,-0.08553722565146082,低
2015-03-09,1.218916145930581,-0.08775911883491494,低
2015-03-11,1.2155759787900742,-0.090258910986875,低
2015-03-12,1.2224415210497883,-0.08512071641821073,低
2015-06-19,1.5067573689659104,-0.12218820111807005,低
2015-06-23,1.5174277768147748,-0.11597179886145204,低
2015-06-24,1.5301300189526468,-0.10857168371980075,低
2015-06-25,1.5128023145745204,-0.11866651628139391,低
2015-06-26,1.482359423022712,-0.13640203889881475,低
2015-06-30,1.4668600059187034,-0.14543174168303186,低
2015-08-07,1.4407394149007846,-0.16064916385169503,低
2015-08-10,1.4449555704816557,-0.15819290168829814,低
2015-08-11,1.4731201441579602,-0.14178468919652376,低
2015-08-17,1.472871816280927,-0.1419293608901493,低
2015-08-18,1.4733838968776345,-0.14163103124595655,低
2015-08-19,1.477480185730813,-0.13924460144577144,低
2015-08-20,1.495900717916548,-0.1285131055676927,低
2015-08-21,1.5181937705131856,-0.11552554366457479,低
2015-08-25,1.5042187650942356,-0.12366714953879221,低
2015-08-26,1.4921494422324155,-0.1306985364301615,低
2015-08-27,1.4749982992182498,-0.1406905072757919,低
2015-08-28,1.4819858019277246,-0.1366197043386833,低
2015-08-31,1.4857971670419834,-0.13439926637298782,低
2015-09-07,1.4692812515468612,-0.1440211642243353,低
2015-09-08,1.4629289763564293,-0.14772189416716153,低
2015-09-09,1.4692812515468612,-0.1440211642243353,低
