date,entry_risk_score,entry_risk_level
2014-09-11,29.55498624372877,低
2014-09-12,28.574582445873276,低
2014-09-15,27.716362084661984,低
2014-09-16,26.678867712392098,低
2014-09-17,26.94237288301169,低
2014-09-18,25.475428913884535,低
2014-09-19,25.96800583606435,低
2014-09-22,22.484617135720296,低
2014-09-23,23.692100876652468,低
2014-09-24,25.61553292275936,低
2014-09-25,24.07960951359389,低
2014-09-26,26.412400068710816,低
2014-09-29,26.337723240660875,低
2014-09-30,26.870155177170624,低
2014-10-08,45.52391175452526,中
2014-10-09,46.0143787359532,中
2014-10-10,44.683852696165395,中
2014-10-13,23.955215715240215,低
2014-10-14,24.04089857678618,低
2014-10-15,23.501997747472274,低
2014-10-16,24.82669473171021,低
2014-10-17,24.8080965397112,低
2014-10-20,28.284702879313965,低
2014-10-21,27.197141440542776,低
2014-10-22,26.907959621831555,低
2014-10-23,25.29609078375179,低
2014-10-24,24.107893487183706,低
2014-10-27,22.7538507051748,低
2014-10-28,25.48011775090219,低
2014-10-29,26.194770463979022,低
2014-10-30,24.155968010893314,低
2014-10-31,21.041342649625662,低
2014-11-03,33.76009886663004,低
2014-11-04,18.257850658611737,低
2014-11-05,14.640399219425259,低
2014-11-06,14.086652621601504,低
2014-11-07,13.385981378441766,低
2014-11-10,18.803404268519543,低
2014-11-11,15.746345591405031,低
2014-11-12,19.283077196640452,低
2014-11-13,18.02025945766999,低
2014-11-14,17.33008921727033,低
2014-11-17,20.88807063164893,低
2014-11-18,20.54317015863495,低
2014-11-19,21.366705454009235,低
2014-11-20,19.538360172134013,低
2014-11-21,39.86028384656446,低
2014-11-24,55.44165431296428,中
2014-11-25,63.006697963897864,中
2014-11-26,69.18863417559838,中
2014-11-27,74.43700587258006,高
2014-11-28,83.15767572687554,高
2014-12-01,84.23882005925961,高
2014-12-02,96.28975925518955,高
2014-12-03,97.06748263314589,高
2014-12-04,98.73470062851473,高
2014-12-05,97.74643466964848,高
2014-12-08,99.24082037710885,高
2014-12-09,96.14124221185985,高
2014-12-10,98.82401587826662,高
2014-12-11,95.38443733175474,高
2014-12-12,96.4713751840401,高
2014-12-15,98.27323850479657,高
