date,horizon,bucket,risk_leader,risk_leader_momentum,ret,mdd
2013-01-15,20,>5%,510300,0.15973154362416153,0.03561006846056114,-0.03209520375045072
2013-01-16,20,>5%,510300,0.12850877192982502,0.047781350888954854,-0.03209520375045072
2013-01-17,20,>5%,510300,0.11125597566275558,0.01642335648886406,-0.06272953479985588
2013-01-18,20,>5%,510300,0.1312118570183094,0.0007072669987515656,-0.06350819026325272
2013-01-21,20,>5%,510300,0.13266637668551584,-0.0023358784200450122,-0.06350819026325272
2013-01-22,20,>5%,510300,0.13985094256904884,-0.004884437705243716,-0.06694674168535042
2013-01-23,20,>5%,510300,0.08722871452420722,-0.0069285311309018605,-0.0670727038752228
2013-01-24,20,>5%,510300,0.07698709945900983,0.008688647689458096,-0.0670727038752228
2013-01-25,20,>5%,510300,0.08875739644970437,0.01307996049792548,-0.0670727038752228
2013-01-28,20,>5%,510300,0.11551433389544763,-0.026306696167366028,-0.0708804658328831
2013-01-29,20,>5%,510300,0.11641541038526015,-0.026112197348119426,-0.0708804658328831
2013-01-30,20,>5%,510300,0.12741799831791467,-0.028759115786942235,-0.0708804658328831
2013-01-31,20,>5%,510300,0.129411764705883,-0.03445751740443803,-0.0708804658328831
2013-02-01,20,>5%,510300,0.1201962387571549,-0.05317378394634231,-0.0708804658328831
2013-02-04,20,>5%,510300,0.11903791275988618,-0.05666164400075002,-0.0708804658328831
2013-02-05,20,>5%,510300,0.1294934640522878,-0.067098919703382,-0.0708804658328831
2013-02-06,20,>5%,510300,0.11634460547504055,-0.07265575039275551,-0.07265575039275551
2013-02-07,20,>5%,510300,0.09350237717908083,-0.06828782457938787,-0.07131614150924903
2013-02-08,20,>5%,510300,0.09446640316205568,-0.07131614150924903,-0.07131614150924903
2013-02-18,20,>5%,510300,0.07655880031570672,-0.057358649501140224,-0.057358649501140224
2013-02-19,20,>5%,510300,0.0638129211256444,-0.04190551260771658,-0.04617002813023385
2013-02-20,20,>5%,510300,0.06941689805632723,-0.046298795176436314,-0.046298795176436314
2013-02-21,20,0-5%,510300,0.028888009497428202,-0.010005275554571758,-0.01507904676824423
2013-02-22,20,0-5%,510300,0.04138208115709152,-0.008464095538082583,-0.01507904676824423
2013-02-25,20,0-5%,510300,0.007372914241366102,-0.00928639909619744,-0.01507904676824423
2013-02-26,20,<=0%,510300,-0.013117283950617176,-0.009644391733911184,-0.01844051007418146
2013-02-27,20,0-5%,510300,0.00349786241741179,-0.008885834278941185,-0.01844051007418146
2013-02-28,20,0-5%,510300,0.04380132968322292,-0.026063360989066253,-0.026063360989066253
2013-03-01,20,0-5%,510300,0.027360308285163892,-0.026637409845824744,-0.026637409845824744
2013-03-04,20,<=0%,510300,-0.024577572964669447,-0.014056085019251041,-0.024470370770609318
2013-03-05,20,0-5%,510300,0.0050000000000003375,-0.021647942911071083,-0.024470370770609318
2013-03-06,20,0-5%,510300,0.0138195777351251,-0.024470370770609318,-0.024470370770609318
2013-03-07,20,0-5%,510300,0.008114374034003502,-0.021268462218381967,-0.021268462218381967
2013-03-08,20,0-5%,510300,0.011257763975155655,-0.020863146847970193,-0.020863146847970193
2013-03-11,20,<=0%,510300,-0.022297808012093467,-0.01903301266045765,-0.01903301266045765
2013-03-12,20,<=0%,510300,-0.04351087771942974,-0.015230210108848508,-0.015230210108848508
2013-03-13,20,<=0%,510300,-0.05930622901902283,-0.012168618730538094,-0.013467553883109606
2013-03-14,20,<=0%,510300,-0.05989583333333337,-0.012168618730538094,-0.013467553883109606
2013-03-15,20,<=0%,510300,-0.0770072992700731,-0.012168618730538094,-0.013467553883109606
2013-03-18,20,<=0%,510300,-0.08852459016393455,-0.012168618730538094,-0.013467553883109606
2013-03-19,20,<=0%,510300,-0.08716094032549715,-0.012168618730538094,-0.013467553883109606
2013-03-20,20,<=0%,510300,-0.06202668589974747,-0.012035243488409009,-0.013467553883109606
2013-03-21,20,<=0%,510300,-0.0550724637681157,-0.012752620476989773,-0.013467553883109606
2013-03-22,20,<=0%,510300,-0.05561574575659067,-0.013467553883109606,-0.013467553883109606
2013-03-25,20,<=0%,510300,-0.04288856304985322,-0.01305994575363123,-0.01305994575363123
2013-03-26,20,<=0%,510300,-0.04321907600596131,-0.008651844610747528,-0.009276833524178407
2013-03-27,20,<=0%,510300,-0.04525222551928798,-0.009276833524178407,-0.009276833524178407
2013-03-28,20,<=0%,510300,-0.04076923076923067,-0.0008927164595029513,-0.0008927164595029513
2013-03-29,20,<=0%,510300,-0.04050925925925941,0.0,0.0
2013-04-01,20,<=0%,510300,-0.0435285053929122,0.0,0.0
2013-04-02,20,<=0%,510300,-0.027756059421422896,0.0,0.0
2013-04-03,20,<=0%,510300,-0.03872966692486435,0.0,0.0
2013-04-08,20,<=0%,510300,-0.07455976020981647,0.0,0.0
2013-04-09,20,<=0%,510300,-0.06789197299324845,0.0,0.0
2013-04-10,20,<=0%,510300,-0.021653543307086798,0.0,0.0
