date,nav,strategy_return,current_momentum,signal,holding,exposure,target_exposure,trade_cost_rate,turnover,drawdown
2020-01-17,1.8165997852425124,0.0,0.12639999999999985,159949,159949,1.0,1.0,0.0,0.0,-0.1743183770544834
2020-01-20,1.8682077336869019,0.02840909090909083,0.12772585669781922,159949,159949,1.0,1.0,0.0,0.0,-0.15086151276625848
2020-01-21,1.8501449517313655,-0.00966850828729282,0.10477657935285056,159949,159949,1.0,1.0,0.0,0.0,-0.1590714152671372
2020-01-22,1.8914313104868772,0.02231520223152028,0.1156773211567732,159949,159949,1.0,1.0,0.0,0.0,-0.14030592383655727
2020-01-23,1.8346625671980485,-0.030013642564802212,0.04097116843702597,518880,159949,1.0,0.5,0.0,0.0,-0.16610847455360478
2020-02-03,1.8573384348972182,0.012359693877550981,0.06925880923450789,518880,518880,0.5,1.0,0.00075,1.5,-0.15580183057200336
2020-02-04,1.8421035108543808,-0.008202556818181828,0.05754088431253779,518880,518880,1.0,0.5,0.00025,0.5,-0.1627264140225415
2020-02-05,1.8355780095106788,-0.0035424183848796753,0.04708723211590704,518880,518880,0.5,0.5,0.00025,0.5,-0.16569238736668224
2020-02-06,1.8310803407067469,-0.002450273854136542,0.036325427799459575,518880,518880,0.5,0.5,0.0,0.0,-0.1677366694962248
2020-02-07,1.8353238640919305,0.002317497103128563,0.034606205250596656,518880,518880,0.5,0.5,0.0,0.0,-0.16580790163874204
2020-02-10,1.8387637732951017,0.001874279123414091,0.03817476886370397,518880,518880,0.5,0.5,0.0,0.0,-0.1642443928038666
2020-02-11,1.8363867445735196,-0.0012927319735707155,0.03241153731787105,518880,518880,0.5,0.5,0.0,0.0,-0.16532480079938006
2020-02-12,1.8345355482584254,-0.0010080645161290036,0.030943171675096526,518880,518880,0.5,0.5,0.0,0.0,-0.16616620725018705
2020-02-13,1.8411536418668613,0.003607503607503615,0.03132387706855799,518880,518880,0.5,0.5,0.0,0.0,-0.16315814883478374
2020-02-14,1.8422087442404236,0.0005730659025786622,0.03679525222551927,518880,518880,0.5,0.5,0.0,0.0,-0.16267858330403018
