date,baseline_raw,slope_060,slope_065,slope_070,slope_075,slope_080,slope_085,slope_090,slope_095,slope_100
2016-11-07,1.7319325523530373,1.6878677849604289,1.6983163358630269,1.735367980510179,1.735367980510179,1.735367980510179,1.7330021941133211,1.7330021941133211,1.7461167796493273,1.7433623627287285
2016-11-08,1.7365730904452985,1.692390255965531,1.702866802703421,1.7400177234846999,1.7400177234846999,1.7400177234846999,1.7376455982024868,1.7376455982024868,1.7507953229439206,1.7480335258417872
2016-11-09,1.7590807289468413,1.714325242920234,1.7249375756656455,1.76257000770582,1.76257000770582,1.76257000770582,1.7601671374243746,1.7601671374243746,1.7734872951020915,1.7706897024834138
2016-11-10,1.7331175040473632,1.689022588471033,1.6994782880516084,1.7365552826519342,1.7365552826519342,1.7365552826519342,1.7341878776339614,1.7341878776339614,1.7473114358925657,1.7445551344580505
2016-11-11,1.7209343530989543,1.6771494078571625,1.687531607882189,1.7243479654392246,1.7243479654392246,1.7243479654392246,1.7219972023700076,1.7219972023700076,1.73502850705038,1.732291581357185
2016-11-14,1.690387342009367,1.6473795903923345,1.6575775037949645,1.6937403618849531,1.6937403618849531,1.6937403618849531,1.6914313254425626,1.6914313254425626,1.7042313212366509,1.7015429766525207
2016-11-15,1.6994302630498657,1.6561924365308642,1.6664449048413466,1.7028012202900005,1.7028012202900005,1.7028012202900005,1.7004798313922234,1.7004798313922234,1.713348302232479,1.7106455760405364
2016-11-16,1.7043246723936514,1.6609623196574106,1.6712443153793948,1.707705338090186,1.707705338090186,1.707705338090186,1.70537726352383,1.70537726352383,1.7182827959401268,1.7155722858169367
2016-11-17,1.700905829910019,1.657630461218618,1.6678918314551179,1.7042797140562462,1.7042797140562462,1.7042797140562462,1.7019563095626535,1.7019563095626535,1.7148359537293618,1.7121308808373
2016-11-18,1.6863767374012144,1.6434710257619638,1.653644743645928,1.6897218019185047,1.6897218019185047,1.6897218019185047,1.6874182438845038,1.6874182438845038,1.700187870472174,1.6975059042410459
2016-11-21,1.6974225991720597,1.654235852726389,1.6644762090304344,1.7007895740486743,1.7007895740486743,1.7007895740486743,1.6984709275809562,1.6984709275809562,1.7113241959356316,1.7086246626759705
2016-11-22,1.70043021396572,1.6571669461531466,1.6674254470530796,1.703803154689292,1.703803154689292,1.703803154689292,1.701480399877888,1.701480399877888,1.7143564425729483,1.711652126087135
2016-11-23,1.7014323091194385,1.6581435454584306,1.6684080918837556,1.704807237579717,1.704807237579717,1.704807237579717,1.7024831139256984,1.7024831139256984,1.715366744712218,1.7126608345223984
2016-11-24,1.690251822252205,1.6472475186023396,1.6574446144297823,1.6936045733134026,1.6936045733134026,1.6936045733134026,1.6912957219883815,1.6912957219883815,1.704094691596176,1.701406562538864
2016-11-25,1.7077137857126237,1.6642652053170757,1.6745676471718953,1.7111011739892656,1.7111011739892656,1.7111011739892656,1.7087684699596106,1.7087684699596106,1.7216996655095282,1.7189837654356388
2016-11-28,1.7153332560337062,1.6716908169414686,1.6820392261888362,1.7187357581453806,1.7187357581453806,1.7187357581453806,1.7163926460665135,1.7163926460665135,1.7293815379713666,1.7266535201057365
2016-11-29,1.6859663132619949,1.6697270751671467,1.6800633280974904,1.716716752493686,1.716716752493686,1.716716752493686,1.714376392877789,1.714376392877789,1.7273500266802602,1.7246252134279412
2016-11-30,1.6694364864481148,1.6534607002562276,1.6636962580682855,1.699992607136504,1.699992607136504,1.699992607136504,1.6976750471550532,1.6976750471550532,1.7105222926426153,1.7078240243476033
2016-12-01,1.6852165366397291,1.6690897421824753,1.6794220497764651,1.7160614836009582,1.7160614836009582,1.7160614836009582,1.7137220172977479,1.7137220172977479,1.7266906990784925,1.7239669258843893
2016-12-02,1.6666517717084184,1.6507026340339488,1.6609211183550774,1.6971569230545416,1.6971569230545416,1.6971569230545416,1.6948432288945778,1.6948432288945778,1.707669044448049,1.7049752770175823
2016-12-05,1.6332351948320594,1.6176058393666017,1.6276194417965797,1.663128714070992,1.663128714070992,1.663128714070992,1.6608614097688723,1.6608614097688723,1.673430066113251,1.6707903090573302
2016-12-06,1.6303230860903675,1.6147215982479086,1.6247173461158098,1.6601633042622088,1.6601633042622088,1.6601633042622088,1.6579000426336117,1.6579000426336117,1.6704462886759546,1.6678112383883075
2016-12-07,1.6305150743064576,1.6149117492196852,1.6249086741952516,1.6603588064874568,1.6603588064874568,1.6603588064874568,1.6580952783352692,1.6580952783352692,1.6706430018340848,1.6680076412407023
2016-12-08,1.639869066909766,1.6241762281535106,1.6342305038176728,1.6698840075968842,1.6698840075968842,1.6698840075968842,1.6676074939618104,1.6676074939618104,1.680227201654238,1.677576722437369
2016-12-09,1.6111147619527986,1.5956970894767928,1.605575068316774,1.6406034052816716,1.6406034052816716,1.6406034052816716,1.6383668092038115,1.6383668092038115,1.6507652364716137,1.6481612321161967
2016-12-12,1.6127862630177972,1.5973525949984744,1.607240822054499,1.642305500255865,1.642305500255865,1.642305500255865,1.640066583751916,1.6204669267755063,1.6327298957386462,1.6301543412831803
2016-12-13,1.610932736135114,1.5955168055675715,1.6053936683808003,1.6404180477991417,1.6404180477991417,1.6404180477991417,1.6381817044147826,1.6175408623302212,1.6297816881462943,1.6272107843493482
2016-12-14,1.6182885781741443,1.602802255375073,1.6127242179252836,1.6479085256862165,1.6479085256862165,1.6479085256862165,1.6456619707093363,1.6249268783991007,1.6372235982814565,1.6346409552220298
2016-12-15,1.6098809915472794,1.594475125721223,1.6043455401354743,1.6393470528625695,1.6393470528625695,1.6393470528625695,1.6371121695404454,1.616484803433784,1.6287176374684416,1.626148412161288
2016-12-16,1.6154418930724859,1.5999828118204327,1.6098873209304154,1.6450097369829928,1.6450097369829928,1.6450097369829928,1.6427671338566472,1.6220685160535897,1.6343436051280906,1.6317655051221214
2016-12-19,1.6154418930724859,1.5999828118204327,1.6098873209304154,1.6450097369829928,1.6450097369829928,1.6450097369829928,1.6427671338566472,1.6220685160535897,1.6343436051280906,1.6317655051221214
2016-12-20,1.626563696122899,1.6109981840188523,1.620970882520298,1.6563351052238398,1.6563351052238398,1.6563351052238398,1.654077062489051,1.6332359412932016,1.6455955404473892,1.6429996910437885
2016-12-21,1.6877336129001705,1.6715827311101596,1.6819304712646512,1.7186246305484971,1.7186246305484971,1.7186246305484971,1.7162816699672718,1.6946567801110657,1.7074811847035305,1.7047877136129568
2016-12-22,1.7002456413318856,1.683975024833382,1.6943994780532692,1.7313656698194502,1.7313656698194502,1.7313656698194502,1.7290053396787264,1.7072201335056292,1.7201396119377415,1.7174261727748323
2016-12-23,1.6974651905692824,1.6812211817837772,1.6916285876557986,1.7285343277592387,1.7285343277592387,1.7285343277592387,1.7261778575206255,1.7044282771957264,1.717326628107917,1.7146176262944157
2016-12-26,1.7947809672603958,1.7776056885199478,1.7886097515672692,1.8276312998666477,1.8276312998666477,1.8276312998666477,1.8251397330541583,1.802143248042328,1.8157810621517776,1.8129167531090014
2016-12-27,1.786439614972586,1.7693441593711332,1.7802970803748575,1.8191372736860125,1.8191372736860125,1.8191372736860125,1.8166572865798554,1.7937676791126194,1.8073421106623038,1.804491113667751
