date,historical_nav
2019-12-04,2.344630732455129
2019-12-05,2.35045449266155
2019-12-06,2.3747006858504127
2019-12-09,2.3911773601668074
2019-12-10,2.3891177758772577
2019-12-11,2.3891177758772577
2019-12-12,2.3952965287459063
2019-12-13,2.409361429859238
2019-12-16,2.4356317258234355
2019-12-17,2.46565492121109
2019-12-18,2.4543962229407192
2019-12-19,2.4543962229407192
2019-12-20,2.4243730275530653
2019-12-23,2.379338234471584
2019-12-24,2.433196094097612
2019-12-25,2.4245725001308402
2019-12-26,2.4393564787901747
2019-12-27,2.398700537477005
2019-12-30,2.4393564787901743
2019-12-31,2.443052473455008
2020-01-02,2.4874044094330108
2020-01-03,2.4800124201033436
2020-01-06,2.5058843827571784
2020-01-07,2.535452340075847
2020-01-08,2.4984923934275107
2020-01-09,2.5724122867241825
2020-01-10,2.568716292059349
2020-01-13,2.6093722333725187
2020-01-14,2.594588254713184
2020-01-15,2.5908922600483506
2020-01-16,2.6019802440428514
2020-01-17,2.6019802440428514
2020-01-20,2.6759001373395233
2020-01-21,2.650028174685688
2020-01-22,2.7091640893230258
2020-01-23,2.6278522066966867
2020-02-03,2.4110710316202018
2020-02-04,2.389500165447536
2020-02-05,2.4642782645084833
2020-02-06,2.545854372574971
2020-02-07,2.5424553680722006
2020-02-10,2.578009503260654
2020-02-11,2.602867743693396
2020-02-12,2.688507804597624
2020-02-13,2.6760547210241423
2020-02-14,2.6725793252825523
2020-02-17,2.782988169076598
2020-02-18,2.7909896223332273
2020-02-19,2.7287370657012593
2020-02-20,2.8117404745438828
2020-02-21,2.8636176050705227
2020-02-24,2.91203626022872
2020-02-25,2.953537964650032
2020-02-26,2.804823523806998
2020-02-27,2.8151989499123253
2020-02-28,2.656109082963963
2020-03-02,2.7356540164381444
2020-03-03,2.8013650484385546
2020-03-04,2.787531146964784
2020-03-05,2.82211590064921
2020-03-06,2.804823523806997
2020-03-09,2.673401459806176
2020-03-10,2.763321819385685
2020-03-11,2.694152312016832
2020-03-12,2.6258128387364046
2020-03-13,2.5461200013008964
2020-03-16,2.5461200013008964
2020-03-17,2.5487749752334317
2020-03-18,2.543465027368362
2020-03-19,2.5195702619755487
2020-03-20,2.593909532086524
2020-03-23,2.731179320767348
2020-03-24,2.715479684535726
2020-03-25,2.7346953819093005
2020-03-26,2.7036857485855244
2020-03-27,2.735968563494008
2020-03-30,2.760180674675371
2020-03-31,2.75210997094825
2020-04-01,2.6714029336770406
2020-04-02,2.660641995374213
2020-04-03,2.625668945890022
2020-04-07,2.631105909967526
2020-04-08,2.6060545751337765
2020-04-09,2.6098838506012214
2020-04-10,2.6125415734633406
2020-04-13,2.593937513428505
2020-04-14,2.593937513428505
2020-04-15,2.5965952362906246
2020-04-16,2.5541726639654754
2020-04-17,2.6360117880821985
2020-04-20,2.6016921553880885
2020-04-21,2.575292437931081
2020-04-22,2.5634125650754274
2020-04-23,2.589812282532435
2020-04-24,2.5752924379310813
2020-04-27,2.6597490940336668
2020-04-28,2.6798725333206797
2020-04-29,2.757454711665096
2020-04-30,2.848186411762803
2020-05-06,2.8350368900095124
2020-05-07,2.8047929899769435
2020-05-08,2.8074228943276007
2020-05-11,2.787698611697665
2020-05-12,2.748250046437792
2020-05-13,2.7088014811779195
2020-05-14,2.6575183463400847
2020-05-15,2.6838173898466664
2020-05-18,2.7035416724766024
2020-05-19,2.7535098551391073
2020-05-20,2.729840715983184
2020-05-21,2.754824807314437
2020-05-22,2.7009117681259442
2020-05-25,2.773234137769044
2020-05-26,2.8258322247822076
2020-05-27,2.783597275862813
2020-05-28,2.8492868870926142
2020-05-29,2.8383386185543142
2020-06-01,2.8657092899000647
2020-06-02,2.89581702838039
2020-06-03,2.9313989011298656
2020-06-04,2.9313989011298656
2020-06-05,2.9204506325915656
2020-06-08,2.939610102533591
2020-06-09,2.9615066396101914
2020-06-10,2.9697178410139164
2020-06-11,2.9341359682644415
2020-06-12,2.876657558438365
2020-06-15,2.805493812939414
2020-06-16,2.912239431187841
2020-06-17,2.923187699726141
2020-06-18,2.8930799612458156
2020-06-19,2.914976498322416
2020-06-22,2.9147958518915345
2020-06-23,2.97253653901156
2020-06-24,2.9696603358692792
2020-06-29,2.9406408537598074
2020-06-30,3.040596847692432
2020-07-01,3.005128591780856
2020-07-02,3.02447491318717
2020-07-03,3.069616329801904
2020-07-06,3.1695723237345295
2020-07-07,3.243408849136489
2020-07-08,3.345947245162456
2020-07-09,3.385140570804285
2020-07-10,3.3971145215210137
2020-07-13,3.471261873531334
2020-07-14,3.449681516371091
2020-07-15,3.388299282983705
2020-07-16,3.1888070244747
2020-07-17,3.1980143594828085
2020-07-20,3.253258369531456
2020-07-21,3.3115714912494725
2020-07-22,3.354539054620643
2020-07-23,3.41285217633866
2020-07-24,3.1918761361440704
2020-07-27,3.1918761361440704
2020-07-28,3.2317745878458712
2020-07-29,3.3913683946530746
2020-07-30,3.3514699429512738
2020-07-31,3.45275062804046
2020-08-03,3.5294784197746925
2020-08-04,3.4834417447341535
2020-08-05,3.514132861427847
2020-08-06,3.4435432930323535
2020-08-07,3.363746389628752
2020-08-10,3.329986161265689
2020-08-11,3.2686039278783032
2020-08-12,3.2070805153541264
2020-08-13,3.2325648387328503
2020-08-14,3.2564159683471012
2020-08-17,3.2478001461969113
2020-08-18,3.323312089533047
2020-08-19,3.282270561747114
2020-08-20,3.2702230759984503
2020-08-21,3.337153552379916
2020-08-24,3.426840390731081
2020-08-25,3.529913324358539
2020-08-26,3.4669986765599603
2020-08-27,3.5941665816847466
2020-08-28,3.6303090389307386
2020-08-31,3.7012553438950926
2020-09-01,3.7771783313612675
2020-09-02,3.9420785334958213
2020-09-03,4.112973225183367
2020-09-04,3.9379519403097536
2020-09-07,3.6660324543464387
2020-09-08,3.877990207507587
2020-09-09,3.6939216323939585
2020-09-10,3.7734057898293893
2020-09-11,3.6855548789797026
2020-09-14,3.7650390364151334
2020-09-15,3.8054783445840368
2020-09-16,3.7887448377555244
2020-09-17,3.640932194103671
2020-09-18,3.673004748858318
2020-09-21,3.604676262641896
2020-09-22,3.52189780287657
2020-09-23,3.5076118814317603
2020-09-24,3.510672380458431
2020-09-25,3.4954157381252
2020-09-28,3.5214682522707714
2020-09-29,3.5124272652182524
2020-09-30,3.532086373045967
2020-10-09,3.7337363950707725
2020-10-12,3.7396317683261477
2020-10-13,3.7264525814457734
2020-10-14,3.7244035035076704
2020-10-15,3.7244035035076704
2020-10-16,3.735639503429521
2020-10-19,3.7349864196002502
2020-10-20,3.7347048741672557
2020-10-21,3.681810691639655
2020-10-22,3.6792512393685315
2020-10-23,3.5775207903537334
2020-10-26,3.5876938352552137
2020-10-27,3.645341089696932
2020-10-28,3.679251239368531
2020-10-29,3.7335074788430904
2020-10-30,3.675860224401372
2020-11-02,3.76063559858037
2020-11-03,3.8081098081206095
2020-11-04,3.825064882956409
2020-11-05,3.889494167332449
2020-11-06,3.81828285302209
2020-11-09,3.9471414217741674
2020-11-10,3.8827121373981286
2020-11-11,3.7500997150774045
2020-11-12,3.765564043799373
2020-11-13,3.7500997150774045
2020-11-16,3.746724625333835
2020-11-17,3.7412135690455997
2020-11-18,3.705888805732722
2020-11-19,3.705888805732722
2020-11-20,3.6962547793746654
2020-11-23,3.7283682005681897
2020-11-24,3.7797496744778285
2020-11-25,3.792595042955238
2020-11-26,3.8279198062681146
2020-11-27,3.8439765168648776
2020-11-30,3.83434249050682
2020-12-01,3.8632445695809925
2020-12-02,3.8439765168648776
2020-12-03,3.8471878589842294
2020-12-04,3.8439765168648776
2020-12-07,3.8214971220294105
2020-12-08,3.799017727193944
2020-12-09,3.8407651747455254
2020-12-10,3.8407651747455254
2020-12-11,3.831131148387468
2020-12-14,3.8439765168648776
2020-12-15,3.827919806268115
2020-12-16,3.853610543222935
2020-12-17,3.869667253819698
2020-12-18,3.869667253819698
2020-12-21,3.8561731942341786
2020-12-22,3.8843929329553473
2020-12-23,3.924063328866381
2020-12-24,3.8976163982590255
2020-12-25,3.940592660495978
2020-12-28,3.924063328866381
2020-12-29,3.877781200303509
2020-12-30,4.019933452318045
2020-12-31,4.122415308421548
2021-01-04,4.2740577108979005
2021-01-05,4.284635425263619
2021-01-06,4.3181765828894765
2021-01-07,4.3543866361437065
2021-01-08,4.342116150522229
2021-01-11,4.270183503450325
2021-01-12,4.414048797594134
2021-01-13,4.355194813626213
2021-01-14,4.279992500778312
2021-01-15,4.29634082965829
2021-01-18,4.387891471386169
2021-01-19,4.279992500778312
2021-01-20,4.472902781562056
2021-01-21,4.590610749497899
2021-01-22,4.685431057001773
2021-01-25,4.675622059673786
2021-01-26,4.531756765529977
2021-01-27,4.590610749497899
2021-01-28,4.420588129146126
2021-01-29,4.348655482074221
2021-02-01,4.404239800266147
2021-02-02,4.508869105098008
2021-02-03,4.518678102425994
2021-02-04,4.505599439322012
2021-02-05,4.502329773546017
2021-02-08,4.628483288181257
2021-02-09,4.597607757750825
2021-02-10,4.7013058123368765
2021-02-18,4.820159049165618
2021-02-19,4.820159049165618
2021-02-22,4.802551162228026
2021-02-23,4.7893452470248326
2021-02-24,4.617448250796597
2021-02-25,4.721049707004352
2021-02-26,4.5580920947039605
2021-03-01,4.611325287050867
2021-03-02,4.588035765399097
2021-03-03,4.69117507557123
2021-03-04,4.694502150092912
2021-03-05,4.6246335851375955
2021-03-08,4.598016988964142
2021-03-09,4.561419169225643
2021-03-10,4.524821349487144
2021-03-11,4.621306510615913
2021-03-12,4.723644096648761
2021-03-15,4.7386973446285365
2021-03-16,4.756876355644093
2021-03-17,4.737794340385996
2021-03-18,4.744636927443569
2021-03-19,4.719130470765695
2021-03-22,4.7726429353526925
2021-03-23,4.705752354618948
2021-03-24,4.658928948105327
2021-03-25,4.652239890031953
2021-03-26,4.689029709435512
2021-03-29,4.765953877279319
2021-03-30,4.75257576113257
2021-03-31,4.745886703059195
2021-04-01,4.77598746438938
2021-04-02,4.731117262833184
2021-04-06,4.804794283611454
2021-04-07,4.801741949893497
2021-04-08,4.790217096229597
2021-04-09,4.79539757614621
2021-04-12,4.842021895395741
2021-04-13,4.826480455645896
2021-04-14,4.900734001117371
2021-04-15,4.850656028590097
2021-04-16,4.883465734728655
2021-04-19,4.90073400111737
2021-04-20,4.83338776220138
2021-04-21,4.795777478006759
2021-04-22,4.833585418156736
2021-04-23,4.775107541721565
2021-04-26,4.777452893790208
2021-04-27,4.818930385370076
2021-04-28,4.947133541162394
2021-04-29,4.95844558432054
2021-04-30,5.03762988642756
2021-05-06,4.89434400642438
2021-05-07,4.717121996946764
2021-05-10,4.762370169579347
2021-05-11,4.739746083263055
2021-05-12,4.792535618001069
2021-05-13,4.765141620153092
2021-05-14,4.645148000989025
2021-05-17,4.787418996425135
2021-05-18,4.755408022452009
2021-05-19,4.801646095968746
2021-05-20,4.837213844827773
2021-05-21,4.787418996425135
2021-05-24,4.833657069941871
2021-05-25,4.972371290492078
2021-05-26,4.926133216975343
2021-05-27,4.965257740720273
2021-05-28,4.990155164921593
2021-05-31,5.132426160357705
2021-06-01,5.118199060814094
2021-06-02,5.007939039351107
2021-06-03,4.9474738662907605
2021-06-04,5.015052589122913
2021-06-07,4.979484840263885
2021-06-08,4.9368035416330525
2021-06-09,4.935419956202437
2021-06-10,4.930484536246234
2021-06-11,4.964987577087705
2021-06-15,4.906332407657204
2021-06-16,4.682062642187641
2021-06-17,4.795922676964495
2021-06-18,4.892531191320614
2021-06-21,4.930484536246233
2021-06-22,4.954636664835263
2021-06-23,5.011725396211561
2021-06-24,5.002975875617617
2021-06-25,5.01522520444914
2021-06-28,5.027691521391391
2021-06-29,5.027691521391391
2021-06-30,5.146308914171524
2021-07-01,5.128684568575046
2021-07-02,5.1304470031346945
2021-07-05,5.185082474483776
2021-07-06,5.1903697781627205
2021-07-07,5.234430642153916
2021-07-08,5.230905773034621
2021-07-09,5.225618469355678
2021-07-12,5.278491506145111
2021-07-13,5.280253940704759
2021-07-14,5.26088830976335
2021-07-15,5.349306600683742
2021-07-16,5.167297548824115
2021-07-19,5.132442253385166
2021-07-20,5.123827767117431
2021-07-21,5.287283210209067
2021-07-22,5.2772757341014165
2021-07-23,5.153850195440384
2021-07-26,4.96874190987716
2021-07-27,4.955709144211909
2021-07-28,4.908465368675372
2021-07-29,4.913321702981388
2021-07-30,4.863844362252532
2021-08-02,4.845294231198938
2021-08-03,4.830454126356062
2021-08-04,4.782344361468565
2021-08-05,4.779751602259311
2021-08-06,4.761909574263415
2021-08-09,4.686557731600216
2021-08-10,4.708187998053756
2021-08-11,4.70097790923591
2021-08-12,4.618061887830675
2021-08-13,4.726213220098372
2021-08-16,4.7730787974143745
2021-08-17,4.7766838418232975
2021-08-18,4.729818264507296
2021-08-19,4.653059658952502
2021-08-20,4.6624851680523385
2021-08-23,4.7033290408182955
2021-08-24,4.714319184428705
2021-08-25,4.709604865244276
2021-08-26,4.768786407863086
2021-08-27,4.793704952123638
2021-08-30,4.821738314416759
2021-08-31,4.981779293593176
2021-09-01,4.973227136162581
2021-09-02,4.998813247938969
2021-09-03,4.9933438418394065
2021-09-06,4.9966928423181995
2021-09-07,5.0169746213829605
2021-09-08,5.035365906827119
2021-09-09,5.020365271057004
2021-09-10,5.08070619979567
2021-09-13,5.104842571291137
2021-09-14,5.124956214204026
2021-09-15,5.120933485621448
2021-09-16,5.088751656960826
2021-09-17,5.120933485621448
2021-09-22,5.0243879996395835
2021-09-23,5.068638014047938
2021-09-24,5.0485243711350485
2021-09-27,5.028410728222161
2021-09-28,4.992206170978962
2021-09-29,4.935887970822874
2021-09-30,4.89889476846169
2021-10-08,4.853308463358177
2021-10-11,4.900600141442057
2021-10-12,4.86808711275939
2021-10-13,4.7823709462323585
2021-10-14,4.743946457789205
2021-10-15,4.770548026711388
2021-10-18,4.857313477345905
2021-10-19,4.884038723438592
2021-10-20,4.855793478974384
2021-10-21,4.931597141526966
2021-10-22,4.930364242241585
2021-10-25,4.924226859367425
2021-10-26,4.93446859576378
2021-10-27,4.9160716540231535
2021-10-28,4.94000912034074
2021-10-29,4.922701732366562
2021-11-01,4.870367361789908
2021-11-02,4.873638259950949
2021-11-03,4.844200176501582
2021-11-04,4.893263648917195
2021-11-05,4.893263648917195
2021-11-08,4.94559801949385
2021-11-09,4.9848487974263405
2021-11-10,4.979863948628914
2021-11-11,4.938133245148784
2021-11-12,4.9365876635384085
2021-11-15,4.982955111849665
2021-11-16,4.959771387694036
2021-11-17,4.99995650956379
2021-11-18,5.010775580836416
2021-11-19,5.0880546613551765
2021-11-22,5.094236987796678
2021-11-23,5.013866744057168
2021-11-24,5.0231402337194195
2021-11-25,5.050960702706173
2021-11-26,4.991868480996699
2021-11-29,5.031919369015844
2021-11-30,5.054970619756587
2021-12-01,5.0057901032904315
2021-12-02,4.990892266954761
2021-12-03,4.992338949090243
2021-12-06,4.969308890645648
2021-12-07,4.9403331874065906
2021-12-08,4.942924656824091
2021-12-09,4.983162689591725
2021-12-10,5.008372618881397
2021-12-13,5.0062823131139185
2021-12-14,4.96654991380349
2021-12-15,5.004954245861925
2021-12-16,5.075900762233679
2021-12-17,5.078538682706047
2021-12-20,5.058077671134726
2021-12-21,5.148400486690703
2021-12-22,5.129045597642993
2021-12-23,5.154852116373273
2021-12-24,5.111026195939576
2021-12-27,5.052898478683999
2021-12-28,5.014859092395286
2021-12-29,4.992092519701491
2021-12-30,5.004228887253439
2021-12-31,4.962165619379865
2022-01-04,5.049549668023033
2022-01-05,5.063699704343651
2022-01-06,4.962268347760866
2022-01-07,5.004732746824834
2022-01-10,5.02899811771853
2022-01-11,5.047197145888801
2022-01-12,5.013102783197477
2022-01-13,5.015122566752351
2022-01-14,4.976762128439833
2022-01-17,4.956764537851374
2022-01-18,4.999442707303969
2022-01-19,5.09089592755953
2022-01-20,5.054314639457306
2022-01-21,5.005539588654341
2022-01-24,5.007877742652209
2022-01-25,4.962516531215142
2022-01-26,4.963085725146922
2022-01-27,5.039560597569012
2022-01-28,5.078809511880297
2022-02-07,5.527959957649492
2022-02-08,5.535021936303694
2022-02-09,5.551814443405538
2022-02-10,5.555130939488816
2022-02-11,5.555130939488816
2022-02-14,5.506799643056629
2022-02-15,5.4952382283953165
2022-02-16,5.4972497806711385
2022-02-17,5.4972497806711385
2022-02-18,5.488632289236639
2022-02-21,5.49619238880859
2022-02-22,5.518748581922716
2022-02-23,5.527625925486131
2022-02-24,5.574669550383885
2022-02-25,5.52773993427096
2022-02-28,5.51449102364288
2022-03-01,5.529354880849464
2022-03-02,5.529354880849464
2022-03-03,5.527884307742855
2022-03-04,5.526412168113629
2022-03-07,5.582413144750514
2022-03-08,5.599415418287824
2022-03-09,5.616213664542688
2022-03-10,5.587855935448322
2022-03-11,5.60691747812136
2022-03-14,5.61621930546176
2022-03-15,5.561801073456556
2022-03-16,5.630884053678675
2022-03-17,5.618640544259708
2022-03-18,5.738795476197559
2022-03-21,5.746221796603025
2022-03-22,5.813222383626069
2022-03-23,5.8131803142535565
2022-03-24,5.80552029559902
2022-03-25,5.790800555559715
2022-03-28,5.750278811808979
2022-03-29,5.7023575167324205
2022-03-30,5.786865341163619
2022-03-31,5.748452693694893
2022-04-01,5.675468663504313
2022-04-06,5.6318064476008916
2022-04-07,5.569061873679156
2022-04-08,5.577917595019269
2022-04-11,5.510133455863405
2022-04-12,5.462116578605167
2022-04-13,5.44927964187519
2022-04-14,5.528570190822075
2022-04-15,5.457139106940656
2022-04-18,5.43620363155406
2022-04-19,5.494172627625133
2022-04-20,5.374200959506372
2022-04-21,5.391578211755107
2022-04-22,5.395705639802506
2022-04-25,5.185226285407793
2022-04-26,5.180041059122384
2022-04-27,5.177521614987716
2022-04-28,5.287132906961305
2022-04-29,5.370953306705814
2022-05-05,5.365582353399108
2022-05-06,5.350666881150743
2022-05-09,5.371680289309144
2022-05-10,5.332132503477724
2022-05-11,5.304858168421572
2022-05-12,5.3566794050282605
2022-05-13,5.29682860418104
2022-05-16,5.422706957501165
2022-05-17,5.402831428029566
2022-05-18,5.3995188397842995
2022-05-19,5.3796433103127015
2022-05-20,5.452520251708562
2022-05-23,5.475708369425428
2022-05-24,5.35314260435057
2022-05-25,5.373018133822168
2022-05-26,5.386268486803233
2022-05-27,5.508012729993266
2022-05-30,5.5348026751780575
2022-05-31,5.5080524619596565
2022-06-01,5.5194170818949235
2022-06-02,5.478872048878949
2022-06-06,5.601191052760898
2022-06-07,5.590912642732424
2022-06-08,5.648692982469715
2022-06-09,5.56356197120909
2022-06-10,5.637302052180325
2022-06-13,5.609692825744891
2022-06-14,5.609692825744891
2022-06-15,5.655095015881316
2022-06-16,5.655095015881316
2022-06-17,5.752682938721746
2022-06-20,5.816656316141235
2022-06-21,5.797186336840343
2022-06-22,5.775208798073888
2022-06-23,5.885516266627931
2022-06-24,5.94962402547894
2022-06-27,5.944743683337468
2022-06-28,5.956671339202913
2022-06-29,5.882867657542126
2022-06-30,5.935909906913406
2022-07-01,5.9072340136432935
2022-07-04,5.950457677157757
2022-07-05,5.936153692356896
2022-07-06,5.919425400953314
2022-07-07,5.988924727523211
2022-07-08,5.927329773838242
2022-07-11,5.879451504259581
2022-07-12,5.807044466029783
2022-07-13,5.865701480838164
2022-07-14,5.955235703111684
2022-07-15,5.881331657156334
2022-07-18,5.934447131892558
2022-07-19,5.862659464974502
2022-07-20,5.8723498111976005
2022-07-21,5.855419642878662
2022-07-22,5.840369953079888
2022-07-25,5.800122380662033
