date,nav,benchmark_nav
2021-02-24,4.559638584404889,2.3547791657366215
2021-02-25,4.630634549630606,2.376908102064716
2021-02-26,4.480562101673559,2.312256895929696
2021-03-01,4.5313256459869455,2.3508740593257818
2021-03-02,4.502379387522128,2.3209349101760077
2021-03-03,4.585351080692776,2.3664944849691425
2021-03-04,4.547781241806374,2.294033066012442
2021-03-05,4.480096333175662,2.284921151053815
2021-03-08,4.454311606078249,2.204215618563118
2021-03-09,4.418857606319305,2.160391646619245
2021-03-10,4.383403606560361,2.1695035615778715
2021-03-11,4.476425554964257,2.2254767534665802
2021-03-12,4.556350215700839,2.231117462726683
2021-03-15,4.574318920776843,2.1868595900704944
2021-03-16,4.592269997130276,2.2011783135769076
2021-03-17,4.5692125745505425,2.2111580299601656
2021-03-18,4.576908090465575,2.2285140584527885
2021-03-19,4.533318489603998,2.168201859440924
2021-03-22,4.573985408654588,2.1929342000429117
2021-03-23,4.5098790959894925,2.173408667988711
2021-03-24,4.465004677123925,2.1404322138527268
2021-03-25,4.458594045857416,2.1386966110034646
2021-03-26,4.4938525178232185,2.1838222850842848
2021-03-29,4.56757477738808,2.1881612922074405
2021-03-30,4.55475351485506,2.2072529235493255
2021-03-31,4.548342883588551,2.191198597193649
2021-04-01,4.576733005215415,2.218100441357215
2021-04-02,4.541873683692161,2.239361576260678
2021-04-06,4.612603640946545,2.2272123563158424
2021-04-07,4.610134828629047,2.2120258313847976
2021-04-08,4.6008213224678265,2.2167987392202693
2021-04-09,4.6057969763854185,2.1859917886458637
2021-04-12,4.6505778616437565,2.1495441288113555
2021-04-13,4.635650899890976,2.146506823825147
2021-04-14,4.706968606043144,2.158656043769983
2021-04-15,4.6588706181730775,2.1465068238251472
2021-04-16,4.6903830929845,2.1534492352221966
2021-04-19,4.706968606043144,2.2081207249739587
2021-04-20,4.642285105114433,2.204649519275434
2021-04-21,4.606161857672706,2.20985632782322
2021-04-22,4.642474946141602,2.208120724973958
2021-04-23,4.585363232599461,2.230249661302052
2021-04-26,4.592444323502207,2.202480015713855
2021-04-27,4.632315584400805,2.208120724973958
2021-04-28,4.755554027178291,2.2246089520419488
2021-04-29,4.766428007423363,2.244568384808466
2021-04-30,4.84254586913887,2.225042852754265
2021-05-06,4.70480878603462,2.1959715050291218
2021-05-07,4.534449762195154,2.169503561577872
2021-05-10,4.577945683175442,2.169069660865556
2021-05-11,4.556197722685297,2.1803510793857614
2021-05-12,4.606942963828968,2.1938020014675437
2021-05-13,4.581068327835818,2.169937462290187
2021-05-14,4.488314654254288,2.224608952041949
2021-05-17,4.625782178121188,2.2510768954931994
2021-05-18,4.594851985251135,2.251944696917831
2021-05-19,4.639528930507878,2.2458700869454127
2021-05-20,4.673895811474603,2.251944696917831
2021-05-21,4.625782178121188,2.228080157740474
2021-05-24,4.67045912337793,2.2402293776853104
2021-05-25,4.804489959148158,2.3113890945050644
2021-05-26,4.759813013891415,2.3118229952173803
2021-05-27,4.797616582954812,2.320067108751376
2021-05-28,4.82167339963152,2.313558598066642
2021-05-31,4.9591409234984205,2.3161620023405356
2021-06-01,4.94539417111173,2.3196332080390603
2021-06-02,4.838856840114882,2.3009754774094904
2021-06-03,4.78043314247145,2.2831855482045516
2021-06-04,4.845730216308228,2.2975042717109653
2021-06-07,4.811363335341503,2.2949008674370717
2021-06-08,4.770123078181433,2.276677037519818
2021-06-09,4.769263562488455,2.280148243218343
2021-06-10,4.764971225282216,2.2949008674370726
2021-06-11,4.79831602042065,2.2736397325336095
2021-06-15,4.741629868685312,2.2480395905069903
2021-06-16,4.524888700285491,2.217232639932585
2021-06-17,4.6349265242423225,2.222005547768056
2021-06-18,4.728291950629938,2.2241750513296332
2021-06-21,4.764971225282216,2.2211377463434245
2021-06-22,4.7883125818791195,2.23241916486363
2021-06-23,4.843484879915172,2.245870086945413
2021-06-24,4.835029075306382,2.2515107962055163
2021-06-25,4.846867201758689,2.286656753903077
2021-06-28,4.858915032165293,2.2905618603139173
2021-06-29,4.858915032165293,2.267131221848876
2021-06-30,4.974297291921123,2.2805821439306597
2021-07-01,4.962372606632271,2.2797143425060282
2021-07-02,4.962821769564479,2.2185343420695323
2021-07-05,5.015672155980315,2.221571647055741
2021-07-06,5.020786709504429,2.2246089520419496
2021-07-07,5.063407988872039,2.247605689794675
2021-07-08,5.059998286522631,2.2285140584527894
2021-07-09,5.054883732998517,2.2181004413572154
2021-07-12,5.1060292682396495,2.247605689794675
2021-07-13,5.107734119414354,2.2545481011917237
2021-07-14,5.089001214706703,2.229815760589736
2021-07-15,5.174530646886647,2.259321009027195
2021-07-16,4.998468310744231,2.2371920726991004
2021-07-19,4.964751829727407,2.2467378883700433
2021-07-20,4.9564188014441,2.241097179109941
2021-07-21,5.114533724146417,2.258019306890248
2021-07-22,5.104853218674847,2.260188810451826
2021-07-23,4.985460317858811,2.2376259734114163
