date,sh_close,sh_amount,sz_close,sz_amount,market_amount,market_amount_ma20,market_amount_ma60,market_amount_ratio_20_60,market_amount_ratio_5_20,market_breadth_proxy
2018-05-16,3169.57,130524968.0,1832.27,165521883.38,296046851.38,317551375.033,341266417.9611666,0.9305087120208083,0.9461041581532392,0.011525742919344717
2018-05-17,3154.28,113995567.0,1822.7,150682885.54,264678452.54,313309835.31949997,338178383.33066666,0.9264632240350782,0.9274753701608878,0.024948530872784813
2018-05-18,3193.3,136516918.0,1828.79,154568052.83,291084970.83000004,309107811.478,338058016.41150004,0.9143632053432494,0.9273072589056869,0.023397007771070677
2018-05-21,3213.84,164459413.0,1848.06,191005737.93,355465150.93,308678799.867,339087520.0846666,0.9103219127319286,0.9652474428965577,0.024679763316858394
2018-05-22,3214.35,144292684.0,1855.16,179543850.79,323836534.78999996,307272987.4375,341144707.8986666,0.900711575830079,0.9965809056231677,0.044846090525881954
2018-05-23,3168.96,157807648.0,1834.72,186496581.34,344304229.34000003,308924891.5445,342301429.6601667,0.9024937227145018,1.0224940635465078,0.03643842852514223
2018-05-24,3154.65,124085800.0,1827.06,158449317.69,282535117.69,305389406.8255,342238327.9028333,0.8923296484554025,1.0460258069741477,0.01038632098149439
2018-05-25,3141.3,128610843.0,1810.03,172760872.65,301371715.65,304925022.611,340781988.2815,0.8947803378596387,1.054365912403812,0.003954010421099996
2018-05-28,3135.08,128755918.0,1806.08,169664088.6,298420006.6,303830764.171,339586452.5995,0.8947081423455093,1.0206126481631572,0.01984095118045992
2018-05-29,3120.46,135717800.0,1786.71,168436143.63,304153943.63,304238353.6035,339027643.4946667,0.8973850936384957,1.0063064007406524,0.009180064245884911
2018-05-30,3041.44,155115126.0,1736.34,197606894.17,352722020.16999996,307136871.524,339086866.7621667,0.9057763706885875,1.00229112584402,-0.01731141185393631
2018-05-31,3095.47,140475532.0,1767.55,174687655.66,315163187.65999997,307008583.857,338747788.55766666,0.9063043191047621,1.023965424003998,-0.007935916489529626
2018-06-01,3075.14,129872199.0,1746.33,162718880.42,292591079.41999996,308173453.4555,338551214.43433326,0.9102712981562042,1.0143964186102115,-0.014515094050167321
