strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown_integral,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,drawdown_integral_definition,drawdown_integral_recomputed
adaptive_core_overheat_28_cap33_hi25_m6005_m12010_ma90_dd02_oh20_ohh30,13.270694624927234,0.2092071318328052,0.1930163281999104,1.0838830775815285,43.391384170218686,-0.2411553211366975,1382,0.8099894086496028,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi20_m6005_m12010_ma90_dd02_oh20_ohh30,13.265199821790777,0.2091738528750832,0.1924253953441229,1.0870387066167035,43.390791950612936,-0.2411553211366974,1382,0.8087861135628127,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap33_hi25_m6005_m12010_ma90_dd02_oh20_ohh28,13.242537074660886,0.2090364713552253,0.1929983300497772,1.0830998967779233,43.391384170218714,-0.2411553211366979,1385,0.8098011179758753,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s05_sc08_mc08_dw100_cap30_hi20,13.2417996106149,0.2090319974407373,0.20366016894917,1.026376431480365,65.75484423657458,-0.3024537761960619,1389,0.8182889085025006,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi20_m6005_m12010_ma90_dd02_oh20_ohh28,13.229906734253015,0.2089598181511018,0.1924060603300234,1.086035532314755,43.390791950612865,-0.2411553211366972,1385,0.8085507502206531,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s05_sc10_mc06_dw100_cap35_hi30,13.192501750700574,0.2087324371345769,0.2039148489969215,1.0236254895675994,38.53854589459756,-0.2422539392426087,1410,0.8162536040011767,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi25_m6005_m12010_ma90_dd02_oh20_ohh30,13.192383312893629,0.2087317162800936,0.192692878163299,1.0832352408125971,43.391384170218615,-0.2411553211366974,1382,0.8092127096204766,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi25_m6005_m12010_ma90_dd02_oh20_ohh35,13.189844824061527,0.2087162647940854,0.1934633650275892,1.0788412822464917,43.39257556859867,-0.2411553211366977,1380,0.8112132980288321,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi25_m6005_m12010_ma90_dd02_oh20_ohh32,13.178327335548852,0.2086461269257387,0.193390199743715,1.0788867646977,43.390251350227416,-0.2411553211366968,1383,0.8109190938511328,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi25_m6005_m12010_ma90_dd02_oh20_ohh28,13.174852839909574,0.2086249579572638,0.1926822052236758,1.0827411784865175,43.39138417021865,-0.2411553211366975,1385,0.8090950279493969,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap33_hi25_m6005_m12010_ma90_dd02_oh20_ohh35,13.1650513146638,0.2085652144841085,0.1931823670211996,1.0796286312260626,43.39233654787736,-0.2411553211366971,1380,0.8105542806707855,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap33_hi25_m6005_m12010_ma90_dd02_oh20_ohh32,13.155779143580943,0.2085086622539875,0.1931257751159982,1.0796521703472766,43.390477135985165,-0.2411553211366973,1383,0.8103189173286262,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s05_sc10_mc06_dw100_cap30_hi20,13.142913425137964,0.2084301354904425,0.2033089348810359,1.0251892550241497,41.6619513514035,-0.2456494607444055,1411,0.8136404824948514,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi20_m6005_m12010_ma90_dd02_oh20_ohh35,13.134387118036456,0.2083780580579395,0.1926048991913366,1.0818938611262094,43.39197871106927,-0.2411553211366985,1380,0.809492203589291,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi25_m6005_m12010_ma90_dd02_oh20_ohh35,13.126827604727229,0.2083318612583311,0.1927914510594469,1.080607361547854,43.39197871106898,-0.2411553211366973,1380,0.8095657546337158,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi20_m6005_m12010_ma90_dd02_oh20_ohh32,13.122455549935989,0.2083051327987162,0.1925441590358345,1.081856410715364,43.38965446864185,-0.2411553211366985,1383,0.8091979994115918,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi25_m6005_m12010_ma90_dd02_oh20_ohh32,13.120978617960231,0.2082961018717941,0.192757911734086,1.0806098696438642,43.39081654420322,-0.2411553211366972,1383,0.8094186525448661,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
bear_guard_core_28_m6004_m12010_ma120_bgm06_bgx60_cap35_hi30,13.083636130262471,0.2080674735906831,0.1935706830371709,1.0748914573532211,36.24820838976666,-0.2312026192837469,1500,0.7797281553398059,159941,纳指ETF,纳指ETF广发,0.1561458058744596,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi25_m6005_m12010_ma90_dd02_oh24_ohh30,13.02712295201945,0.2077204005489876,0.1989323207132045,1.0441762294044348,43.39138417021876,-0.2411553211366981,1358,0.8191126802000589,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi25_m6005_m12010_ma90_dd02_oh24_ohh28,12.99256436667515,0.2075075203070251,0.1989097224063013,1.0432246236971845,43.39138417021856,-0.2411553211366971,1361,0.8188773168578994,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap33_hi25_m6005_m12010_ma90_dd02_oh24_ohh30,12.970740361440612,0.2073728332041318,0.1987933306709512,1.0431578992324528,43.391384170218714,-0.241155321136698,1358,0.8188596646072375,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi20_m6005_m12010_ma90_dd02_oh24_ohh30,12.957302438340111,0.2072898036913948,0.1983406352912269,1.0451201963078702,43.390791950612886,-0.2411553211366972,1358,0.8180535451603413,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
bear_guard_core_28_m6005_m12010_ma90_bgm06_bgx60_cap30_hi20,12.945003928151277,0.2072137492426664,0.192489892654052,1.0764915829376895,39.84930059406008,-0.2359860769673799,1503,0.7739817593409827,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap33_hi25_m6005_m12010_ma90_dd02_oh24_ohh28,12.943174651829066,0.2072024316088154,0.1987758543609817,1.0423923583421295,43.39138417021877,-0.2411553211366981,1361,0.8186713739335097,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi20_m6005_m12010_ma90_dd02_oh24_ohh28,12.922771110149862,0.2070761024611842,0.1983218753512415,1.044141510332324,43.39079195061285,-0.2411553211366969,1361,0.8178181818181819,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi25_m6005_m12010_ma90_dd02_oh24_ohh35,12.89718004519568,0.2069174113649112,0.1991408646588393,1.0390504817752722,43.39257556859867,-0.2411553211366975,1357,0.8198187702265372,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi25_m6005_m12010_ma90_dd02_oh24_ohh30,12.88605770879718,0.2068483567573495,0.1986002717246454,1.0415310863428218,43.39138417021871,-0.2411553211366977,1358,0.8184801412180054,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap35_hi25_m6005_m12010_ma90_dd02_oh24_ohh32,12.885900104258118,0.2068473778781709,0.1990697854760818,1.039069677919674,43.39025135022763,-0.241155321136698,1360,0.8195245660488379,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi25_m6005_m12010_ma90_dd02_oh24_ohh28,12.868905610086742,0.2067417647777216,0.1985899154601734,1.0410486569706157,43.39138417021879,-0.2411553211366982,1361,0.8183624595469255,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap33_hi25_m6005_m12010_ma90_dd02_oh24_ohh35,12.86731774294867,0.2067318907636546,0.1989547318603355,1.0390900926587592,43.3923365478774,-0.2411553211366972,1357,0.8194245366284202,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap33_hi25_m6005_m12010_ma90_dd02_oh24_ohh32,12.858240462555122,0.206675424320005,0.1988997818517613,1.0390932679556124,43.390477135984995,-0.241155321136697,1360,0.8191891732862606,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi20_m6005_m12010_ma90_dd02_oh24_ohh35,12.829313413430638,0.2064952503349169,0.1985150310668006,1.04019957191771,43.391978711069086,-0.2411553211366977,1357,0.8187596351868196,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi25_m6005_m12010_ma90_dd02_oh24_ohh35,12.82191706310187,0.2064491255158365,0.1986960340699851,1.039019860069882,43.39197871106916,-0.2411553211366981,1357,0.8188331862312445,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi20_m6005_m12010_ma90_dd02_oh24_ohh32,12.81763937384211,0.2064224387025839,0.1984560991527309,1.0401415707749155,43.38965446864134,-0.2411553211366964,1360,0.8184654310091203,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
adaptive_core_overheat_28_cap30_hi25_m6005_m12010_ma90_dd02_oh24_ohh32,12.816194319662351,0.2064134218470021,0.198663491266432,1.0390103412114935,43.39081654420344,-0.2411553211366983,1360,0.8186860841423949,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s03_sc08_mc08_dw80_cap30_hi20,12.647322526065292,0.2053536164895746,0.2032036369989319,1.0105804183546874,62.9573683115624,-0.2948906951913305,1388,0.816406001765225,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s03_sc08_mc08_dw80_cap35_hi30,12.621632724249734,0.205191326415244,0.2037515832400485,1.007066169265047,59.864273311286254,-0.2921698461602162,1394,0.8185631067961164,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s03_sc08_mc08_dw100_cap30_hi20,12.485784284778472,0.2043283777523987,0.2032904669657519,1.0051055556226436,63.461655107989905,-0.296025431147671,1400,0.8179947043248013,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s03_sc08_mc08_dw100_cap35_hi30,12.479295174348682,0.204286955352295,0.2038363044185736,1.0022108472531763,60.15927052022042,-0.2928566645585783,1406,0.820034127684613,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s03_sc09_mc08_dw80_cap30_hi20,11.725375375404452,0.1993436462120428,0.2023128811450367,0.9853235497602086,75.19406755124183,-0.3052348663581214,1422,0.80984524860253,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s03_sc09_mc08_dw80_cap35_hi30,11.72261267590032,0.1993250367076187,0.2028682298276111,0.982534509602596,70.55990993912428,-0.2986893247267742,1425,0.8121053250956164,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s03_sc09_mc08_dw100_cap35_hi30,11.511033227776592,0.1978885729275328,0.2030752101089129,0.9744595257166128,71.23840944659642,-0.2993698171756086,1446,0.8149296852015299,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s03_sc09_mc08_dw100_cap30_hi20,11.506134197703222,0.1978550457758245,0.2025228309468649,0.9769518076099526,76.05535145076894,-0.3062513444531555,1443,0.8129049720506031,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s05_sc09_mc08_dw80_cap35_hi30,10.88636283253831,0.1935119557873539,0.2026700040656772,0.9548130058982206,75.30268407484621,-0.3186151953088003,1406,0.8142971462194764,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s05_sc10_mc08_dw80_cap35_hi30,10.82345160529552,0.1930594128556055,0.2007762483608025,0.961564998010474,57.478330781831374,-0.272810651351095,1419,0.8068832009414534,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s05_sc10_mc08_dw80_cap30_hi20,10.637724295864738,0.1917102455792787,0.2001893156807216,0.957644742065226,64.54409183797621,-0.2836974192653907,1408,0.8040494263018535,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s05_sc09_mc08_dw80_cap30_hi20,10.58975553368706,0.1913585410539409,0.2021126386943441,0.9467915628143044,82.56714055300942,-0.3294873725816298,1398,0.8117575757575758,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s05_sc09_mc08_dw100_cap35_hi30,10.54230562527234,0.1910093084228799,0.2029780941463931,0.9410341013701652,75.82638767135117,-0.3193274741118266,1434,0.817474551338629,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s05_sc10_mc08_dw100_cap35_hi30,10.414293389395048,0.1900604424459699,0.2011385678910582,0.9449229177614088,57.922543238683886,-0.2737707844692317,1458,0.8118846719623418,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s05_sc09_mc08_dw100_cap30_hi20,10.220833129906646,0.1886075364005426,0.2024315513774442,0.93171017619123,84.04684657420222,-0.3318031670810069,1426,0.8151703442188879,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s05_sc10_mc08_dw100_cap30_hi20,10.20160081827782,0.1884618312046317,0.2005617847615785,0.9396696954440708,65.96787629121275,-0.2863678301563911,1448,0.8092862606649015,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s03_sc10_mc08_dw80_cap30_hi20,9.023420239860052,0.1790605609001172,0.2010446197403612,0.8906508472167259,79.16710072439824,-0.3197761446783163,1448,0.7979593998234775,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6005_m12010_ma90_s03_sc10_mc08_dw100_cap30_hi20,8.840696208813512,0.1775113746012704,0.2016500768288801,0.8802941084515737,80.10179904778073,-0.32082235657484,1492,0.8043730508973227,159941,纳指ETF,纳指ETF广发,0.1430594900849859,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s03_sc10_mc08_dw80_cap35_hi30,8.666618256942975,0.1760104449906598,0.2015045413036752,0.8734812816223592,74.56856048971517,-0.3133675997642894,1448,0.8006313621653427,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
short_brake_core_28_m6004_m12010_ma120_s03_sc10_mc08_dw100_cap35_hi30,8.42025680581609,0.1738428057515597,0.2020336252680694,0.8604647148260367,75.3185969814107,-0.3140853640889296,1492,0.8066919682259488,159941,纳指ETF,纳指ETF广发,0.1160891486506635,1.0,full_history,False
