date,baseline_threshold_dual_nav,overheat_cap_70_nav,overheat_cap_40_nav,overheat_cap_50_nav,hs300_benchmark
2023-06-02,3.657288590254279,3.750221580746954,3.831467474358132,3.8057219184687088,1.483486943164358
2023-06-05,3.6759007459298734,3.7693066778499915,3.8509660365686056,3.825089460038524,1.4765745007680446
2023-06-06,3.680553784848772,3.774077952125751,3.855840677121224,3.829931345430978,1.4623655913978448
2023-06-07,3.6945129016054676,3.7883917749530296,3.87046459877908,3.8444570016083395,1.4577572964669694
2023-06-08,3.610758201065293,3.7025088379893587,3.782721068831947,3.7573030645441703,1.470046082949304
2023-06-09,3.6712477070109744,3.7645354035742318,3.846091396015987,3.82024757464607,1.4761904761904716
2023-06-12,3.7131250572810615,3.807476872056067,3.8899631609895535,3.8638245431781546,1.4777265745007633
2023-06-13,3.7968797578212357,3.8933598090197377,3.977706690936686,3.9509784802423233,1.4888632872503793
2023-06-14,3.8015327967401342,3.898131083295497,3.9825813314893046,3.9558203656347772,1.4888632872503793
2023-06-15,3.8247979913346275,3.9219874546742948,4.006954534252397,3.9800297925970467,1.5138248847926221
2023-06-16,3.862022302685816,3.9601576488803705,4.045951658673345,4.018764875736677,1.5280337941628217
2023-06-19,3.8434101470102218,3.9410725517773324,4.026453096462871,3.9993973341668614,1.5165130568356326
2023-06-20,3.838757108091323,3.9363012775015727,4.0215784559102525,3.9945554487744075,1.513824884792622
2023-06-21,3.852716224848019,3.950615100328851,4.036202377568108,4.009081104951769,1.492703533026109
2023-06-26,3.8247979913346275,3.921987454674294,4.0069545342523964,3.9800297925970463,1.4758064516128986
2023-06-27,3.7736145632267433,3.86950343764094,3.9533334881735933,3.9267690532800543,1.4857910906297958
2023-06-28,3.824797991334627,3.921987454674294,4.0069545342523964,3.9800297925970463,1.488863287250379
2023-06-29,3.852716224848019,3.950615100328851,4.036202377568108,4.00908110495177,1.4819508448540657
2023-06-30,3.852716224848019,3.950615100328851,4.036202377568108,4.00908110495177,1.490783410138244
2023-07-03,3.922511808631498,4.022184214465243,4.1093219858573855,4.081709385838578,1.5080645161290271
2023-07-04,3.8945935751181064,3.9935565688106864,4.080074142541675,4.0526580734838555,1.510752688172038
2023-07-05,3.899246614037005,3.998327843086446,4.084948783094294,4.05749995887631,1.500384024577568
2023-07-06,3.9038996529559036,4.003099117362206,4.089823423646912,4.062341844268763,1.489631336405525
2023-07-07,3.8852874972803093,3.984014020259168,4.070324861436438,4.042974302698948,1.4854070660522223
2023-07-10,3.8527162248480193,3.9506151003288514,4.036202377568109,4.009081104951771,1.4915514592933896
2023-07-11,3.8713283805236136,3.9697001974318895,4.055700939778583,4.0284486465215865,1.5015360983102868
2023-07-12,3.875981419442512,3.9744714717076493,4.060575580331202,4.033290531914041,1.4942396313364004
2023-07-13,3.941123964307092,4.041269311568282,4.128820548067861,4.1010769274083945,1.5184331797234973
2023-07-14,3.9550830810637883,4.055583134395561,4.143444469725717,4.115602583585757,1.5176651305683513
2023-07-17,3.9736952367393825,4.074668231498599,4.16294303193619,4.134970125155571,1.5069124423963083
2023-07-18,4.015572587009469,4.1176096999804335,4.206814796909756,4.178547093687655,1.5046082949308706
2023-07-19,4.0760620929551505,4.179636265565307,4.270185124093796,4.241491603789555,1.5038402457757245
2023-07-20,4.024878664847266,4.127152248531953,4.216564078014993,4.188230864472563,1.4930875576036815
2023-07-21,3.9597361199826864,4.06035440867132,4.148319110278334,4.120444468978209,1.4938556067588276
2023-07-24,3.9483541861866316,4.048683255930915,4.13639511028252,4.108600592332097,1.4873271889400872
2023-07-25,3.9327100993615787,4.032641647352711,4.120005971619537,4.092321580529971,1.530337941628259
2023-07-26,3.9229247525175155,4.022607651400768,4.109754596254123,4.082139089308604,1.5268817204301024
2023-07-27,3.929566741516487,4.029418415678272,4.116712910914448,4.0890506475550525,1.5253456221198105
2023-07-28,3.9826802096172385,4.083881515700112,4.1723559154125525,4.144319758736367,1.562211981566815
2023-07-31,4.002531575148041,4.1042373114169965,4.193152705022085,4.164976804262778,1.5683563748079823
2023-08-01,3.981304241064113,4.082470583301691,4.170914416163329,4.142887945645185,1.5614439324116691
2023-08-02,3.9224001805032827,4.022069749826996,4.109205041423845,4.08159322721347,1.5503072196620533
2023-08-03,3.9254082810629827,4.0251542872808095,4.11235640319628,4.08472341340209,1.56413210445468
