date,hs300_benchmark,base_pool,plus_sh_dividend,plus_soymeal,plus_coal,plus_reits
2023-10-30,0.8827225130890054,1.1049849730614325,1.0785114122264792,1.2019677794813863,1.1061342369373766,1.0813488488652576
2023-10-31,0.880628272251309,1.1076221687011971,1.0810854251434874,1.204836437666306,1.1087741754503535,1.0750830275391094
2023-11-01,0.880104712041885,1.1035465027124698,1.077107405180838,1.2004030568350663,1.1046942704757525,1.070055967226571
2023-11-02,0.8756544502617802,1.1059439532940742,1.079447416923573,1.2023691047614566,1.107094214578459,1.072380659747159
2023-11-03,0.8829842931937174,1.1052247181195929,1.0787454134007526,1.2017435496234927,1.106374231347647,1.0716405707372527
2023-11-06,0.8955497382198954,1.1007033277085359,1.074332347814941,1.1969470027009173,1.1018481383652472,1.066402679877881
2023-11-07,0.8926701570680629,1.0972478823370506,1.070959689038282,1.1931894189121899,1.0983890990819556,1.0630549147611945
2023-11-08,0.8897905759162303,1.0961493583183404,1.0698874837869279,1.1919948417736548,1.0972894325192268,1.061990623477637
2023-11-09,0.8905759162303666,1.0961578481962244,1.0698957702617755,1.1920040739923923,1.0972979312271947,1.0619988487898528
2023-11-10,0.8835078534031414,1.0962257670877877,1.0699620619321988,1.192077931599285,1.097365920759292,1.0620646511601686
2023-11-13,0.8821989528795813,1.0922700722741023,1.0661011388392587,1.187776357386098,1.0934061117383873,1.058232225615608
2023-11-14,0.8821989528795813,1.0961211787431162,1.0698599793464045,1.1919641982230695,1.0972612236352173,1.0619633220479239
2023-11-15,0.8887434554973822,1.099776519225103,1.073427744086656,1.203084858060143,1.100920365934308,1.0655047530472939
2023-11-16,0.8793193717277489,1.0963164401609036,1.0700505626326802,1.2010526201242306,1.0974566881389283,1.0621524986352595
2023-11-17,0.8780104712041886,1.0988173594365502,1.0724915641355053,1.1741254674733914,1.0999602085505633,1.0645754830585554
2023-11-20,0.8808900523560211,1.0892039092227572,1.0631084358403564,1.1628056858339193,1.0903367596568576,1.0552616118156983
2023-11-21,0.8821989528795814,1.0880477440824943,1.0619799704506983,1.1615713940842503,1.0891793920216624,1.0541414756510112
2023-11-22,0.8719895287958118,1.0847710723996948,1.0587818022491637,1.158073304854944,1.0858993123645553,1.0509669131911232
2023-11-23,0.8769633507853404,1.083324553168158,1.0573699391584872,1.1565290386501896,1.0844512886489401,1.049565471089356
2023-11-24,0.8704188481675396,1.0768273694321928,1.0510284168958302,1.1495928147474688,1.0779473473744157,1.0432707557257566
2023-11-27,0.8641361256544505,1.0695893132995147,1.0439637722791697,1.1418656547967951,1.0707017631425795,1.036258255388301
2023-11-28,0.8651832460732987,1.0703462534289265,1.0447025774103211,1.1426737443371129,1.0715670452009385,1.036991607384422
2023-11-29,0.8581151832460735,1.0694329887075709,1.0438111929586058,1.1416987667395557,1.0826989521745705,1.0361068022586675
2023-11-30,0.8591623036649219,1.0671383681549655,1.0415715476122462,1.1392490896838565,1.0803758676109023,1.0338836877781332
2023-12-01,0.8554973821989532,1.0610124303354767,1.0355923768452413,1.1327091982390582,1.0741739395534344,1.0279486493867547
2023-12-04,0.8492146596858642,1.0622376178993744,1.0367882109986422,1.1340171765280178,1.0821735954076788,1.0291356570650303
2023-12-05,0.8319371727748694,1.0548802720933648,1.029607134686361,1.126162666033303,1.0539969660479906,1.0220075844165621
2023-12-06,0.8332460732984297,1.0620746814512054,1.036629178230684,1.1338432298255166,1.0601241658020242,1.028977798121023
2023-12-07,0.8308900523560215,1.054880272093365,1.0296071346863611,1.126162666033303,1.0529429690819427,1.0220075844165624
2023-12-08,0.8327225130890057,1.0620746814512056,1.0366291782306842,1.1338432298255166,1.0480684456365197,1.0289777981210233
2023-12-11,0.8390052356020946,1.0683697896393158,1.0427734663319668,1.1405637231437031,1.0724310211731936,1.0350767351124264
2023-12-12,0.841099476439791,1.0728662954879662,1.0471622435471688,1.1453640755138368,1.0795964845663328,1.0394331186777146
2023-12-13,0.8259162303664925,1.0838360519923937,1.057869183340741,1.1570751014544838,1.0676540455777674,1.050061030340599
2023-12-14,0.8217277486910998,1.0970829370723008,1.0707986955815723,1.1712171304722607,1.0752972065304494,1.0628951096003174
2023-12-15,0.8198952879581153,1.0838360519923937,1.057869183340741,1.1570751014544838,1.0657432553395967,1.050061030340599
2023-12-18,0.8162303664921469,1.0854345087957449,1.0594293438373936,1.158781572248206,1.06731502862947,1.0516096752623068
2023-12-19,0.8167539267015709,1.0899049968879844,1.063792726637383,1.1635541487401673,1.071710889538158,1.0559408518490543
2023-12-20,0.8086387434554977,1.0961636802171195,1.069901462557368,1.1702357558289131,1.0778650948103212,1.0620044990705009
2023-12-21,0.816753926701571,1.084540411177297,1.0585566672773958,1.157827056949814,1.0758206343567,1.0507434399449573
2023-12-22,0.8183246073298432,1.087705634713124,1.0616460574400324,1.161206167044104,1.0789604092854164,1.0538100272587665
2023-12-25,0.8206806282722514,1.0890220711847889,1.0629309543325467,1.1626115602871228,1.0890185953321359,1.0550854403023475
2023-12-26,0.8154450261780107,1.0952316558448683,1.0689917679040901,1.1692407509173326,1.067439627128725,1.0611015188911377
2023-12-27,0.8180628272251311,1.0966948730814183,1.0704199289439762,1.1708028434767368,1.079907475424029,1.0625191386466344
2023-12-28,0.8400523560209425,1.0921271030953326,1.0659615949588812,1.1659264113721253,1.0607261703543305,1.0580937117113236
2023-12-29,0.8426701570680631,1.0892580460639112,1.0631612756548605,1.1628634809135858,1.0579396046983345,1.0553140616185055
