date,hs300_benchmark,baseline_k25_nav,mh_20_25_30_thr01_nav,mh_20_25_30_thr02_nav,mh_20_25_30_thr03_nav,mh_20_25_30_thr04_nav,mh_20_25_30_thr05_nav,mh_15_25_60_thr01_nav,mh_15_25_60_thr02_nav,mh_15_25_60_thr03_nav,mh_15_25_60_thr04_nav,mh_15_25_60_thr05_nav,mh_20_60_120_thr01_nav,mh_20_60_120_thr02_nav,mh_20_60_120_thr03_nav,mh_20_60_120_thr04_nav,mh_20_60_120_thr05_nav,mh_10_20_25_thr01_nav,mh_10_20_25_thr02_nav,mh_10_20_25_thr03_nav,mh_10_20_25_thr04_nav,mh_10_20_25_thr05_nav,mh_25_60_thr01_nav,mh_25_60_thr02_nav,mh_25_60_thr03_nav,mh_25_60_thr04_nav,mh_25_60_thr05_nav,mh_30_60_120_thr01_nav,mh_30_60_120_thr02_nav,mh_30_60_120_thr03_nav,mh_30_60_120_thr04_nav,mh_30_60_120_thr05_nav
2016-06-17,1.0192936559843033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9384305975420012,0.9589042141124043,0.9589042141124043,1.0157945214828026,1.0157945214828026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-20,1.0196206671026813,1.0,1.0,1.0,1.0,1.0,1.0,0.9998206608918833,1.0001890828729283,1.0001890828729283,1.0001890828729283,1.0001890828729283,1.0,1.0,1.0,1.0,1.0,0.9391218907998591,0.9596105892240895,0.9596105892240895,1.0165428047398803,1.0165428047398803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-21,1.0173315892740353,1.0,1.0,1.0,1.0,1.0,1.0,0.9975760346487008,0.9987165925043263,0.9987165925043263,0.9987165925043263,0.9987165925043263,1.0,1.0,1.0,1.0,1.0,0.9373936576552145,0.957844651444877,0.957844651444877,1.0146720965971865,1.0146720965971865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-22,1.0235448005232175,1.0,1.0,1.0,1.0,1.0,1.0,1.0036685915944819,0.9878161459194706,0.9878161459194706,0.9878161459194706,0.9878161459194706,1.0,1.0,1.0,1.0,1.0,0.9246047323848445,0.944776711878704,0.944776711878704,1.0008288563412513,1.0008288563412513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-23,1.0202746893394374,1.0,1.0,1.0,1.0,1.0,1.0,1.0004619826756498,0.9837739896265197,0.9895886758261674,0.9895886758261674,0.9895886758261674,1.0,1.0,1.0,1.0,1.0,0.9266786121584181,0.9468958372137591,0.9468958372137591,1.0030737061124841,1.0030737061124841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-24,1.0094833224329627,1.0,1.0,1.0,1.0,1.0,1.0,1.0456880140036526,1.0282456377700433,1.0352550003986687,1.0352550003986687,1.0352550003986687,1.0,1.0,1.0,1.0,1.0,0.9695387941456034,0.9906910941382299,0.9906910941382299,1.0494672680512935,1.0494672680512935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-27,1.0222367560497057,1.0,1.0061570909090907,1.0061570909090907,1.0061570909090907,1.0061570909090907,1.0061570909090907,1.0542622829241814,1.0366768854237727,1.0437437223270711,1.0437437223270711,1.0437437223270711,1.0061570909090907,1.0061570909090907,1.0061570909090907,1.0061570909090907,1.0061570909090907,0.9774886666109683,0.9988144079226073,0.9988144079226073,1.0580725255076855,1.0580725255076855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-28,1.027468933943754,1.0,1.010396790983586,1.010396790983586,1.0030261918991898,1.0030261918991898,1.0030261918991898,1.0501615456143634,1.0326445495893803,1.0396838987960961,1.0396838987960961,1.0396838987960961,1.010396790983586,1.010396790983586,1.0030261918991898,1.0030261918991898,1.0030261918991898,0.9815093157713278,1.0029227750553869,0.9956067867954503,1.0546746011686268,1.0546746011686268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-29,1.0320470896010463,1.0,1.0148988772578604,1.0148988772578604,1.0067292349931733,1.0067292349931733,1.0067292349931733,1.0550078715259668,1.0374100373936623,1.044481872059976,1.044481872059976,1.044481872059976,1.0148988772578604,1.0148988772578604,1.0067292349931733,1.0067292349931733,1.0067292349931733,0.985882686369927,1.0073915589035014,0.9992824384044929,1.0585683235158592,1.0585683235158592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-30,1.0336821451929363,1.0,1.0165067652129585,1.0165067652129585,1.0074166881536086,1.0033141817578608,1.0033141817578608,1.050534339915256,1.0330111255743253,1.0400529736625486,1.0400529736625486,1.0400529736625486,1.0165067652129585,1.0165067652129585,1.0074166881536086,1.0033141817578608,1.0033141817578608,0.9874446044408552,1.0089875531349708,0.9958926463872905,1.0549774203689504,1.0549774203689504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-01,1.0327011118378022,1.0,1.0299045985250732,1.0299045985250732,1.0206947117985345,1.017453933382122,1.017453933382122,1.0654461119509586,1.0476741649721155,1.05481596832064,1.05481596832064,1.05481596832064,1.0299045985250732,1.0299045985250732,1.0206947117985345,1.017453933382122,1.017453933382122,0.9977588102363545,1.0195267825978978,1.007201576367558,1.066957291714517,1.066957291714517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-04,1.0500327011118376,1.011071966410077,1.046142065293903,1.0416201849527431,1.0323055319943726,1.0290278883967725,1.0290278883967725,1.0822439259053367,1.0641917865679977,1.0668149317778808,1.0668149317778808,1.0668149317778808,1.0416201849527431,1.0416201849527431,1.0323055319943726,1.0290278883967725,1.0290278883967725,1.013590917189117,1.0312274398649415,1.018760782702357,1.0792022879245364,1.0792022879245364,1.0162743825205827,1.0162743825205827,1.0162743825205827,1.011071966410077,1.011071966410077,1.0,1.0,1.0,1.0,1.0
2016-07-05,1.0526487900588617,1.012678755303691,1.0487484609719944,1.0432755208735764,1.0339460651302226,1.0264721792569116,1.0264721792569116,1.0849402670474242,1.0668431519658625,1.0685103070240252,1.0685103070240252,1.064165374168774,1.0432755208735764,1.0390332013957717,1.029741682449578,1.0264721792569116,1.0264721792569116,1.0161162137750757,1.0328662597038973,1.0203797906120586,1.076521964891402,1.076521964891402,1.0188063647878405,1.0188063647878405,1.0188063647878405,1.012678755303691,1.012678755303691,1.0,1.0,1.0,1.0,1.0
2016-07-06,1.05788096795291,1.0177122626304567,1.053961252328177,1.0484611090481577,1.0390852813595122,1.0426684184867092,1.0426684184867092,1.090332949331599,1.0721458827615922,1.073821324393514,1.073821324393514,1.0809563572352432,1.0587831292108312,1.0554276353001477,1.0459895096882286,1.0426684184867092,1.0426684184867092,1.0211668069469928,1.0380001087735655,1.025451575840326,1.093507917001799,1.093507917001799,1.0238703293223559,1.0238703293223559,1.0238703293223559,1.0177122626304567,1.0177122626304567,1.0,1.0,1.0,1.0,1.0
2016-07-07,1.059189012426422,1.018970639462148,1.0552644501672226,1.049757506091803,1.0403700854168345,1.0430180911195428,1.0395549193069729,1.0916811199026426,1.0734715654605245,1.0751490787358862,1.0751490787358862,1.0777285269184227,1.0591382061248593,1.0522760359819796,1.042866093439414,1.0395549193069729,1.0395549193069729,1.022429455239972,1.0392835710409825,1.0267195221473928,1.0902426066286683,1.0902426066286683,1.0251363204559847,1.0251363204559847,1.0251363204559847,1.018970639462148,1.018970639462148,1.0,1.0,1.0,1.0,1.0
2016-07-08,1.0552648790058858,1.0125055900507376,1.0513548566500857,1.045868314960867,1.03376926322639,1.0364004681626713,1.0338897698829566,1.0876366081895115,1.0694945173637271,1.068327594730882,1.068327594730882,1.071855346935216,1.055214260933906,1.046541561671451,1.037182899469717,1.0338897698829566,1.0338897698829566,1.0186415103610342,1.0354331842387312,1.0202053085034686,1.0843012300257873,1.0843012300257873,1.021338347055098,1.021338347055098,1.0186321517306938,1.0125055900507376,1.0125055900507376,1.0,1.0,1.0,1.0,1.0
2016-07-11,1.05788096795291,1.0197278521471216,1.053961252328177,1.0484611090481575,1.0353993639068755,1.0437931738340651,1.0412645665954277,1.0903329493315987,1.072145882761592,1.0759480384793054,1.0759480384793054,1.079500954348197,1.0578302243945414,1.0540066043610143,1.0445811862697756,1.0412645665954277,1.0412645665954277,1.0211668069469928,1.0380001087735653,1.0274824931457431,1.0920356146569727,1.0920356146569727,1.0238703293223557,1.0238703293223557,1.0258981149529156,1.0197278521471216,1.0197278521471216,1.0019778431980166,1.0019778431980166,1.0019778431980166,1.0019778431980166,1.0019778431980166
2016-07-12,1.084695879659908,1.0133502204409668,1.0806768080286129,1.0750372484428867,1.0616444173351178,1.0692877656401072,1.0347522389185562,1.1179704460379947,1.0993223780897066,1.0692187917396658,1.0692187917396658,1.0727494867887113,1.0846438498660569,1.0797506586551733,1.0700950252369317,1.066697397306453,1.066697397306453,1.047051096953068,1.0643110852556155,1.0525786974583127,1.0852057522131628,1.0852057522131628,1.0498231475617477,1.0498231475617477,1.0194818928879483,1.0133502204409668,1.0133502204409668,1.027375735977688,1.027375735977688,1.027375735977688,1.027375735977688,1.027375735977688
2016-07-13,1.086984957488554,1.0058516371036852,1.0829574042469425,1.0773059432692658,1.0638848487253334,1.0715443270991003,1.0360026763241879,1.120329744537321,1.101642322812838,1.0705108799533556,1.0705108799533556,1.0648113610899663,1.086932817894113,1.0820293003828143,1.0723532902886825,1.0689484922058032,1.0689484922058032,1.0492607314657816,1.0665571442235953,1.054799997091176,1.0865171597311523,1.0865171597311523,1.052038632045598,1.052038632045598,1.0207138769758144,1.0058516371036852,1.0058516371036852,1.0295438487759525,1.0295438487759525,1.0295438487759525,1.0295438487759525,1.0295438487759525
2016-07-14,1.085349901896664,1.0002867594433604,1.0813284069481355,1.0756854469647092,1.062284540589465,1.0699324974855338,1.0344443088808604,1.1186445313235165,1.0999852194391726,1.068900604863173,1.068900604863173,1.0622527705899176,1.0852978407312157,1.0804016991487848,1.0707402438231461,1.0673405672776959,1.0673405672776959,1.0476824210995574,1.064952816389324,1.0532133544962734,1.0848828078061656,1.0848828078061656,1.0504561431285622,1.0504561431285622,1.0191785071247679,1.0034347184482366,1.0002867594433604,1.027995196777192,1.027995196777192,1.027995196777192,1.027995196777192,1.027995196777192
2016-07-15,1.086657946370176,1.0011226536713076,1.0826316047871811,1.0769818440083545,1.0635647870981597,1.0712219611763871,1.0356910028355224,1.1199927018945601,1.101310902138105,1.070188824935319,1.070188824935319,1.0635329788099717,1.0866058224615336,1.0817037801360083,1.0720306809955753,1.0686269072201817,1.0686269072201817,1.0489450693925366,1.066236278656741,1.0544826685721953,1.086190289346155,1.086190289346155,1.051722134262191,1.051722134262191,1.020406803005605,1.0046440401938808,1.0011226536713076,1.0292341183762004,1.0292341183762004,1.0292341183762004,1.0292341183762004,1.0279282768670286
2016-07-18,1.0827338129496398,0.9983369210697874,1.0787220112700442,1.0730926528774185,1.0597240475720755,1.0673535701038273,1.0319509209715363,1.115948190181429,1.0973338540413078,1.066324164718881,1.066324164718881,1.0596923541498093,1.0826818772705802,1.0777975371743376,1.0681593694782876,1.064767887392724,1.064767887392724,1.0451571245135989,1.0623858918544897,1.0506747263444294,1.082267844726187,1.082267844726187,1.0479241608613044,1.0479241608613044,1.016721915363093,1.0010160749569483,0.9983369210697874,1.0255173535791753,1.0255173535791753,1.0255173535791753,1.0255173535791753,1.023294433112999
2016-07-19,1.0771746239372133,0.9923171695462629,1.0731834204541002,1.067582965441926,1.0542829999101229,1.0618733494177006,1.0266524716642225,1.1102184652544933,1.091699702570845,1.0608492294122605,1.0608492294122605,1.0542514692145792,1.0771229549167294,1.0722636929786373,1.0626750114954635,1.059300942637159,1.059300942637159,1.039790869268437,1.0569311772179673,1.045280141521761,1.0767110481812323,1.0767110481812323,1.0425436985433816,1.0425436985433816,1.0115016578695346,0.9958764575379607,0.9923171695462629,1.0202519367833898,1.0202519367833898,1.0202519367833898,1.0202519367833898,1.0238008656354112
2016-07-20,1.0748855461085671,0.9902084202485021,1.0709028242357703,1.0653142706155465,1.052042568519907,1.0596167879587073,1.0244707572435638,1.1078591667551667,1.0893797578477131,1.058594844286005,1.058594844286005,1.0520111048294845,1.0748339868886732,1.0699850512509959,1.0604167464437122,1.0570498477378085,1.0570498477378085,1.0375812347557232,1.0546851182499872,1.0430588418888973,1.0744229554862508,1.0744229554862508,1.040328214059531,1.040328214059531,1.0093521400780692,0.9937601444830834,0.9902084202485021,1.018083823985125,1.018083823985125,1.018083823985125,1.0159240920554808,1.0203763052486168
2016-07-21,1.0807717462393718,1.0008789373114944,1.0824429067326922,1.0767941306829851,1.063379412308378,1.07103525177394,1.0355104863270235,1.11979749196077,1.1011189483620447,1.0700022956040969,1.0700022956040969,1.0633476095642385,1.0864164317179155,1.0815152437973843,1.0718438306367255,1.0684406501245314,1.0684406501245314,1.048762242756971,1.0660504382374159,1.0542988767567965,1.0860009710281802,1.0860009710281802,1.0515388235961056,1.0515388235961056,1.020228950467712,1.004468935038073,1.0008789373114944,1.0290547272750237,1.0290547272750237,1.0290547272750237,1.026974511968379,1.012378954220776
2016-07-22,1.0712884238064089,0.9872747575810468,1.067730090524675,1.062158093955255,1.0489257115585553,1.0564774910702166,1.0214355865128697,1.1045769435263517,1.0861522830445023,1.0554585750813226,1.0554585750813226,1.0488943410847245,1.0716496064324292,1.0668150366001383,1.0572750795406922,1.053918155850994,1.053918155850994,1.0345072219816334,1.0515604322807908,1.039968600762044,1.0712397927811952,1.0712397927811952,1.0372460628870324,1.0372460628870324,1.0063617608497042,0.9908159592220216,0.9872747575810468,1.0150675756421592,1.0150675756421592,1.0150675756421592,1.0130156351066728,0.9977197069636591
2016-07-25,1.070961412688031,0.9960203016934773,1.077188329515543,1.0715669747087957,1.0582173763262983,1.0658360515226102,1.030483736393397,1.1143615818056205,1.0957737107486367,1.064808109703106,1.064808109703106,1.058185727964412,1.0811425655445275,1.0762651697983678,1.0666407052452849,1.0632540450268395,1.0632540450268395,1.043671163908636,1.0608754361100496,1.0491809210443848,1.080729121654257,1.080729121654257,1.0464342662000081,1.0464342662000081,1.0152763827469948,0.9995928722466261,0.9960203016934773,1.024059315977572,1.024059315977572,1.024059315977572,1.0081181390675689,0.9928961601755821
2016-07-26,1.084695879659908,1.0018506644350977,1.083493822176122,1.0778395618778227,1.0644118195047938,1.072075091824206,1.0365158363137486,1.1208846739917997,1.1021879958847263,1.0710411327842948,1.0710411327842948,1.0643799858842038,1.087471204952593,1.0825652585971877,1.0728844557150135,1.0694779711440698,1.0694779711440698,1.0497804585266377,1.067085438662889,1.0553224678992787,1.0870553409029649,1.0870553409029649,1.0525597350753253,1.0525597350753253,1.0212194640118553,1.0054441475963625,1.0018506644350977,1.0361550981210714,1.0361550981210714,1.0361550981210714,1.0201277350249063,1.004724418441354
2016-07-27,1.0647482014388483,0.9989354830642877,1.0803410758458325,1.0747032682933093,1.0613145979155463,1.068955571673408,1.0334997863535729,1.11762312789871,1.0989808533166816,1.0679246212437004,1.0679246212437004,1.061282856924308,1.0843068852485602,1.079415214197778,1.0697625804801494,1.066366008085455,1.066366008085455,1.046725811217637,1.0639804373864694,1.0522516944718319,1.083892231278611,1.083892231278611,1.049497000637667,1.049497000637667,1.018247923379425,1.0025185099214944,0.9989354830642877,1.017100090287069,1.017100090287069,1.017100090287069,1.00136747218604,0.9862474243126464
2016-07-28,1.0676913015042506,1.0115679356711318,1.0940029766104198,1.0882938738262014,1.0747358914689529,1.0824734923268655,1.0465693361810013,1.1317564943020983,1.1128784711115423,1.0814295045862763,1.0814295045862763,1.0747037490838567,1.0980189372993687,1.0930654065952206,1.0832907064978945,1.0798511813394538,1.0798511813394538,1.0599626162233073,1.0774354429176212,1.0655583793241021,1.0975990396508113,1.0975990396508113,1.0627688498675207,1.0627688498675207,1.0311245994532894,1.0151962731792565,1.0115679356711318,1.0289322887109436,1.0289322887109436,1.0289322887109436,1.0130166488396126,0.9977207053898399
2016-07-29,1.0640941792020924,1.0067093000531149,1.088748399393271,1.0830667178520121,1.0695738554868734,1.0772742920755358,1.041542586247375,1.126320584146949,1.1075332334981343,1.0762353186852855,1.0762353186852855,1.0695418674840305,1.092745071125981,1.087815332596204,1.078087581106454,1.074664576241762,1.074664576241762,1.0548715373749726,1.0722604407902552,1.0604404236116907,1.092327190276888,1.092327190276888,1.0576642924714232,1.0576642924714232,1.0261720317325724,1.0103202103878097,1.0067093000531149,1.0239902508208814,1.0239902508208814,1.0239902508208814,1.00815105494509,0.9929285790431068
2016-08-01,1.0552648790058856,1.0115679356711318,1.0940029766104198,1.0882938738262014,1.0747358914689529,1.0824734923268655,1.0465693361810013,1.1317564943020983,1.1128784711115423,1.0814295045862763,1.0814295045862763,1.0747037490838567,1.0980189372993687,1.0930654065952206,1.0832907064978945,1.0798511813394538,1.0798511813394538,1.0599626162233073,1.0774354429176212,1.0655583793241021,1.0975990396508113,1.0975990396508113,1.0627688498675207,1.0627688498675207,1.0311245994532894,1.0151962731792565,1.0115679356711318,1.0289322887109436,1.0289322887109436,1.0289322887109436,1.0130166488396126,0.9977207053898399
2016-08-02,1.0578809679529098,1.0203134797835625,1.1034612156012882,1.0977027545797422,1.084027556236696,1.0918320527792593,1.0556174860615288,1.1415411325813674,1.1224998988156767,1.0907790392080599,1.0907790392080599,1.0839951359635445,1.1075118964114672,1.1025155397934503,1.0926563322024874,1.0891870705152993,1.0891870705152993,1.0691265581503102,1.0867504467468803,1.0747706996064432,1.1070883685238733,1.1070883685238733,1.0719570531804965,1.0719570531804965,1.0400392213505802,1.0239731862038612,1.0203134797835625,1.0378279569130555,1.0378279569130555,1.0378279569130555,1.0217747178497536,1.0063465328139598
2016-08-03,1.0591890124264218,1.0037941186823047,1.0855956530629816,1.0799304242674985,1.0664766338976257,1.0741547719247377,1.0385265362871992,1.1230590380538594,1.1043260909300894,1.073118807144691,1.073118807144691,1.0664447385241345,1.089580751421948,1.0846652881967942,1.0749657058715898,1.0715526131831468,1.0715526131831468,1.0518168900659717,1.0691554395138354,1.0573696501842436,1.0891640806525342,1.0891640806525342,1.0546015580337644,1.0546015580337644,1.0232004911001422,1.0073945727129414,1.0037941186823047,1.021025028086844,1.021025028086844,1.021025028086844,1.0052316986083765,0.990053303235067
2016-08-04,1.0624591236102021,1.0086527543003216,1.0908502302801306,1.0851575802416877,1.0716386698797054,1.0793539721760677,1.0435532862208254,1.1284949482090088,1.1096713285434974,1.0783129930456818,1.0783129930456818,1.071606620123961,1.094854617595336,1.0899153621958106,1.0801688312630302,1.0767392182808386,1.0767392182808386,1.0569079689143066,1.0743304416412016,1.0624876058966553,1.0944359300264574,1.0944359300264574,1.0597061154298621,1.0597061154298621,1.0281530588208594,1.0122706355043884,1.0086527543003216,1.0259670659769062,1.0259670659769062,1.0259670659769062,1.0100972925028993,0.9948454295818002
2016-08-05,1.0667102681491163,1.0057375729295113,1.087697483949841,1.0820212866571741,1.0685414482904576,1.0762344520252696,1.0405372362606495,1.125233402115919,1.1064641859754525,1.0751964815050872,1.0751964815050872,1.068509491164065,1.091690297891303,1.0867653177964007,1.077046956028166,1.0736272552222232,1.0736272552222232,1.0538533216053056,1.0712254403647818,1.0594168324692081,1.0912728204021034,1.0912728204021034,1.0566433809922033,1.0566433809922033,1.025181518188429,1.0093449978295201,1.0057375729295113,1.0230018432428687,1.0230018432428687,1.0230018432428687,1.0071779361661855,0.9919701537737602
2016-08-08,1.0755395683453228,1.0193417526599586,1.1024103001578582,1.096657323384904,1.0829951490402803,1.090792212728993,1.0546121360748033,1.140453950550337,1.121430851292995,1.0897402020278613,1.0897402020278613,1.0496943938859122,1.1064571231767892,1.1014655249936467,1.091615707124199,1.0881497494957606,1.0881497494957606,1.068108342380643,1.085715446321407,1.0737471084639607,1.1060339986490884,1.1060339986490884,1.0709361417012766,1.0709361417012766,1.0390487078064368,1.0229979736455717,1.0193417526599586,1.0368395493350426,1.0368395493350426,1.0368395493350426,1.0208015990708488,1.005388107544613
2016-08-09,1.0804447351209931,1.0232286611543724,1.1066139619315776,1.1008390481642554,1.0871247778259439,1.094951572930057,1.0586335360217045,1.1448026786744567,1.1257070413837214,1.0938955507486539,1.0938955507486539,1.0527487143801524,1.1106762161154997,1.10566558419286,1.0957782074373514,1.0922990335739142,1.0922990335739142,1.072181205459311,1.0898554480232998,1.07784147303389,1.1102514781482271,1.1102514781482271,1.0750197876181549,1.0750197876181549,1.0430107619830105,1.0268988238787293,1.0232286611543724,1.0407931796470924,1.0407931796470924,1.0407931796470924,1.024694074186467,1.0092218086219995
2016-08-10,1.0771746239372129,1.0183700255363555,1.1013593847144287,1.0956118921900662,1.0819627418438644,1.0897523726787273,1.0536067860880782,1.1393667685193074,1.1203618037703136,1.0887013648476633,1.0887013648476633,1.0477499075692307,1.105402349942112,1.1004155101938438,1.0905750820459112,1.0871124284762224,1.0871124284762224,1.0670901266109762,1.0846804458959338,1.0727235173214786,1.1049796287743041,1.1049796287743041,1.0699152302220574,1.0699152302220574,1.0380581942622935,1.0220227610872825,1.0183700255363555,1.0358511417570304,1.0358511417570304,1.0358511417570304,1.0198284802919444,1.0044296822752665
2016-08-11,1.0758665794637008,1.0183700255363555,1.1013593847144287,1.0956118921900662,1.0819627418438644,1.0897523726787273,1.0536067860880782,1.1393667685193074,1.1203618037703136,1.0887013648476633,1.0887013648476633,1.0477499075692307,1.105402349942112,1.1004155101938438,1.0905750820459112,1.0871124284762224,1.0786331016877582,1.0670901266109762,1.0846804458959338,1.0727235173214786,1.1049796287743041,1.1049796287743041,1.0699152302220574,1.0699152302220574,1.0380581942622935,1.0220227610872825,1.0183700255363555,1.0358511417570304,1.0358511417570304,1.0358511417570304,1.0198284802919444,1.0044296822752665
2016-08-12,1.0948332243296262,1.0232286611543724,1.1066139619315776,1.1008390481642554,1.0871247778259439,1.094951572930057,1.0586335360217045,1.1448026786744567,1.1257070413837214,1.0938955507486539,1.0938955507486539,1.0527487143801524,1.1106762161154997,1.10566558419286,1.0957782074373514,1.0858313776138844,1.0783325421331256,1.072181205459311,1.0898554480232998,1.07784147303389,1.1102514781482271,1.1036775232429643,1.0750197876181549,1.0750197876181549,1.0430107619830105,1.0268988238787293,1.0232286611543724,1.0407931796470924,1.0407931796470924,1.0407931796470924,1.024694074186467,1.0092218086219995
