date,single_momentum_nav,threshold_dual_momentum_nav,breadth_dual_momentum_nav,hs300_benchmark
2019-09-27,1.2796524971589927,1.2243867930454815,1.05953161476774,1.2805755395683458
2019-09-30,1.272276978443379,1.2173298086475248,1.0534248043079837,1.2652060170045787
2019-10-08,1.2698184722048411,1.2153422381361885,1.0517048463622574,1.273381294964029
2019-10-09,1.2685892190855723,1.2195848825021045,1.049898724002677,1.2769784172661873
2019-10-10,1.2698184722048413,1.2233424063478417,1.0509160677274858,1.286134728580772
2019-10-11,1.272870795653361,1.2270884242150486,1.0534422049873895,1.3018312622629171
2019-10-14,1.28151507949481,1.2350911748077555,1.060596311642652,1.31131458469588
2019-10-15,1.2663875827722744,1.2195962999426926,1.0480766249959428,1.3070634401569656
2019-10-16,1.27840013903214,1.2181554016802927,1.0580183518366724,1.3024852844996733
2019-10-17,1.2771929623191731,1.216092359458467,1.0570192787943338,1.3044473512099413
2019-10-18,1.27840013903214,1.2172417851290325,1.0580183518366724,1.285480706344016
2019-10-21,1.2832288458840082,1.2184627640599932,1.0590796184904665,1.288423806409418
2019-10-22,1.2868503760229095,1.2200603988030787,1.0615914609510166,1.2933289731850885
2019-10-23,1.2892647294488437,1.2168693079605248,1.0560382362206713,1.28646173969915
2019-10-24,1.2940934363007122,1.2205108007585042,1.0578893111307865,1.28809679529104
2019-10-25,1.2965077897266464,1.2222629491926202,1.0599381039797382,1.2959450621321127
2019-10-28,1.2965077897266464,1.221112536456524,1.0582080622760308,1.3034663178548074
2019-10-29,1.3013364965785148,1.2167938578526545,1.0542017756548423,1.299215173315893
2019-10-30,1.2953006130136793,1.2146684537341346,1.0485251729115839,1.2907128842380644
2019-10-31,1.3001293198655477,1.209877912067348,1.043606592786814,1.2900588620013083
2019-11-01,1.2977149664396135,1.2157562941489473,1.048677119518552,1.316546762589928
2019-11-04,1.3025436732914817,1.2189472555509129,1.0517897395363227,1.3207979071288425
2019-11-05,1.3055028363745818,1.2242516387343372,1.0541792312917542,1.3283191628515372
2019-11-06,1.2994112882775164,1.2200264389457804,1.0492603729703323,1.3227599738391107
2019-11-07,1.2966900677044753,1.223206351471269,1.0470630171837831,1.324395029431001
2019-11-08,1.299668603305539,1.2263229036274927,1.0494681520351359,1.3191628515369525
2019-11-11,1.2697420236241614,1.2163379509429635,1.0253027669553796,1.2972531066056248
2019-11-12,1.2719475481254703,1.2163379509429635,1.0270837038163376,1.2956180510137347
2019-11-13,1.2625302441633874,1.2076345071112962,1.0194793340861588,1.2946370176586006
2019-11-14,1.2674470331490952,1.2123375105211354,1.023449587301212,1.2956180510137347
2019-11-15,1.2708799882768014,1.2156211982527743,1.0262216609396226,1.2894048397645523
2019-11-18,1.2770593075066725,1.2215318361697247,1.031211393488762,1.2985611510791373
2019-11-19,1.2734456506749916,1.2180753037761676,1.0282934052049888,1.3116415958142582
2019-11-20,1.2639910332878257,1.209031780057778,1.0206589052930328,1.2982341399607593
2019-11-21,1.2578551544854577,1.2031626937468178,1.0157042504129696,1.2916939175931987
2019-11-22,1.2333116392759853,1.1796863485029774,0.9958856308927165,1.2779594506213217
2019-11-25,1.2380303968523458,1.1870811383245086,0.9996959759152627,1.2871157619359062
2019-11-26,1.2492731942596587,1.1969628595578394,1.0087744115939803,1.2890778286461746
2019-11-27,1.256547945523214,1.2039329979671227,1.0146486935037389,1.2871157619359064
2019-11-28,1.2902763377451532,1.2362490942283457,1.041884000539892,1.2851536952256384
2019-11-29,1.2922603608170318,1.238150041067241,1.0434860774243715,1.2710922171353833
2019-12-02,1.3220207068952132,1.266664243650673,1.0675172306915652,1.2737083060824075
2019-12-03,1.2539025814273757,1.2013984021819288,1.0125125909910992,1.2789404839764558
2019-12-04,1.2386917378763052,1.1989314872671877,1.0002300015434225,1.2795945062132117
2019-12-05,1.2400144199242245,1.2010220391194408,1.0012980527997422,1.2890778286461746
2019-12-06,1.252805830809365,1.2137148792375616,1.011626976888089,1.2969260954872472
2019-12-09,1.2447878734921851,1.2170120678156118,1.0051525642360053,1.2926749509483328
2019-12-10,1.2628282774558401,1.2164879454780513,1.019719992703194,1.293655984303467
2019-12-11,1.2508013414800703,1.2164879454780513,1.0100083737250682,1.2753433616742975
2019-12-12,1.2528058308093653,1.2180609902351351,1.0116269768880892,1.2717462393721393
2019-12-13,1.2621706540345774,1.2222503659539146,1.0191889689984648,1.2975801177240034
2019-12-16,1.274656706719583,1.2346504005272,1.0292713196871084,1.3015042511445396
2019-12-17,1.2903689619642005,1.2498695117817729,1.0419587935815566,1.321778940483977
2019-12-18,1.2844768662474688,1.244162345061308,1.0372009908711386,1.316873773708307
2019-12-19,1.2844768662474688,1.244162345061308,1.0372009908711386,1.3145846958796605
2019-12-20,1.2687646110028514,1.2289432338067354,1.0245135169766904,1.3132766514061487
2019-12-23,1.2451962281359255,1.2061145669248765,1.005482306135018,1.2962720732504913
2019-12-24,1.274656706719583,1.2346504005272,1.0292713196871084,1.3031393067364299
2019-12-25,1.2884049300586233,1.2321534563438759,1.0403728593447505,1.305428384565076
2019-12-26,1.296261057680932,1.2387368372348595,1.0467165962919747,1.3149117069980387
2019-12-27,1.274656706719583,1.218091223280945,1.0292713196871084,1.3136036625245269
2019-12-30,1.296261057680932,1.2387368372348593,1.0467165962919747,1.3325703073904522
2019-12-31,1.298225089586509,1.2406137112306697,1.0483025305287805,1.3394375408763908
2020-01-02,1.321793472453435,1.2631361991803942,1.0673337413704527,1.356769130150426
2020-01-03,1.3178654086422807,1.2593824511887735,1.0641618728968407,1.3534990189666458
2020-01-06,1.3316136319813208,1.2725205691594461,1.0752634125544829,1.3482668410725975
2020-01-07,1.3473258872259382,1.2875355611259292,1.087950886448931,1.3587311968606943
2020-01-08,1.3276855681701665,1.2687668211678251,1.0720915440808707,1.3453237410071952
2020-01-09,1.3669662062817098,1.306304301084033,1.103810228816991,1.3597122302158284
2020-01-10,1.3650021743761327,1.3044274270882226,1.1022242945801852,1.3593852190974502
2020-01-13,1.3866065253374815,1.325073041042137,1.1196695711850515,1.3741007194244614
2020-01-14,1.378750397715173,1.3175655450588954,1.1133258342378274,1.3682145192936572
2020-01-15,1.3767863658095958,1.315688671063085,1.1117399000010213,1.3577501635055604
2020-01-16,1.3826784615263272,1.3213192930505162,1.1164977027114393,1.3557880967952922
2020-01-17,1.3826784615263272,1.3213192930505162,1.1164977027114393,1.3574231523871823
2020-01-20,1.4219590996378706,1.358856772966724,1.1482163874475597,1.3672334859385231
2020-01-21,1.4082108762988303,1.3457186549960514,1.1371148477899176,1.3423806409417933
2020-01-22,1.4396353867880651,1.3757486389290177,1.162489795578814,1.3469587965990855
2020-01-23,1.3964266848653673,1.334457411021189,1.1275992423690815,1.3067364290385883
2020-02-03,1.2825128343418915,1.2255987192641864,1.1415360238213217,1.196533682145194
2020-02-04,1.271038716677376,1.219808635769299,1.1321725097259259,1.2328319162851549
2020-02-05,1.3095043620505071,1.2570383925846973,1.1281618810126175,1.244931327665142
2020-02-06,1.3528534719666618,1.2986506979943977,1.1253975754523389,1.2743623283191643
2020-02-07,1.3510472590534888,1.2969168519356602,1.1280056810733177,1.2714192282537622
2020-02-10,1.370915601098393,1.3159891585817727,1.1301198785724458,1.2756703727926764
2020-02-11,1.3600783236193543,1.3055860822293477,1.1286589364714472,1.2894048397645537
2020-02-12,1.405233646448682,1.3489322336977856,1.1275211754467784,1.2985611510791386
2020-02-13,1.3907839431432971,1.3350614652278856,1.1315887121547394,1.2916939175932
2020-02-14,1.3053967197619665,1.2530953251086834,1.1322371870614183,1.3005232177894068
2020-02-17,1.3146018090154663,1.2619316077008995,1.1340194722728771,1.328973185088295
2020-02-18,1.3231245645638026,1.2701128946407132,1.1367695908218984,1.3207979071288445
2020-02-19,1.2936124924917474,1.2417832389981693,1.143224841195674,1.3211249182472227
2020-02-20,1.332961921921154,1.2795561131882276,1.1451505427810684,1.3508829300196232
2020-02-21,1.3575553153145332,1.303164159557014,1.1654040724915835,1.3554610856769151
2020-02-24,1.3805091491483539,1.3251983361678816,1.1771462936466965,1.3446697187704404
2020-02-25,1.4001838638630573,1.3440847732629109,1.1649798151754487,1.3420536298234162
2020-02-26,1.3296828028020369,1.2764083736723897,1.1681732905459956,1.3309352517985635
2020-02-27,1.3346014814807123,1.2811299829461467,1.1683325289989055,1.3312622629169415
2020-02-28,1.259181741741016,1.208731974081868,1.1610085583892094,1.286134728580774
2020-03-02,1.2968916116108642,1.2449309785140075,1.1347679383759661,1.3328973185088315
2020-03-03,1.3280432432424778,1.2748345039144702,1.133523361936495,1.3319162851536976
2020-03-04,1.3214850050042433,1.2685390248827937,1.1575969490154954,1.3413996075866605
2020-03-05,1.3378806005998292,1.2842777224619844,1.1572764625955023,1.3734466971877068
2020-03-06,1.3296828028020362,1.276408373672389,1.1690023796694116,1.347612818835843
2020-03-09,1.2673795395388088,1.2166013228714632,1.1647209005252073,1.3047743623283217
2020-03-10,1.3100080880873328,1.2575219365773598,1.1712804943085333,1.333551340745588
2020-03-11,1.2772168968961604,1.2260445414189778,1.1662100159781934,1.3116415958142602
2020-03-12,1.2460652652645468,1.1961410160185149,1.1592364125547976,1.2910398953564446
2020-03-13,1.2082474607531835,1.1776862807543962,1.142207718024475,1.271746239372141
2020-03-16,1.1289085376631975,1.1628895370784416,1.1278567358448415,1.218443427076523
2020-03-17,1.0752556217936773,1.162598814694172,1.0750603051424032,1.2076520601700482
2020-03-18,1.0562939215917782,1.162598814694172,1.056102049271053,1.1873773708306106
2020-03-19,1.0507958577401253,1.162598814694172,1.0506049841246365,1.1759319816873797
2020-03-20,1.0615830132845592,1.162598814694172,1.0613901802177037,1.1916285153695247
2020-03-23,1.0587275897580914,1.162598814694172,1.058535275369539,1.1530412034009176
2020-03-24,1.1177396759717577,1.162598814694172,1.1175366422316109,1.1808371484630498
2020-03-25,1.1361412942534386,1.181148090332705,1.1359349179197837,1.211903204708962
2020-03-26,1.1332858707269708,1.1781795528255856,1.133080013071619,1.2043819489862673
2020-03-27,1.1459766419557165,1.177590463049173,1.1457684790634626,1.209941137998694
2020-03-30,1.136775832814876,1.177590463049173,1.136569341219376,1.198822759973841
2020-03-31,1.1377276406570318,1.177590463049173,1.1375209761687641,1.1998037933289751
2020-04-01,1.119326022375351,1.177590463049173,1.1191227004805913,1.2011118378024872
2020-04-02,1.1240850615861306,1.177590463049173,1.1238808752275327,1.2174623937213884
2020-04-03,1.134237678569127,1.177590463049173,1.1340316480210073,1.2089601046435599
2020-04-07,1.1662818759217093,1.177590463049173,1.1660700246504119,1.2361020274689358
2020-04-08,1.155177451096557,1.1657951775092648,1.154967616907549,1.2311968606932655
2020-04-09,1.1580328746230246,1.1686768464457062,1.1578225217557137,1.2347939829954235
2020-04-10,1.1646955295181158,1.1754007406307363,1.1644839664014313,1.230869849574887
2020-04-13,1.1643782602373973,1.1750805551933539,1.1641667547516352,1.2240026160889486
2020-04-14,1.1777035700275802,1.1744930149157573,1.1774896440430709,1.2442773054283862
2020-04-15,1.2104641126053666,1.1726177653262766,1.1743175275451099,1.2370830608240695
2020-04-16,1.218399813311183,1.177052300365328,1.1831994537394004,1.2377370830608256
2020-04-17,1.2561815414755815,1.213855562659787,1.1638495431018392,1.2488554610856786
2020-04-20,1.2398266490978322,1.1980517346031248,1.160704389594111,1.254087638979727
2020-04-21,1.2272459626534098,1.1858949437903077,1.14806487234908,1.2410071942446061
2020-04-22,1.2215846537534196,1.18042438792454,1.142768827320304,1.252125572269459
2020-04-23,1.234165340197842,1.192581178737357,1.1545378162731395,1.249836494440813
2020-04-24,1.2272459626534098,1.1858949437903077,1.14806487234908,1.2393721386527161
2020-04-27,1.2687622279200037,1.226012353472604,1.1869025358934364,1.2449313276651424
2020-04-28,1.2783615768662921,1.2352882604427677,1.1958825412534273,1.252779594506215
2020-04-29,1.3140547117085013,1.2697787451748457,1.2292727788613487,1.2593198168737754
2020-04-30,1.357292563452844,1.3115597339288108,1.2697209532730955,1.2779594506213228
2020-05-06,1.351026208127577,1.3055045181673666,1.2638588990105235,1.281229561805103
2020-05-07,1.3366135908794627,1.2915775219160448,1.2503761742066077,1.2789404839764569
2020-05-08,1.337866861944516,1.2927885650683335,1.251548585059122,1.2926749509483337
2020-05-11,1.3284673289566156,1.2837057414261674,1.242755503665264,1.2903858731196876
2020-05-12,1.3096682629808143,1.2655400941418347,1.2251693408775477,1.2900588620013094
2020-05-13,1.2908691970050132,1.2473744468575023,1.2075831780898318,1.2930019620667117
2020-05-14,1.2664304112364717,1.2237591053878698,1.184721166465801,1.2822105951602367
2020-05-15,1.2789631218870057,1.2358695369107582,1.1964452749909449,1.2759973839110543
2020-05-18,1.2883626548749065,1.2449523605529247,1.205238356384803,1.2799215173315905
2020-05-19,1.3121748051109212,1.2679621804464125,1.2275141625825765,1.2894048397645532
2020-05-20,1.3008953655254407,1.257062792075813,1.216962464909947,1.2841726618705047
2020-05-21,1.312801440643448,1.268567702022557,1.2281003680088338,1.275670372792676
2020-05-22,1.2871093838098528,1.2437413174006355,1.2040659455322884,1.2475474166121658
2020-05-25,1.3215743380988216,1.2770450040885786,1.2363072439764344,1.248201438848922
2020-05-26,1.3466397593998898,1.3012658671343553,1.2597554610267225,1.2632439502943111
2020-05-27,1.3278406934240887,1.2831002198500228,1.2421692982390067,1.2573577501635067
2020-05-28,1.3578169908482025,1.3120664911848672,1.2702115449629687,1.2589928057553967
2020-05-29,1.3525996344952795,1.3070249292590848,1.2653308089592685,1.2642249836494452
2020-06-01,1.3656430253775869,1.3196288340735407,1.2775326489685188,1.2975801177240036
2020-06-02,1.379990755348125,1.3334931293694423,1.2909546729786943,1.3011772400261619
2020-06-03,1.3969471634951247,1.349878205628235,1.3068170649907198,1.300850228907784
2020-06-04,1.3969471634951247,1.349878205628235,1.3068170649907198,1.30150425114454
2020-06-05,1.3917298071422017,1.3448366437024526,1.3019363289870196,1.3090255068672345
2020-06-08,1.4008601807598169,1.3536593770725718,1.3104776169934949,1.3152387181164171
2020-06-09,1.4112948934656628,1.3637425009241366,1.3202390890008953,1.3240680183126239
2020-06-10,1.415207910730355,1.3675236723684734,1.3238996410036703,1.3211249182472216
2020-06-11,1.3982515025833555,1.3511385961096807,1.308037248991645,1.3090255068672345
2020-06-12,1.3708603817305098,1.324670395999323,1.282413384972219,1.3122956180510146
2020-06-15,1.3369475654365104,1.2919002434817373,1.250688600948168,1.2936559843034672
2020-06-16,1.3639943145908842,1.3180356752078997,1.275990311901234,1.3139306736429046
2020-06-17,1.3677529906532717,1.3216677058467243,1.2795064806930518,1.3152387181164167
2020-06-18,1.3536656471165807,1.3080550234831343,1.2663280431578237,1.3253760627861353
2020-06-19,1.3639109878705378,1.3179551561111997,1.2759123613652623,1.3423806409417927
2020-06-22,1.3808773066165148,1.3343498090396861,1.2917840245510346,1.3436886854153047
2020-06-23,1.4083726512172863,1.3609187211665827,1.317505387871741,1.3499018966644871
2020-06-24,1.406845132072799,1.3594426704928664,1.316076423242813,1.3616742969260958
2020-06-29,1.3930974597724133,1.3461582144294182,1.30321574158246,1.349901896664487
2020-06-30,1.4404505532515193,1.3919157853146285,1.347513645079232,1.3662524525833881
2020-07-01,1.4236478426621593,1.3756792279037475,1.3317950341610227,1.3969914977109226
2020-07-02,1.4328129575290827,1.384535531946046,1.3403688219345913,1.429038587311969
2020-07-03,1.4541982255519048,1.4052002413780766,1.3603743267395851,1.4574885546108574
2020-07-06,1.501551319031011,1.4509578122632873,1.4046722302363575,1.5644211903204714
2020-07-07,1.5366842593542187,1.484906977758766,1.4375384167017045,1.5487246566383261
2020-07-08,1.5977850251337107,1.5439490047074247,1.49469700185883,1.5689993459777638
2020-07-09,1.6420830803238422,1.5867544742452022,1.536136976097746,1.5931981687377375
2020-07-10,1.6558307526242282,1.6000389303086509,1.5489976577580995,1.5647482014388494
2020-07-13,1.7413718247155163,1.6826977680367727,1.6290196769780747,1.5974493132766518
2020-07-14,1.71693151840372,1.6590809572573095,1.6061562429152247,1.5833878351863966
2020-07-15,1.686381135513974,1.6295599437829802,1.577576950336662,1.5644211903204712
2020-07-16,1.5870923911222996,1.5336166499914097,1.4846942494563329,1.4898626553302816
2020-07-17,1.5916749485557617,1.5380448020125592,1.4806853721557176,1.5058862001308049
2020-07-20,1.619170293156533,1.5646137141394556,1.5051337328351218,1.5457815565729238
2020-07-21,1.6481931569017916,1.5926586769400684,1.5321125450274493,1.54970568999346
2020-07-22,1.669578424924614,1.613323386372099,1.5519916698007434,1.5670372792674954
2020-07-23,1.6986012886698727,1.641368349172712,1.5789704819930712,1.5585349901896668
2020-07-24,1.5886199102667873,1.5350927006651263,1.4767349831589873,1.4892086330935255
2020-07-27,1.5886199102667873,1.5350927006651263,1.4767349831589873,1.49836494440811
2020-07-28,1.608477659145122,1.5542813594234404,1.4951941704484746,1.5098103335513409
2020-07-29,1.6879086546584614,1.6310359944566968,1.569030919606424,1.55297580117724
2020-07-30,1.6680509057801267,1.6118473356983827,1.5505717323169368,1.5415304120340094
2020-07-31,1.7184590375482074,1.660557007931026,1.5974296692825583,1.553302812295618
2020-08-03,1.7566470161603895,1.6974582747739375,1.6329281063777261,1.57782864617397
2020-08-04,1.7337342289930802,1.6753175146681907,1.6116290441206256,1.5791366906474817
2020-08-05,1.7490094204379532,1.6900780214053555,1.625828418958693,1.5797907128842381
2020-08-06,1.7138764801147455,1.6561288559098768,1.5931698568311385,1.5739045127534335
2020-08-07,1.6741609823580759,1.6177515383932486,1.5562514822521638,1.5582079790712884
2020-08-10,1.6573582717687154,1.6015149809823672,1.5406321699302896,1.563440156965337
2020-08-11,1.6191529052891502,1.5719939675080379,1.5224854607146523,1.5480706344015698
2020-08-12,1.5186458827177098,1.5439490047074251,1.4942022554587755,1.537606278613473
2020-08-13,1.5440130359687767,1.5496990625492106,1.4997670437840496,1.5327011118378027
2020-08-14,1.5542552451625995,1.5542839710182914,1.504204224386961,1.5624591236102028
2020-08-17,1.594943590378426,1.5505595788669797,1.5246658259686956,1.5948332243296273
2020-08-18,1.596085282282777,1.5499512034416638,1.525211518819794,1.592544146500981
2020-08-19,1.5763742901469975,1.5403761735279529,1.5378657531535085,1.567691301504251
2020-08-20,1.5566837773566997,1.5335712225468363,1.5322210583009874,1.551013734466972
2020-08-21,1.5869553189902996,1.564958271718896,1.5635804741483263,1.564094179202093
2020-08-24,1.6296051410409818,1.607016917609456,1.605602091383761,1.5739045127534337
2020-08-25,1.678620608173855,1.6553529733344279,1.653895591788663,1.5768476128188362
2020-08-26,1.6487020762875557,1.6258491471126917,1.6244177408921643,1.5575539568345327
2020-08-27,1.7091757045683735,1.685484540539605,1.6220032599906318,1.5693263570961418
2020-08-28,1.7263629462902903,1.7024335470925174,1.6370851718673267,1.6079136690647484
2020-08-31,1.7601008652259043,1.7357038192149006,1.6690783555358253,1.5938521909744934
2020-09-01,1.7963850421943948,1.7714850552710486,1.7034861191038333,1.6049705689993463
2020-09-02,1.8944159764601414,1.8681571667209924,1.7964474452349426,1.603662524525834
2020-09-03,1.997539426791641,1.9698512060384659,1.7911198433324997,1.5971223021582737
2020-09-04,1.7976581712108333,1.772740537237931,1.6106847819448058,1.5791366906474822
2020-09-07,1.6735280921081024,1.6503310454668985,1.4994654007552743,1.5474166121648139
2020-09-08,1.7702858973574107,1.74574767494996,1.5023016724040785,1.5552648790058863
2020-09-09,1.686259382272485,1.6628858651357223,1.4904503068441666,1.5189666448659254
