strategy,base_strategy,threshold,windows,weights,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
mh_20_60_120_thr01,mh_20_60_120,0.01,"[20, 60, 120]","[0.4, 0.35, 0.25]",2.9604361719229204,0.14770859859265228,0.26365943397666064,0.5602249703901268,-0.3967268047445065,533,0.9764948453608248,159949,创业板50,创业板50ETF华安,0.18721174379993222,1.0,-3.022777147889362,-0.0670402326318702,-0.3053269570670383,-0.14321730846044367,-397
mh_15_25_60_thr04,mh_15_25_60,0.04,"[15, 25, 60]","[0.25, 0.5, 0.25]",2.4785876986319844,0.13290169158705178,0.2511413354471273,0.5291908293409212,-0.25794402137536165,835,0.9329484536082474,159941,纳指ETF,纳指ETF广发,0.14800008017857053,1.0,-3.504625621180298,-0.0818471396374707,-0.3363610981162438,-0.004434525091298824,-95
mh_15_25_60_thr02,mh_15_25_60,0.02,"[15, 25, 60]","[0.25, 0.5, 0.25]",2.4075829633315764,0.13056546303641525,0.2583912042279597,0.5053014998189601,-0.3309878722981664,820,0.9612371134020619,159941,纳指ETF,纳指ETF广发,0.14800008017857053,1.0,-3.575630356480706,-0.08418336818810723,-0.3602504276382049,-0.07747837601410357,-110
mh_30_60_120_thr01,mh_30_60_120,0.01,"[30, 60, 120]","[0.4, 0.35, 0.25]",2.418537931526952,0.1309287496175615,0.26193855265063415,0.49984528162293995,-0.36341512785959984,527,0.974103092783505,159949,创业板50,创业板50ETF华安,0.26617526999962327,1.0,-3.5646753882853304,-0.08382008160696097,-0.3657066458342251,-0.10990563157553701,-403
mh_20_60_120_thr02,mh_20_60_120,0.02,"[20, 60, 120]","[0.4, 0.35, 0.25]",2.10486257471814,0.12008616589775811,0.2600730895349505,0.4617400674267764,-0.39329362983016036,563,0.9692371134020619,159949,创业板50,创业板50ETF华安,0.18721174379993222,1.0,-3.8783507450941426,-0.09466266532676437,-0.4038118600303886,-0.13978413354609753,-367
mh_30_60_120_thr02,mh_30_60_120,0.02,"[30, 60, 120]","[0.4, 0.35, 0.25]",2.0772963521937915,0.11908675533221458,0.25993506084961226,0.4581404099276676,-0.3629670928509757,564,0.9692371134020618,159949,创业板50,创业板50ETF华安,0.26617526999962327,1.0,-3.905916967618491,-0.09566207589230791,-0.40741151752949745,-0.1094575965669129,-366
mh_15_25_60_thr05,mh_15_25_60,0.05,"[15, 25, 60]","[0.25, 0.5, 0.25]",1.8918046483569562,0.11214427085479772,0.24817325525505554,0.45187895343333223,-0.3340476272705786,844,0.916618556701031,159941,纳指ETF,纳指ETF广发,0.14800008017857053,1.0,-4.091408671455326,-0.10260456036972476,-0.4136729740238328,-0.08053813098651574,-86
mh_20_60_120_thr03,mh_20_60_120,0.03,"[20, 60, 120]","[0.4, 0.35, 0.25]",1.9932447209898823,0.11598894503385515,0.2582028147805807,0.44921642365681375,-0.3996064487213168,587,0.9636288659793814,159949,创业板50,创业板50ETF华安,0.18721174379993222,1.0,-3.9899685988224003,-0.09875988619066733,-0.4163355038003513,-0.14609695243725396,-343
mh_30_60_120_thr03,mh_30_60_120,0.03,"[30, 60, 120]","[0.4, 0.35, 0.25]",1.821964658406357,0.10942608397249143,0.2590498014733952,0.4224133095262366,-0.38252827104015064,594,0.9646185567010308,159949,创业板50,创业板50ETF华安,0.26617526999962327,1.0,-4.161248661405926,-0.10532274725203106,-0.4431386179309284,-0.1290187747560878,-336
mh_30_60_120_thr04,mh_30_60_120,0.04,"[30, 60, 120]","[0.4, 0.35, 0.25]",1.7988216897236722,0.10851199136353329,0.2578414237912906,0.42084778220650915,-0.35918723043291445,600,0.9576082474226805,159949,创业板50,创业板50ETF华安,0.26617526999962327,1.0,-4.18439163008861,-0.1062368398609892,-0.4447041452506559,-0.10567773414885162,-330
mh_25_60_thr01,mh_25_60,0.01,"[25, 60]","[0.6, 0.4]",1.8069857686239899,0.10883522711271731,0.26237063087775786,0.41481482416157,-0.365558514232322,755,0.9720412371134022,159941,纳指ETF,纳指ETF广发,0.16713456713942604,1.0,-4.176227551188292,-0.10591360411180517,-0.450737103295595,-0.11204901794825917,-175
mh_20_60_120_thr04,mh_20_60_120,0.04,"[20, 60, 120]","[0.4, 0.35, 0.25]",1.5608392058730125,0.0986956415250877,0.2572804898351557,0.3836110603968602,-0.4142980631221961,625,0.9550515463917526,159949,创业板50,创业板50ETF华安,0.18721174379993222,1.0,-4.42237411393927,-0.11605318969943479,-0.4819408670603048,-0.16078856683813325,-305
mh_25_60_thr02,mh_25_60,0.02,"[25, 60]","[0.6, 0.4]",1.5232385685770864,0.09707011811241051,0.2606859778544488,0.3723641712965803,-0.36770862157650885,777,0.9647010309278349,159941,纳指ETF,纳指ETF广发,0.16713456713942604,1.0,-4.459974751235196,-0.11767871311211198,-0.49318775616058474,-0.11419912529244602,-153
mh_30_60_120_thr05,mh_30_60_120,0.05,"[30, 60, 120]","[0.4, 0.35, 0.25]",1.2529705368502841,0.08469936613827511,0.25444650884434367,0.33287690415941024,-0.3529396070581381,632,0.9487835051546393,159949,创业板50,创业板50ETF华安,0.26617526999962327,1.0,-4.730242782961998,-0.13004946508624737,-0.5326750232977548,-0.09943011077407526,-298
mh_25_60_thr03,mh_25_60,0.03,"[25, 60]","[0.6, 0.4]",1.2482963226560906,0.08447389829651697,0.2590393257100137,0.3261045328348438,-0.3739123787677717,771,0.9562061855670104,159941,纳指ETF,纳指ETF广发,0.16713456713942604,1.0,-4.734916997156192,-0.13027493292800552,-0.5394473946223213,-0.1204028824837089,-159
mh_20_60_120_thr05,mh_20_60_120,0.05,"[20, 60, 120]","[0.4, 0.35, 0.25]",0.9209416700874604,0.06752636936965284,0.25529182660822103,0.2645065855291989,-0.45005430855391804,668,0.944082474226804,159949,创业板50,创业板50ETF华安,0.18721174379993222,1.0,-5.062271649724822,-0.14722246185486965,-0.6010453419279661,-0.1965448122698552,-262
mh_25_60_thr04,mh_25_60,0.04,"[25, 60]","[0.6, 0.4]",0.9083222724003108,0.06682231432781127,0.25616710363636114,0.2608543930085108,-0.34380437827215504,841,0.943340206185567,159941,纳指ETF,纳指ETF广发,0.16713456713942604,1.0,-5.074891047411972,-0.1479265168967112,-0.6046975344486543,-0.09029488198809221,-89
mh_25_60_thr05,mh_25_60,0.05,"[25, 60]","[0.6, 0.4]",0.7537717325963731,0.05784176043211753,0.25227288757767363,0.22928250826917865,-0.35664369162593024,848,0.9288247422680412,159941,纳指ETF,纳指ETF广发,0.16713456713942604,1.0,-5.229441587215909,-0.15690707079240496,-0.6362694191879864,-0.10313419534186741,-82
