date,hs300_benchmark,base_pool,nonferrous_risk,nonferrous_cap_70,nonferrous_cap_60,nonferrous_abs_08,nonferrous_abs_10,nonferrous_margin_03,nonferrous_margin_05,nonferrous_margin_03_cap_70
2025-12-12,1.1965968586387452,3.042452812010075,2.407958038402597,2.4892143649946172,2.515853164852427,2.8036473695314332,2.822861894102717,2.6677751959721525,3.0238126962053538,2.7810121664992913
2025-12-15,1.18952879581152,3.0751623946427187,2.4338461317600846,2.5159760497250243,2.5429012448300323,2.8337895413161434,2.8532106423302004,2.696456598317491,3.0563218778964316,2.810910985933206
2025-12-16,1.177225130890054,3.045959697536069,2.4107335730497543,2.4920835598078406,2.5187530648983767,2.806878995784235,2.826115667991742,2.6708502090617325,3.027298096187822,2.784217702268264
2025-12-17,1.1979057591623052,3.068728246275151,2.428753806508301,2.510711884417404,2.537580744058492,2.827860416277722,2.84724088260998,2.690814814374469,3.049927149456826,2.805029729592719
2025-12-18,1.1897905759162322,3.0705307071551506,2.4301803693617225,2.51218658650551,2.5390712279508203,2.8295214000356115,2.8489132497585112,2.6923953024623666,3.0517185672470513,2.8066773034243098
2025-12-19,1.195026178010473,3.068576184856015,2.428633457060285,2.510587473788131,2.537455002025263,2.82772029032537,2.847099796318042,2.69068147929672,3.049776019668396,2.8048907349450443
2025-12-22,1.2060209424083788,3.120455933211374,2.4696938332769527,2.5530334286928995,2.580355200370606,2.875527940598295,2.8952350916724594,2.7361722442773164,3.1013379177309104,2.852312410903875
2025-12-23,1.208638743455499,3.1540522624681135,2.483502323394369,2.5627209257872816,2.588600685597406,2.906487257296568,2.926406585036697,2.765631190530497,3.1347284132388116,2.8830217780447183
2025-12-24,1.2130890052356036,3.1697501661109033,2.496861668867174,2.5723707625169814,2.596955502226553,2.9194920288713218,2.9409714827519884,2.778005716447503,3.15033014094729,2.891707288248021
2025-12-25,1.2154450261780119,3.1759290163372405,2.467471108827004,2.5511751981816353,2.5786142434628343,2.9222578634249894,2.9467043706325966,2.780637511336769,3.156471135374088,2.8948814020375186
2025-12-26,1.2201570680628284,3.180048249821465,2.4682007889992645,2.552312803931486,2.579893182615493,2.926048081146682,2.9505262958863354,2.7842440450739114,3.16056513165862,2.8986361120271913
2025-12-29,1.2146596858638756,3.155332848916117,2.4117946878431655,2.5110942681842823,2.54399525892599,2.8591787385922265,2.883097549630658,2.7206153678813316,3.1360011539514288,2.8518246334271975
2025-12-30,1.2172774869109961,3.180048249821465,2.451605995256977,2.540109574690991,2.569191378103852,2.906374979751097,2.9306886167438373,2.76552435425211,3.16056513165862,2.884777026688843
2025-12-31,1.2120418848167553,3.134736681494993,2.474722238271448,2.5568750962421207,2.5837263528987817,2.9337792488110863,2.9583221395837476,2.791600539886755,3.1155311725287693,2.9038174617523733
2026-01-05,1.2358638743455512,3.2253598181479366,2.544070967314862,2.6070307156702226,2.627168352812596,3.0159920559910547,3.041222708103479,2.869829096790691,3.19963434640722,2.9607786968609564
2026-01-06,1.2554973821989543,3.2397771353427225,2.6455255894339302,2.6798064847649035,2.6900294229404693,3.1362663479765636,3.162503169456419,2.98427457818719,3.327232081574393,3.043429409600184
2026-01-07,1.2507853403141376,3.2500752190532842,2.6557994752181395,2.6870913955972737,2.6962974526638255,3.1484460231143365,3.174784735163046,2.9958639940248104,3.3401533712115747,3.051702809936961
2026-01-08,1.24083769633508,3.213002117695262,2.609566989189197,2.654347341840479,2.6681349647636616,3.0936374849943578,3.119517689483225,2.9437116227555196,3.2820075678442553,3.0145157157346345
2026-01-09,1.2465968586387448,3.2274194348900482,2.68918960401682,2.711039602980182,2.716980742661894,3.1880299673120986,3.2146998237095827,3.033529595497076,3.3821475625324164,3.078900549426998
2026-01-12,1.253926701570682,3.2768502367007444,2.7200112613694483,2.7327900639783036,2.735664850920887,3.224568992725418,3.251544520829463,3.0682978430099364,3.4209114314439626,3.103602330339306
2026-01-13,1.2494764397905773,3.213002117695262,2.7495486829990505,2.7535633973258253,2.7534892961251876,3.2595855587465157,3.2868540222360156,3.1016174135430945,3.4580601391508616,3.127194397156333
2026-01-14,1.241623036649216,3.2356579018584974,2.758538333060234,2.7598653406452542,2.7588908164632193,3.2702427744920675,3.297600392229315,3.1117581524010127,3.4693662675833967,3.134351451124603
2026-01-15,1.2439790575916245,3.218409908151495,2.8330240049957527,2.8120303931732793,2.803587930249495,3.358545419240922,3.3866417436023597,3.195781417223759,3.5630456174529668,3.1935947792976287
2026-01-16,1.2397905759162318,3.2158004747608784,2.816254352185619,2.7958044424226363,2.787550085560704,3.3386650227005403,3.366595035162061,3.176864477328645,3.5419547132297797,3.1751671293930634
2026-01-19,1.240314136125656,3.2546889212041674,2.8179983581566352,2.7971844000783235,2.788809135424177,3.340732538985173,3.368679847508204,3.178831796300836,3.5441481195761018,3.176734333494254
2026-01-20,1.2366492146596875,3.2744655638594957,2.8270594461249843,2.8034803135190143,2.794189474592198,3.3514744442552216,3.3795116155066225,3.1890531204046972,3.555544094237118,3.183884539389579
2026-01-21,1.23821989528796,3.351114430460452,2.9163758846701415,2.865480358914146,2.8471562530940826,3.4573589390599877,3.486281900062463,3.2898061722856147,3.667875844467136,3.254297370549156
2026-01-22,1.2374345549738237,3.341813852682938,2.9067014128239808,2.8564032471795944,2.838279115606906,3.4458898681854726,3.474716883266369,3.2788929229474886,3.655708427441424,3.243988585581205
2026-01-23,1.2314136125654467,3.3473782515896326,2.9363404075522395,2.885529362580173,2.8672204232257954,3.481026848952301,3.5101478067630025,3.312327072609028,3.6929848818893953,3.2770668233948235
2026-01-26,1.2335078534031432,3.421729856628181,2.9983198561896263,2.946436305950814,2.9277409066466973,3.5545033860169717,3.5842390208263817,3.3822427421747827,3.7709353695838765,3.3462382295231743
2026-01-27,1.2329842931937192,3.424235700536367,2.9923071442904456,2.940527639268573,2.9218697309778396,3.547375325693233,3.5770513298381963,3.3754601265242843,3.7633732851315016,3.339527815896485
2026-01-28,1.2369109947643997,3.3992655078018803,3.0710940282301378,3.017951178586241,2.9988020110817386,3.6407770503822254,3.6712344181311303,3.464335356374591,3.862462195440441,3.42745695477063
2026-01-29,1.2481675392670175,3.5465063567426736,3.0818701827163744,3.028540860254538,3.009324500282005,3.6535521642615856,3.6841164037952976,3.4764913544160896,3.8760151797947824,3.4394835502769943
2026-01-30,1.2332460732984312,3.3331916262799925,3.021064112059311,2.968786990487666,2.9499497741107374,3.5814666649127633,3.6114278643446927,3.407899309196011,3.799540429426577,3.3716216783023576
2026-02-02,1.2041884816753943,3.0665120746016004,2.71774100893651,2.7601928325538023,2.772322540164684,3.221877612103254,3.2488306251320225,3.065736893817555,3.418056173963817,3.134723380408135
2026-02-03,1.2209424083769649,3.1937778966722683,2.9036577335383424,2.892367387195809,2.886112881005648,3.4422815912685123,3.4710784208655197,3.275459512682034,3.651880444296734,3.2848326995269663
2026-02-04,1.2321989528795827,3.3028725935841208,2.9088220869995043,2.8959683781625265,2.8891927702517184,3.4484039240231024,3.4772519707470053,3.2812851409838246,3.6583755629170924,3.2889223089350033
2026-02-05,1.2248691099476456,3.2192294043180536,2.76809345518284,2.7978936390352294,2.8053253902364226,3.281570356460511,3.309022736476511,3.1225367697600177,3.4813835805123152,3.177539809080702
2026-02-06,1.2170157068062843,3.1786028087755813,2.7797132504704543,2.8061150615753045,2.8123910418722793,3.2953456051583396,3.3229132237098544,3.1356444334390474,3.4959975974081225,3.1868767963928324
2026-02-09,1.2374345549738237,3.2674821535106795,2.839103315273817,2.8480829691381118,2.8484439878804886,3.36575243183613,3.3939090473469435,3.2026391589096446,3.5706914615422485,3.2345393290653117
2026-02-10,1.2390052356020957,3.3959149166115457,2.833938961812655,2.8444564878677223,2.845335181345285,3.3596300990815395,3.3877354974654574,3.1968135306078533,3.5641963429218895,3.23042077057446
2026-02-11,1.2363874345549752,3.48589676389855,2.9061210541929423,2.9173444417675296,2.918391687794809,3.445201853958146,3.4740231133714894,3.2782382517109827,3.654978520362194,3.3131988904743066
2026-02-12,1.2374345549738235,3.4409058402550476,2.868613038521892,2.879691570810282,2.8807253004975086,3.4007361614703018,3.4291854376697404,3.235927484394114,3.6078053334705804,3.270436901696889
2026-02-13,1.2227748691099491,3.47869821611559,2.900119771685574,2.91131998241437,2.912365065827241,3.438087343160091,3.4668490852592098,3.271468528940284,3.647430810459536,3.3063569722699198
2026-02-24,1.2345549738219912,3.464301120549669,2.8881172066708385,2.899271063708051,2.900311821892105,3.423858321563981,3.4525010290346505,3.2579290833988863,3.63233539065422,3.2926731358611465
2026-02-25,1.2434554973822005,3.503893133355951,2.921124260461362,2.9324055901504287,2.9334582427137286,3.462988130953283,3.491958183652189,3.2951625586377307,3.6738477951188395,3.3303036859852737
2026-02-26,1.23952879581152,3.48769640084429,2.907621374819784,2.918850556605819,2.9198983432867003,3.446980481657659,3.475816620399559,3.2799306824036574,3.656865447837858,3.314909370025403
2026-02-27,1.2369109947643995,3.49129567473577,2.9106220160734675,2.9218627862823987,2.922911654270484,3.4505377370566865,3.4794036344556987,3.2833155437890067,3.660639302789187,3.318330329127596
2026-03-02,1.2405759162303682,3.442705477200788,3.013885088114262,2.9939990198848085,2.9845593297425888,3.5729559435271523,3.4309789446978103,3.2376199150867886,3.6096922609462445,3.272147381247985
2026-03-03,1.2246073298429336,3.3005341584873213,2.8497984700263754,2.8798962549956837,2.8870653180104044,3.378431520660982,3.24094007009962,3.058291025298462,3.409754614585538,3.14476891885274
2026-03-04,1.2068062827225148,3.2321923114712465,2.8292876427653897,2.8653870401631485,2.8745978894567608,3.3541159678027106,3.1738321960939992,3.0362796165643076,3.3391512161528554,3.128925248177741
2026-03-05,1.2183246073298446,3.228424364150041,2.8063637770031113,2.849135591278641,2.860623298437653,3.347190701958835,3.1701322824227782,3.0116786303320167,3.3352585808553363,3.1111791049791213
2026-03-06,1.2217277486911011,3.2167251105150476,2.795914126930508,2.838952883207008,2.850542174935765,3.335061059579179,3.1586442692481818,3.0004644790961725,3.3231721784266433,3.10005986281966
2026-03-09,1.2117801047120433,3.2126477420660797,2.7923701585603466,2.835354360947131,2.8469289626384064,3.330833694083987,3.1546405213236715,2.9966612323843775,3.3189598827143016,3.096130373714964
2026-03-10,1.2259162303664937,3.205750644766954,2.786375337395677,2.8292672588198444,2.8408170114892313,3.323682868372691,3.1478679572686588,2.9902278273703,3.3118345483854736,3.089483422616442
2026-03-11,1.233246073298431,3.2295570630572064,2.8070674074117803,2.850277851121629,2.8619133741061975,3.3483650702644034,3.1712445294407803,3.0124337386621636,3.3364287627532305,3.112426421873003
2026-03-12,1.2287958115183262,3.242518496086199,2.818333229782664,2.8617170933334886,2.873399314069166,3.3618033247270036,3.183971932234523,3.024523773733718,3.3498191123027423,3.1249177653721594
2026-03-13,1.2243455497382214,3.248992742667402,2.823960517429484,2.8674310043351525,2.8791365506363586,3.368515744010984,3.1903292805185184,3.030562756310224,3.3565076030427807,3.1311572018421203
2026-03-16,1.2251308900523576,3.248992742667402,2.823960517429484,2.8674310043351525,2.8791365506363586,3.368515744010984,3.1903292805185184,3.030562756310224,3.3565076030427807,3.1311572018421203
2026-03-17,1.2162303664921483,3.2597777808173354,2.8333346602259306,2.87694944750307,2.8886938503895085,3.37969753901185,3.20091958518414,3.0406227156672703,3.36764953699479,3.141551084669812
2026-03-18,1.220418848167541,3.249575917512198,2.82446740152154,2.867945691120677,2.8796533384977208,3.3691203725225862,3.1909019256212856,3.031106724273539,3.3571100761646058,3.1317192259092215
2026-03-19,1.2039267015706825,3.2405038788577003,2.816582164156601,2.8599390727713,2.8716140351973674,3.359714594345051,3.1819936907171726,3.022644599348152,3.3477378278616072,3.1229762149460454
2026-03-20,1.1979057591623052,3.2297111931662505,2.807201374267653,2.8504138801892136,2.8620499584773094,3.348524870467132,3.1713958765932184,3.0125775065942864,3.336587993297538,3.112574961940396
2026-03-23,1.159685863874347,3.1476181996275767,2.7358477607411174,2.7779618885857422,2.7893022003354115,3.2634118637261618,3.090785145281819,2.936003630172492,3.2517783988190727,3.033459344178701
2026-03-24,1.1725130890052373,3.1451463335957013,2.7336992634586457,2.7757803185239567,2.7871117245774366,3.260849063404662,3.0883579109961135,2.9336979478493483,3.249224734410798,3.0310771285996836
2026-03-25,1.18952879581152,3.146189641181524,2.7346060858689287,2.776701100057063,2.788036264963277,3.2619307518869216,3.0893823807328182,2.934671113800582,3.2503025668719596,3.0320825971617347
2026-03-26,1.1748691099476458,3.137007852180209,2.7266254556635827,2.768597620442634,2.7798997049867804,3.2524111858986875,3.0803663771222998,2.9261066170510945,3.240816936390943,3.023233816313533
2026-03-27,1.1801047120418866,3.1350508593351414,2.724924476016941,2.7668704568557425,2.7781654907007423,3.2503821997692466,3.0784447195287346,2.924281192958039,3.2387951832250135,3.0213478003306977
2026-03-30,1.1780104712041903,3.1587063153669956,2.745485332610576,2.7877478159081783,2.799128076178039,3.2749078858468463,3.101673055200695,2.9463462911936276,3.2632334397288356,3.044145312477859
2026-03-31,1.1683246073298448,3.168980186377489,2.75441517899459,2.7968151234103313,2.8082323986206155,3.285559709040016,3.1117614223055527,2.955929449210156,3.273847291125466,3.0540465673445882
2026-04-01,1.1869109947643999,3.1660183273502045,2.751840789448747,2.7942011051351376,2.8056077092911202,3.2824888900031115,3.1088530422850558,2.9531667161514914,3.270787418995355,3.0511921299977973
2026-04-02,1.175130890052358,3.1765981713847915,2.7610365815605222,2.80353845218655,2.8149831736496536,3.293457942267115,3.119241857798122,2.963035276606467,3.2817173685993497,3.061388260758024
2026-04-03,1.1659685863874365,3.142213678272383,2.7311502571972524,2.77319207426946,2.7845129144844196,3.257808522409103,3.085478207380657,2.930962455127796,3.2461950323863675,3.0282508357872877
2026-04-07,1.16387434554974,3.121053990203209,2.712758672973702,2.7545173801666354,2.765761985767353,3.2358704178810958,3.0647005763545248,2.9112253342178445,3.2243351331783785,3.0078585742668347
2026-04-08,1.2047120418848187,3.1174464701118514,2.7096230875443967,2.751333527268821,2.7625651356126015,3.2321301853884257,3.0611581932564116,2.9078603479290375,3.2206082339287265,3.004381892904484
2026-04-09,1.1968586387434574,3.0887856310188107,2.68471165055279,2.726038617389098,2.7371669657979982,3.2024149796714036,3.033014851179357,2.8811263788501593,3.1909989574714337,2.97676053458057
2026-04-10,1.2151832460733005,3.214537717777846,2.7940128882343283,2.8370223778934887,2.848603788833031,3.3327931976732925,3.1564963718380583,2.9984241449102162,3.3209124010326114,3.0979518031640025
2026-04-13,1.2178010471204208,3.249905492178825,2.824753861332261,2.8682365605353484,2.879945395311634,3.369462071486324,3.191225549523318,3.0314141416146074,3.3574505570341926,3.132036847453093
2026-04-14,1.2335078534031432,3.3363600518256615,2.8998984622383186,2.944537895882117,2.956558211148219,3.4590970963626226,3.2761190949761754,3.1120563557808967,3.4467660494825023,3.2153558446042028
2026-04-15,1.2287958115183264,3.293132772002243,2.86232616178529,2.906387228208733,2.9182518032299267,3.4142795839244733,3.2336723222497468,3.071735248697752,3.4021083032583475,3.1736963460286476
2026-04-16,1.2424083769633527,3.4051307242720092,2.9596725765954104,3.005232139907956,3.017500223745503,3.530397684332406,3.3436480515864027,3.1762035715949906,3.5178124639300217,3.2816323196107673
2026-04-17,1.2405759162303682,3.4621121385846974,3.0091996999198574,3.055521656386508,3.0679950341832525,3.589475314364512,3.399600615634877,3.229354121840954,3.5766794930436805,3.336547113187635
2026-04-20,1.2473821989528813,3.4601472622290874,3.0074918680810834,3.053787535128627,3.06625383382333,3.5874381547082326,3.3976712168745844,3.2275213442462656,3.574649595488037,3.334653499616019
2026-04-21,1.2502617801047138,3.468006767651527,3.0143231954361793,3.0607240201601513,3.0732186352630197,3.5955867933333505,3.405388811915753,3.234852454625019,3.5827691857106108,3.3422279539024835
2026-04-22,1.259424083769635,3.546601821875924,3.0826364689871406,3.1300888704753955,3.1428666496599154,3.6770731795845313,3.4825647623274416,3.308163558412555,3.663965087936347,3.417972496767129
2026-04-23,1.2568062827225148,3.5249881819642153,3.0638503187606263,3.1110135366387035,3.123713445700769,3.654664423365457,3.4613413759642278,3.288003004870983,3.6416362148242696,3.397142747479352
2026-04-24,1.251832460732986,3.4601472622290874,3.0074918680810825,3.0537875351286266,3.06625383382333,3.587438154708232,3.3976712168745844,3.2275213442462656,3.5746495954880366,3.334653499616019
2026-04-27,1.251832460732986,3.4346038696061587,2.98529005417702,3.0312439587761726,3.0436182291443394,3.560955079176599,3.372589032990786,3.2036952355153168,3.5482609272646726,3.3100365231850097
2026-04-28,1.2486910994764413,3.44773353115735,2.9967020974668848,3.042831672750998,3.0552532469678897,3.5745677509034106,3.3854816267906958,3.215942189094946,3.5618250723128306,3.3226899938388135
2026-04-29,1.2620418848167556,3.4359019129996375,2.9864182879354266,3.032389559941283,3.044768506930251,3.5623008746134195,3.37386363905291,3.204906011369843,3.5496019251875293,3.3112874887123933
2026-04-30,1.2628272251308916,3.420797571388893,2.973289891620361,3.0190590723517166,3.031383601068907,3.546640878870572,3.359032019803385,3.190817135595215,3.5339977544580505,3.296730956347
2026-05-06,1.2795811518324622,3.511260751120183,3.051918706171838,3.0988982554024247,3.111548706958713,3.640431991782682,3.4478618061292847,3.2751984700656536,3.627454519250395,3.38391318762666
2026-05-07,1.2858638743455513,3.5639820692638686,3.0977430377898814,3.1454279814462285,3.158268378588571,3.6950928064652704,3.4996311938451963,3.324375330675893,3.681920478151379,3.43472239160804
2026-05-08,1.2790575916230382,3.5673675044109907,3.1006855913586353,3.148415831057753,3.161268425324251,3.6986027840172815,3.502955501940847,3.3275331628052283,3.685417943277015,3.4379850426761918
2026-05-11,1.3000000000000016,3.653076983413073,3.17518258283933,3.224059588037712,3.2372209784002237,3.787465318438476,3.587117419844621,3.407480388145354,3.773963699057047,3.5205859820132175
2026-05-12,1.2992146596858654,3.6343811515936255,3.1369273709978924,3.185215496615571,3.19821831600986,3.7418332061681334,3.5438991376778186,3.36642640756529,3.7284942568997335,3.4781692834347453
2026-05-13,1.3133507853403157,3.7415428154885637,3.228451840175242,3.278148842869766,3.2915310386416765,3.8510066926539794,3.6472976066359473,3.464646848633077,3.837278559924572,3.579649987233782
2026-05-14,1.2934554973822003,3.7111742675820922,3.165344242476343,3.2140698017025584,3.227190411343125,3.7757298128593026,3.5760026945720758,3.3969222703161748,3.7622700284034125,3.5096774051788007
2026-05-15,1.2769633507853417,3.7002705026825855,3.142094074903065,3.1904617339041135,3.2034859697068168,3.747996225566527,3.5497361480222285,3.3719711098836322,3.734635306264038,3.483898032842755
2026-05-18,1.2701570680628287,3.6963590116649505,3.133790443626894,3.1820302811189545,3.1950200976938494,3.7380913729619643,3.5403552385401404,3.363059981157724,3.724765762642833,3.47469111415131
2026-05-19,1.2746073298429332,3.673709165358602,3.115522454819318,3.163481084991605,3.1763951792653216,3.7163006972319264,3.5197172376795463,3.3434554979607265,3.7030527666761817,3.4544358930301313
2026-05-20,1.2751308900523575,3.6893753025243106,3.128808264861192,3.176971409447859,3.1899405744860694,3.7321484613992273,3.534726692850888,3.35771330392218,3.7188440364701103,3.4691669629364434
2026-05-21,1.2586387434554986,3.603211548112915,3.0557363096308885,3.1027746249384616,3.115440900771958,3.644985758479076,3.4521746894085106,3.2792953711341886,3.631992052603505,3.3881460784517285
2026-05-22,1.272774869109949,3.6618693391831556,3.105481582597154,3.1532856491338084,3.1661581231745313,3.7043236047919974,3.5083737049160373,3.3326800309492186,3.6911183703746517,3.4433027524719817
2026-05-25,1.2924083769633523,3.7933092335996794,3.216950379957379,3.266470335532188,3.279804856814927,3.837287361387176,3.634303995331789,3.452303936342232,3.8236081355581244,3.5668973726803586
