date,hs300_benchmark,base_pool,china_internet_risk,germany_risk,germany_defensive,china_internet_plus_germany_risk,china_internet_plus_germany_defensive
2024-02-07,0.8191099476439792,1.1009567383182959,1.0996326195935366,1.1385897304572339,1.1061618278814547,1.1372203505992942,1.1140236263506171
2024-02-08,0.8248691099476442,1.1271971579880584,1.1258414799569059,1.1657271022712405,1.1325263066807019,1.1643250843441477,1.1405754848024972
2024-02-19,0.8319371727748693,1.1192109433059567,1.1178648702810978,1.1574679021539342,1.1245023348722354,1.1560758175522357,1.132494484404099
2024-02-20,0.8350785340314137,1.1097849587195405,1.1084502223096964,1.1477197178011729,1.1150317862332224,1.146339357323579,1.122956625952981
2024-02-21,0.8476439790575917,1.1072929266266074,1.1059611873793602,1.1451425028659905,1.11252797234198,1.1437652420002475,1.1204350167629669
2024-02-22,0.8544502617801047,1.1355359570131824,1.1341702499231698,1.1743509387980564,1.1409045297760592,1.1729385489980033,1.1490132542497942
2024-02-23,0.8552356020942409,1.1471654401135367,1.1457857462647385,1.1863779418289069,1.1525889946018564,1.1849510871735498,1.1607807638031935
2024-02-26,0.8460732984293194,1.1333741412517504,1.1320110341737364,1.1721152276756859,1.13873249340898,1.1707055267614512,1.146825780618695
2024-02-27,0.856806282722513,1.1310752079023554,1.1297148657474205,1.1697377120008874,1.136422691191112,1.1683308705205557,1.1444995619967504
2024-02-28,0.8473821989528795,1.1175157829306277,1.1161717486721587,1.1557147976697604,1.122799160138785,1.1543248215237287,1.130779204736113
2024-02-29,0.8617801047120419,1.1073402690369651,1.106008472851085,1.1451914635384428,1.1125755385771967,1.1438141437877853,1.1204829210645906
2024-03-01,0.868848167539267,1.1153059205895361,1.1139645441286021,1.1534293976356644,1.120578850038025,1.1520421701362173,1.1285431142765379
2024-03-04,0.868062827225131,1.1316743475667475,1.1303132848275965,1.1703573315056726,1.1370246634605516,1.1689497448100568,1.1451058126498288
2024-03-05,0.8756544502617802,1.1364426383570567,1.1350758408029937,1.1752886123968482,1.1418154977167057,1.1738750948584138,1.1499306966918927
2024-03-06,0.8719895287958116,1.1305545404899817,1.1291948245408243,1.1691992470929768,1.1358995621738273,1.1677930532234388,1.1439727149566559
2024-03-07,0.8670157068062829,1.113899257620289,1.1125595729504238,1.151974651999205,1.1191655366651014,1.1505891741197656,1.127119756094047
2024-03-08,0.8696335078534032,1.1224378582013503,1.1210879041716464,1.160805119714878,1.1277445059357047,1.1594090214475128,1.1357596984752554
2024-03-11,0.8821989528795812,1.0898359287100248,1.0885251849633413,1.1270887884368526,1.0949884414479456,1.1257332407415683,1.1027708275651857
2024-03-12,0.8835078534031413,1.0941627400090825,1.0928467924140912,1.131563499149154,1.0993357089916047,1.1302025697271991,1.1071489923432805
2024-03-13,0.8780104712041884,1.0901002545882568,1.0887891929373061,1.1273621495236004,1.0952540170027745,1.1260062730574198,1.1030382906390357
2024-03-14,0.8746073298429319,1.086037769167431,1.0847315934605213,1.1231607998980466,1.0911723250139442,1.1218099763876408,1.098927588934791
2024-03-15,0.8769633507853403,1.084683607360489,1.083379060301593,1.1217603500228621,1.0898117610176674,1.1204112108310478,1.097557355033376
2024-03-18,0.8850785340314137,1.1131210053062695,1.1117822566390878,1.1511697974017385,1.1183836049394786,1.149785287519502,1.1263322669630897
2024-03-19,0.8790575916230368,1.0982252254299083,1.0969043918908763,1.1446643156055412,1.1034174009804345,1.1432876298547716,1.1112596940475254
2024-03-20,0.8798429319371729,1.0968710636229664,1.095551858731948,1.1429099164140522,1.102056836984158,1.1415353406760917,1.1098894601461105
2024-03-21,0.8793193717277488,1.0914544163951987,1.0901417260962345,1.1372659168268222,1.0966145809990508,1.1358981291171975,1.1044085245404507
2024-03-22,0.8712041884816755,1.0724961510980116,1.071206261871238,1.1175119182715176,1.0775666850511765,1.1161678886610673,1.0852252499206414
2024-03-25,0.8662303664921466,1.0528612215625246,1.051594947230826,1.0970528539216235,1.0578389257402394,1.0957334303917337,1.0653572799605557
2024-03-26,0.8691099476439791,1.0572161154069823,1.0559446034521482,1.1055135551467807,1.062214408597607,1.10418395594647,1.069763860586408
2024-03-27,0.8591623036649214,1.0301773400768806,1.0289383476093823,1.1166642682390393,1.0350477996820673,1.1153212580957859,1.0424041710573437
2024-03-28,0.8636125654450261,1.0184268797916287,1.0172020195819629,1.120646665771989,1.0232417857169438,1.119298866006256,1.0305142484812209
2024-03-29,0.8678010471204187,1.026326569372715,1.0250922082203417,1.1222396247851687,1.0311788233520995,1.1208899091704438,1.0385076968410616
2024-04-01,0.8829842931937173,1.0300437936636895,1.0288049618122264,1.127814981331298,1.0349136218898063,1.1264585602451018,1.0422690396263516
2024-04-02,0.8798429319371728,1.0239453132732645,1.0227138160533964,1.1210254217954443,1.028786309179703,1.1196771665005107,1.03609817840782
2024-04-03,0.8761780104712041,1.0110167108329455,1.0098007628203989,1.1000338428538892,1.0157965830536966,1.0987108340938752,1.0230161307006507
2024-04-08,0.868586387434555,0.992916667416499,0.9917224882942025,1.079259802200096,0.9976109664772878,1.077961778342087,1.0047012639106134
2024-04-09,0.8670157068062828,0.9942464784466405,0.9930506999629667,1.0807052523939058,0.9989470645714646,1.0794054900955015,1.0060468580239863
2024-04-10,0.8602094240837697,0.9970612570781154,0.9958620932651527,1.0837648016277273,1.0017751508783161,1.082461359614863,1.0088950443234768
2024-04-11,0.8594240837696336,0.9911395866574585,0.9959990113764178,1.077328188106553,0.995825484057955,1.0826101840011693,1.009033754296341
2024-04-12,0.8520942408376965,1.0142686480663685,0.9774015194627502,1.1024685317631906,1.0190638947554929,1.0623954710218944,0.9901928750667413
2024-04-15,0.8712041884816756,1.0014428671969247,0.9629368035298977,1.0885274325969991,1.0061774763189046,1.0466729164824584,0.9755388578881637
2024-04-16,0.8628272251308903,1.0066192379337742,0.9402065356354151,1.0941539358483774,1.0113783198368904,1.0219660450633445,0.9525111166075418
2024-04-17,0.8748691099476442,1.0081801070415455,0.9406008843311541,1.095850536721134,1.0129465684022003,1.0223946859647692,0.9529106261857827
2024-04-18,0.8764397905759165,1.0052262740965419,0.9383962164462541,1.092639841136527,1.0099787703625673,1.0199983021558792,0.9506771055823807
2024-04-19,0.8691099476439793,1.0100262526321726,0.9427827922144055,1.0978572214615132,1.0148014421769707,1.024766330582866,0.9551210889250212
2024-04-22,0.867277486910995,0.9902724948124609,0.9243441596487061,1.0763856947394548,0.9949542927869257,1.0047242912166867,0.9364411480522415
2024-04-23,0.860732984293194,0.9659033730161812,0.9060561655413585,1.0498974561664483,0.9704699589599545,0.9848459896928659,0.917913817059026
2024-04-24,0.8643979057591625,0.9760571737646312,0.9371352065050559,1.0609342222385345,0.9806717647211926,1.0186276359314406,0.9493995926725899
2024-04-25,0.867015706806283,0.9761072449253402,0.930568693546562,1.0609886475420631,0.9807220726077118,1.011490104948938,0.9427471430742835
2024-04-26,0.8801047120418851,0.98357703113773,0.9634012583390313,1.0691079996031352,0.9882271743823757,1.047177759861451,0.9760093910658156
2024-04-29,0.8913612565445029,0.978311211836536,0.9558966721007526,1.0633842694212103,0.9829364594062363,1.0390205815957336,0.968406591524894
2024-04-30,0.8866492146596862,0.9771285160005417,0.9474540125826891,1.062098727425688,0.9817481720355903,1.029843756046802,0.9598534420413571
2024-05-06,0.8997382198952885,0.9723963007130628,1.0168714352867674,1.0569550029795856,0.9769935838395799,1.1052976550046865,1.0301793377948825
2024-05-07,0.9002617801047126,0.9744691668280203,0.9971718964112856,1.059208123655903,0.9790762500251535,1.0838850620571785,1.010221988999963
2024-05-08,0.8926701570680634,0.9734332846461228,0.9868530903336524,1.0580821620969674,0.9780354704123706,1.0726689419418174,0.9997681396311959
2024-05-09,0.9018324607329848,0.9785662085248804,1.0028003360899946,1.0636614403907945,0.9831926616647496,1.0900029457564664,1.0159240886556542
2024-05-10,0.9023560209424089,0.9668088988254221,1.0093668490484886,1.0508817256805367,0.9713797659028444,1.0971404767389692,1.0225765382539607
