total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,pool,change_kind,start_date,risk_codes,defensive_codes,annualized_diff,sharpe_diff,max_drawdown_integral_diff,mdd_diff,trade_diff,is_valid_change
2.855302716008912,0.2480990090926689,0.25981484590661924,0.9549069770317854,-0.20966745851374358,449,784,0.9115359565807327,0.12676767676767664,0.8,116.62988455433394,9.298551621147222,116.62988455433394,9.298551621147222,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_france_513080,add,2020-06-12,"510300,159949,159954,159941,513880,513080","518880,512890,159985",-0.07088520077876237,-0.3052968275749207,6.270011449598869,-1.1102230246251565e-16,-46,False
2.4178647009562964,0.22365547293251886,0.25814348214175814,0.8663998450663947,-0.24547984439894266,451,793,0.9119063772048848,0.12676767676767664,0.8,139.8565439401126,40.73244845945213,139.8565439401126,40.73244845945213,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_france_germany,add_pair,2020-06-12,"510300,159949,159954,159941,513880,513080,513030","518880,512890,159985",-0.09532873693891242,-0.39380395954031144,29.49667083537753,-0.035812385885199194,-44,False
1.718522454351611,0.19329813034886545,0.2565741362844138,0.7533811986980381,-0.27826383614264827,412,735,0.9115043731778426,0.15555555555555567,1.0,121.68229903343716,27.61757862380683,121.68229903343716,27.61757862380683,588000,科创50,科创50ETF华夏,科创50 / 科创50ETF华夏 (588000) 100%,plus_kc50_588000,add,2020-11-16,"510300,159949,159954,159941,513880,588000","518880,512890,159985",-0.12568607952256583,-0.506822605908668,11.322425928702089,-0.0685963776289048,-83,False
5.198016370799244,0.3178673818961897,0.2891674200716225,1.0992503298520235,-0.2738270900437386,508,901,0.9163439649781113,0.18500405581745372,1.0,149.28504396462586,24.895177996829343,149.28504396462586,24.895177996829343,512480,半导体,半导体ETF,半导体 / 半导体ETF (512480) 100%,plus_semiconductor_512480,add,2019-12-05,"510300,159949,159954,159941,513880,512480","518880,512890,159985",-0.0011168279752415966,-0.16095347475468258,38.925170859890784,-0.06415963152999515,13,False
3.611641338703592,0.3156836094466533,0.2689087903634922,1.173943064560791,-0.2647895529223394,435,755,0.9088798219584571,0.12676767676767664,0.8,110.52230928457934,18.206569822657222,110.52230928457934,18.206569822657222,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_solar_515790,add,2020-12-18,"510300,159949,159954,159941,513880,515790","518880,512890,159985",-0.0033006004247779774,-0.08626074004591522,0.1624361798442635,-0.055122094408595945,-60,False
4.447788398983628,0.2923903888659658,0.2497563978069017,1.170702298052947,-0.20114114161275443,492,888,0.91467625,0.12676767676767664,0.8,118.31727936745659,10.259476462366518,118.31727936745659,10.259476462366518,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_csi500_510500,add,2019-12-05,"510300,159949,159954,159941,513880,510500","518880,512890,159985",-0.02659382100546548,-0.08950150655375921,7.95740626272152,0.00852631690098904,-3,False
4.300222839775807,0.340630693240801,0.2476311928447089,1.3755564851412425,-0.21473947637139312,424,742,0.9091486584481507,0.12676767676767664,0.8,103.77895162462077,38.29644425978513,103.77895162462077,38.29644425978513,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_global_dividend_513300,add,2020-11-05,"510300,159949,159954,159941,513880","518880,512890,159985,513300",0.021646483369369696,0.1153526805345364,-6.580921480114299,-0.005072017857649658,-71,False
4.628537800509236,0.29878875666428995,0.25306691569026074,1.1806709535670403,-0.20966745851374402,502,899,0.91191,0.12676767676767664,0.8,114.82870226355593,9.298551621147265,114.82870226355593,9.298551621147265,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_hk_div_lowvol_513660,add,2019-12-05,"510300,159949,159954,159941,513880","518880,512890,159985,513660",-0.020195453207141334,-0.07953285103966579,4.468829158820853,-5.551115123125783e-16,7,False
3.1793584818226686,0.3262554570936944,0.2437901192025609,1.3382636595809467,-0.2096674585137437,377,658,0.9087905460472697,0.12676767676767664,0.8,89.25327872626994,9.298551621147242,89.25327872626994,9.298551621147242,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_reits_508000,add,2021-06-21,"510300,159949,159954,159941,513880","518880,512890,159985,508000",0.007271247222263133,0.07805985497424062,-21.106594378465132,-2.220446049250313e-16,-118,False
5.277290387432173,0.32040401566595,0.2529900514490817,1.2664688347653719,-0.1969997671638235,509,908,0.9114725,0.12676767676767664,0.8,112.43700782612511,7.809016238992937,112.43700782612511,7.809016238992937,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_dividend_510880,add,2019-12-05,"510300,159949,159954,159941,513880","518880,512890,159985,510880",0.0014198057945187248,0.006265030158665752,2.0771347213900384,0.012667691349919963,14,False
4.838218159926977,0.3059963345367447,0.2515500729468432,1.216443036378713,-0.20966745851374324,513,921,0.9116787500000001,0.12676767676767664,0.8,122.57451839687101,9.329478507048016,122.57451839687101,9.329478507048016,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_treasury10_511260,add,2019-12-05,"510300,159949,159954,159941,513880","518880,512890,159985,511260",-0.012987875334686594,-0.04376076822799302,12.214645292135941,2.220446049250313e-16,18,False
