date,nav,strategy_return,current_momentum,signal,holding,exposure,trade_cost_rate,turnover,drawdown,weight_510300,weight_159949,weight_159954,weight_159941,weight_513880,weight_518880,weight_512890,weight_159985,weight_511580,weight_511260,weight_CASH,effective_momentum,signal_risk_winner,signal_defensive_winner,top2_close_risk_cap_triggered,stress_bond_trigger,weak_market_trigger,target_weight_510300,target_weight_159949,target_weight_159954,target_weight_159941,target_weight_513880,target_weight_518880,target_weight_512890,target_weight_159985,target_weight_511580,target_weight_511260,target_weight_CASH
2025-03-19,1.3404826440906388,-0.0009442870632671019,0.1376344086021506,159954,159954,1.0,0.0,0.0,-0.10895621470953254,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1376344086021506,159954,518880,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,1.315142707529379,-0.01890359168241973,0.10074231177094384,159954,159954,1.0,0.0,0.0,-0.12580014259782124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10074231177094384,159954,518880,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21,1.289802770968119,-0.019267822736030893,0.07157894736842119,159954,159954,1.0,0.0,0.0,-0.14264407048610994,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07157894736842119,159954,518880,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,1.2936037614523077,0.0029469548133593815,0.060228452751817096,159954,159954,1.0,0.0,0.0,-0.14011748130286683,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060228452751817096,159954,518880,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,1.2695308217191112,-0.01860920666013699,0.029804727646454365,159954,159954,1.0,0.0,0.0,-0.1561192127967409,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029804727646454365,159954,518880,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,1.2695308217191112,0.0,0.019328585961342792,159954,159954,1.0,0.0,0.0,-0.1561192127967409,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019328585961342792,159954,518880,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,1.280933793171678,0.008982035928143617,0.04226804123711325,159954,159954,1.0,0.0,0.0,-0.14853944524701113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04226804123711325,159954,518880,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,1.2669968280629853,-0.010880316518298572,0.0563337393422656,518880,159954,1.0,0.0,0.0,-0.15780360558556972,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159954,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-03-31,1.2778799619296823,0.008589708849812583,0.06549156663121103,518880,518880,1.0,0.001,2.0,-0.15056938376318785,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.01492537313432829,159954,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-01,1.2850967398093764,0.00564746149458073,0.007099391480730244,518880,518880,1.0,0.0,0.0,-0.14577225706567254,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,0.007099391480730244,159954,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-02,1.2806710239962575,-0.00344387755102038,0.078232857800276,518880,518880,1.0,0.0,0.0,-0.14871411281302283,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.018500246669955756,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
