date,baseline_cf60top2_nav,baseline_cf60top2__trf3_vr899_vb069_rc180_nav,baseline_cf60top2__trf3_vr899_vb069_rc181_nav,baseline_cf60top2__trf3_vr899_vb069_rc182_nav,baseline_cf60top2__trf3_vr899_vb069_rc183_nav,baseline_cf60top2__trf3_vr899_vb069_rc184_nav,baseline_cf60top2__trf3_vr899_vb070_rc180_nav,baseline_cf60top2__trf3_vr899_vb070_rc181_nav,baseline_cf60top2__trf3_vr899_vb070_rc182_nav,baseline_cf60top2__trf3_vr899_vb070_rc183_nav,baseline_cf60top2__trf3_vr899_vb070_rc184_nav,baseline_cf60top2__trf3_vr899_vb071_rc180_nav,baseline_cf60top2__trf3_vr899_vb071_rc181_nav,baseline_cf60top2__trf3_vr899_vb071_rc182_nav,baseline_cf60top2__trf3_vr899_vb071_rc183_nav,baseline_cf60top2__trf3_vr899_vb071_rc184_nav,baseline_cf60top2__trf3_vr900_vb069_rc180_nav,baseline_cf60top2__trf3_vr900_vb069_rc181_nav,baseline_cf60top2__trf3_vr900_vb069_rc182_nav,baseline_cf60top2__trf3_vr900_vb069_rc183_nav,baseline_cf60top2__trf3_vr900_vb069_rc184_nav,baseline_cf60top2__trf3_vr900_vb070_rc180_nav,baseline_cf60top2__trf3_vr900_vb070_rc181_nav,baseline_cf60top2__trf3_vr900_vb070_rc182_nav,baseline_cf60top2__trf3_vr900_vb070_rc183_nav,baseline_cf60top2__trf3_vr900_vb070_rc184_nav,baseline_cf60top2__trf3_vr900_vb071_rc180_nav,baseline_cf60top2__trf3_vr900_vb071_rc181_nav,baseline_cf60top2__trf3_vr900_vb071_rc182_nav,baseline_cf60top2__trf3_vr900_vb071_rc183_nav,baseline_cf60top2__trf3_vr900_vb071_rc184_nav,baseline_cf60top2__trf3_vr901_vb069_rc180_nav,baseline_cf60top2__trf3_vr901_vb069_rc181_nav,baseline_cf60top2__trf3_vr901_vb069_rc182_nav,baseline_cf60top2__trf3_vr901_vb069_rc183_nav,baseline_cf60top2__trf3_vr901_vb069_rc184_nav,baseline_cf60top2__trf3_vr901_vb070_rc180_nav,baseline_cf60top2__trf3_vr901_vb070_rc181_nav,baseline_cf60top2__trf3_vr901_vb070_rc182_nav,baseline_cf60top2__trf3_vr901_vb070_rc183_nav,baseline_cf60top2__trf3_vr901_vb070_rc184_nav,baseline_cf60top2__trf3_vr901_vb071_rc180_nav,baseline_cf60top2__trf3_vr901_vb071_rc181_nav,baseline_cf60top2__trf3_vr901_vb071_rc182_nav,baseline_cf60top2__trf3_vr901_vb071_rc183_nav,baseline_cf60top2__trf3_vr901_vb071_rc184_nav,hs300_benchmark
2024-04-08,7.8815086008823565,4.606022766492899,4.605799986544845,4.605577112376189,4.6053541440000405,4.60513108142935,4.548224547403694,4.548148390807323,4.548072129477843,4.54799576341896,4.547919292634426,4.548224547403694,4.548148390807323,4.548072129477843,4.54799576341896,4.547919292634426,4.711695699857202,4.711339060556392,4.7109823370509885,4.710625529362349,4.710268637511685,4.652571454461984,4.652366413959668,4.652161270305914,4.651956023513343,4.65175067359458,4.652571454461984,4.652366413959668,4.652161270305914,4.651956023513343,4.65175067359458,4.622052736285285,4.6218144834801,4.621576125583533,4.621337662611873,4.621099094581183,4.564053366712671,4.56396243151216,4.563871379884887,4.563780211836642,4.563688927373189,4.564053366712671,4.56396243151216,4.563871379884887,4.563780211836642,4.563688927373189,1.612631343488529
2024-04-09,7.955053004623095,4.64435375844236,4.6441291245355165,4.643904395623973,4.643679571720949,4.643454652839503,4.58607454670876,4.585997756342642,4.585920860371834,4.5858438588000725,4.58576675163114,4.58607454670876,4.585997756342642,4.585920860371834,4.5858438588000725,4.58576675163114,4.7509060943983155,4.750546487170758,4.7501867950378625,4.749827018021164,4.749467156142051,4.691289821262647,4.691083074427939,4.690876223583374,4.690669268741678,4.690462209915583,4.691289821262647,4.691083074427939,4.690876223583374,4.690669268741678,4.690462209915583,4.66051712849658,4.660276892968595,4.660036551474665,4.659796104031215,4.6595555506544395,4.602035092319638,4.601943400362894,4.601851591010492,4.601759664268272,4.601667620142044,4.602035092319638,4.601943400362894,4.601851591010492,4.601759664268272,4.601667620142044,1.6098895503287303
2024-04-10,8.077627010857658,4.715915449635617,4.715687354497542,4.715459162890905,4.71523087482913,4.715002490325473,4.656738253129542,4.6566602795528516,4.656582198744281,4.656504010707623,4.656425715446719,4.656738253129542,4.6566602795528516,4.656582198744281,4.656504010707623,4.656425715446719,4.824109578133266,4.823744429962295,4.823379195577736,4.823013875001458,4.82264846825518,4.763574718354521,4.7633647858983235,4.763154747829651,4.762944604161427,4.762734354906578,4.763574718354521,4.7633647858983235,4.763154747829651,4.762944604161427,4.762734354906578,4.7323278700758795,4.732083932921886,4.73183988816919,4.7315957358344685,4.731351475934169,4.672944723942436,4.672851619166637,4.6727583951863085,4.672665052007382,4.6725715896357585,4.672944723942436,4.672851619166637,4.6727583951863085,4.672665052007382,4.6725715896357585,1.5980084466362672
2024-04-11,8.114399212728026,4.737383956993593,4.737154823486151,4.7369255930709855,4.7366962657615845,4.736466841571264,4.677937365055777,4.6778590365159145,4.677780600256015,4.677702056279888,4.677623404591393,4.677937365055777,4.6778590365159145,4.677780600256015,4.677702056279888,4.677623404591393,4.846070623253751,4.845703812799756,4.845336915739699,4.844969932095547,4.844602861889118,4.785260187482083,4.7850492993394385,4.784838305103534,4.784627204787351,4.784415998403876,4.785260187482083,4.7850492993394385,4.784838305103534,4.784627204787351,4.784415998403876,4.753871092549669,4.753626044907873,4.7533808891775475,4.753135625375445,4.752890253518087,4.6942176134292755,4.6941240848077594,4.6940304364390535,4.693936668329115,4.693842780483872,4.6942176134292755,4.6941240848077594,4.6940304364390535,4.693936668329115,4.693842780483872,1.5966375500563679
2024-04-12,7.967310405246551,4.651509927561685,4.651284947531719,4.6510598723506655,4.6508347020317675,4.650609436588099,4.593140917350838,4.593064008663663,4.592986994209078,4.592909873990827,4.592832648012697,4.593140917350838,4.593064008663663,4.592986994209078,4.592909873990827,4.592832648012697,4.75822644277181,4.757866281449911,4.75750603509185,4.7571457037191935,4.756785287353364,4.698518310971834,4.698311245574978,4.698104076008002,4.697896802283653,4.6976894244146825,4.698518310971834,4.698311245574978,4.698104076008002,4.697896802283653,4.6976894244146825,4.66769820265451,4.667457596963923,4.667216885144118,4.66697606721154,4.666735143182412,4.609126055481918,4.6090342222432685,4.608942271428074,4.6088502030421825,4.608758017091415,4.609126055481918,4.6090342222432685,4.608942271428074,4.6088502030421825,4.608758017091415,1.5838425153106384
2024-04-15,7.930538203376183,4.630041420203709,4.629817478543112,4.629593442170585,4.629369311099313,4.629145085342308,4.571941805424603,4.5718652517006,4.571788592697344,4.571711828418562,4.571634958868024,4.571941805424603,4.5718652517006,4.571788592697344,4.571711828418562,4.571634958868024,4.736265397651325,4.73590689861245,4.735548314929887,4.7351896466251056,4.734830893719425,4.676832841844272,4.676626732133863,4.67642051873412,4.676214201657729,4.676007780917384,4.676832841844272,4.676626732133863,4.67642051873412,4.676214201657729,4.676007780917384,4.64615498018072,4.6459154849779365,4.645675884135761,4.645436177670565,4.645196365598493,4.587853165995078,4.587761756602146,4.587670230175329,4.58757858672045,4.5874868262433015,4.587853165995078,4.587761756602146,4.587670230175329,4.58757858672045,4.5874868262433015,1.6172009987548612
2024-04-16,7.751951553512613,4.529855052533149,4.529635956596275,4.529416767996879,4.52919748674786,4.528978112861949,4.473012616435509,4.472937719206305,4.472862718975918,4.472787615747991,4.472712409526212,4.473012616435509,4.472937719206305,4.472862718975918,4.472787615747991,4.472712409526212,4.633780520422394,4.633429778704298,4.633078954174063,4.632728046852693,4.632377056761045,4.575633985915648,4.575432336075325,4.575230584789332,4.575028732070081,4.574826777929991,4.575633985915648,4.575432336075325,4.575230584789332,4.575028732070081,4.574826777929991,4.5456199419697,4.545385629043329,4.545151212763426,4.544916693146009,4.544682070206872,4.48857968172316,4.488490250276906,4.488400704329186,4.4883110438856955,4.488221268952102,4.48857968172316,4.488490250276906,4.488400704329186,4.4883110438856955,4.488221268952102,1.602578101902599
2024-04-17,7.762188906994875,4.531754999368389,4.531535811536603,4.53131653100343,4.531097157781773,4.5308776918843705,4.474888721976642,4.474813793333463,4.4747387616459,4.474663626917596,4.474588389152241,4.474888721976642,4.474813793333463,4.4747387616459,4.474663626917596,4.474588389152241,4.635724056481026,4.635373167652126,4.635022195976354,4.634671141474722,4.634320004168095,4.577553133705133,4.577351399287275,4.577149563381198,4.576947625999318,4.576745587154061,4.577553133705133,4.577351399287275,4.577149563381198,4.576947625999318,4.576745587154061,4.547526501036777,4.547292089833066,4.547057575232475,4.546822957251026,4.5465882359045215,4.490462316523195,4.4903728475669125,4.490283264061138,4.4901935660115715,4.490103753423881,4.490462316523195,4.4903728475669125,4.490283264061138,4.4901935660115715,4.490103753423881,1.6235985161277255
2024-04-18,7.743995166286299,4.521133050276297,4.520914376197348,4.520695609634296,4.520476750600011,4.520257799107202,4.46440006135747,4.464325308339017,4.464250452517706,4.46417549389717,4.464100432481091,4.46440006135747,4.464325308339017,4.464250452517706,4.46417549389717,4.464100432481091,4.624858415037525,4.624508348654516,4.624158199618819,4.623807967951397,4.623457653673066,4.566823838683813,4.566622577109858,4.56642121428556,4.566219750223308,4.566018184935499,4.566823838683813,4.566622577109858,4.56642121428556,4.566219750223308,4.566018184935499,4.536867585231381,4.5366337234624625,4.536399758539017,4.536165690477026,4.535931519292257,4.479937153063847,4.479847893813231,4.479758520281614,4.479669032474683,4.479579430398093,4.479937153063847,4.479847893813231,4.479758520281614,4.479669032474683,4.479579430398093,1.6263403092875253
2024-04-19,7.77280001230664,4.538403861561099,4.538184352143152,4.537964749887811,4.5377450548079965,4.537525266916463,4.481454151582674,4.481379113006318,4.481303971234394,4.481228726270551,4.481153378118484,4.481454151582674,4.481379113006318,4.481303971234394,4.481228726270551,4.481153378118484,4.64252545912068,4.64217405547766,4.641822568866215,4.641470999307391,4.641119346822083,4.584269189619465,4.5840671592226006,4.583865027188616,4.583662793529945,4.583460458259035,4.584269189619465,4.5840671592226006,4.583865027188616,4.583662793529945,4.583460458259035,4.554198502728683,4.553963747603513,4.553728888929762,4.553493926723476,4.55325886100048,4.4970505952647155,4.496960995042122,4.496871280101973,4.496781450449976,4.496691506091809,4.4970505952647155,4.496960995042122,4.496871280101973,4.496781450449976,4.496691506091809,1.6135452745417957
2024-04-22,7.62002009433124,4.449198302610563,4.4489831078065025,4.448767821989833,4.448552445173221,4.44833697736917,4.3933679797262934,4.393294416086579,4.393220751279678,4.393146985309169,4.393073118178673,4.3933679797262934,4.393294416086579,4.393220751279678,4.393146985309169,4.393073118178673,4.5512733160422325,4.550928819487992,4.550584241596131,4.550239582387281,4.549894841881925,4.494162114992779,4.493964055647198,4.4937658966622465,4.493567638050114,4.493369279823003,4.494162114992779,4.493964055647198,4.4937658966622465,4.493567638050114,4.493369279823003,4.46468248886123,4.464452348015175,4.464222105655862,4.463991761799019,4.463761316460159,4.4086578642041,4.408570025137672,4.408482073608543,4.408394009622309,4.408305833184535,4.4086578642041,4.408570025137672,4.408482073608543,4.408394009622309,4.408305833184535,1.6103465158553634
2024-04-23,7.463283270271023,4.361171660703196,4.360960723492227,4.360749697069318,4.360538581446886,4.360327376637186,4.306445931389687,4.3063738231942414,4.306301615833186,4.306229309310027,4.306156903628314,4.306445931389687,4.3063738231942414,4.306301615833186,4.306229309310027,4.306156903628314,4.4612271371208,4.460889456373083,4.460551695896998,4.460213855712766,4.459875935840467,4.405245871601694,4.405051730827033,4.404857492384351,4.4046631562855945,4.404468722542726,4.405245871601694,4.405051730827033,4.404857492384351,4.4046631562855945,4.404468722542726,4.376349494926911,4.376123907378881,4.375898220326016,4.375672433783731,4.375446547767236,4.321433308068518,4.321347206883281,4.321260995460398,4.3211746738053565,4.321088241923609,4.321433308068518,4.321347206883281,4.321260995460398,4.3211746738053565,4.321088241923609,1.5989223776895336
2024-04-24,7.689786556166957,4.489484742967548,4.489267599625335,4.489050364446415,4.488833037443571,4.488615618629417,4.433148889688809,4.433074659947702,4.433000328123365,4.432925894219406,4.43285135823948,4.433148889688809,4.433074659947702,4.433000328123365,4.432925894219406,4.43285135823948,4.592484021550119,4.5921364056609,4.591788707697571,4.591440927680943,4.591093065631691,4.534855692056774,4.534655839330572,4.534455886062789,4.534255832265724,4.534055677951692,4.534855692056774,4.534655839330572,4.534455886062789,4.534255832265724,4.534055677951692,4.505109134869533,4.504876910152444,4.504644583002919,4.504412153436825,4.504179621469822,4.448577220461249,4.448488586032808,4.448399838123345,4.4483109767385045,4.4482220018839005,4.448577220461249,4.448488586032808,4.448399838123345,4.4483109767385045,4.4482220018839005,1.605319895062398
2024-04-25,7.701111720461753,4.496096649805497,4.495879186664547,4.495661631551638,4.495443984479571,4.4952262454609775,4.439677827670677,4.439603488607419,4.439529047310586,4.439454503783794,4.439379858030701,4.439677827670677,4.439603488607419,4.439529047310586,4.439454503783794,4.439379858030701,4.599247620992755,4.598899493150828,4.598551283113915,4.598202990902859,4.597854616538365,4.54153441914375,4.5413342720836365,4.541134024333868,4.540933675906763,4.5407332268146545,4.54153441914375,4.5413342720836365,4.541134024333868,4.540933675906763,4.5407332268146545,4.5117440525939365,4.511511485866954,4.511278816556678,4.511046044679,4.510813170249601,4.455128880579748,4.455040115614595,4.454951237001288,4.454862244745483,4.454773138852802,4.455128880579748,4.455040115614595,4.454951237001288,4.454862244745483,4.454773138852802,1.6098895503287298
