total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,ratio_cut,breadth_cut,risk_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
19.68014530564162,0.2390397178581809,0.21097626289768168,1.1330171203862367,-0.21843576517137464,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.86288659131293,39.31437574215709,214.86288659131293,39.31437574215709,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb070_rc182,0.9,-0.03,0.182,-0.023341663450352934,-0.11105949561854978,24.992804600430645,False
19.68014530564162,0.2390397178581809,0.21097626289768168,1.1330171203862367,-0.21843576517137464,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.86288659131293,39.31437574215709,214.86288659131293,39.31437574215709,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb071_rc182,0.9,-0.029,0.182,-0.023341663450352934,-0.11105949561854978,24.992804600430645,False
19.678521595846192,0.23903283406013398,0.21097759982855388,1.1329773125411349,-0.21846154912500393,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.8681769288802,39.31907102338096,214.8681769288802,39.31907102338096,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb070_rc183,0.9,-0.03,0.183,-0.023348547248399854,-0.1110993034636516,24.998094937997905,False
19.678521595846192,0.23903283406013398,0.21097759982855388,1.1329773125411349,-0.21846154912500393,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.8681769288802,39.31907102338096,214.8681769288802,39.31907102338096,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb071_rc183,0.9,-0.029,0.183,-0.023348547248399854,-0.1110993034636516,24.998094937997905,False
19.676897490668477,0.2390259480833623,0.21097894548830967,1.1329374480005008,-0.218487333225732,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.87346753236665,39.32376641879469,214.87346753236665,39.32376641879469,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb070_rc184,0.9,-0.03,0.184,-0.02335543322517153,-0.1111391680042857,25.003385541484363,False
19.676897490668477,0.2390259480833623,0.21097894548830967,1.1329374480005008,-0.218487333225732,901,1630,0.8235016011644832,0.026011560693641522,0.8,214.87346753236665,39.32376641879469,214.87346753236665,39.32376641879469,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr900_vb071_rc184,0.9,-0.029,0.184,-0.02335543322517153,-0.1111391680042857,25.003385541484363,False
19.3488252176855,0.2376245566836186,0.2106354524152428,1.1281318218699954,-0.218384197705622,901,1631,0.8235016011644832,0.026011560693641522,0.8,215.1629146778904,39.30498552231711,215.1629146778904,39.30498552231711,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr901_vb069_rc180,0.901,-0.031,0.18,-0.02475682462491524,-0.11594479413479108,25.292832687008115,False
19.34731894710228,0.23761807422530978,0.2106368919227435,1.1280933366243475,-0.21840998136489465,901,1631,0.8235016011644832,0.026011560693641522,0.8,215.16925380151957,39.309680575132276,215.16925380151957,39.309680575132276,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr901_vb069_rc181,0.901,-0.031,0.181,-0.02476330708322405,-0.11598327938043895,25.29917181063729,False
19.34581224457389,0.23761158946192573,0.21063834074462973,1.1280547910790724,-0.21843576517137409,901,1631,0.8235016011644832,0.026011560693641522,0.8,215.17559361058358,39.314375742156955,215.17559361058358,39.314375742156955,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr901_vb069_rc182,0.901,-0.031,0.182,-0.024769791846608102,-0.11602182492571411,25.305511619701292,False
19.344305110206964,0.23760510239347843,0.2106397988807233,1.1280161852415387,-0.21846154912500482,901,1631,0.8235016011644832,0.026011560693641522,0.8,215.18193410505688,39.319071023381085,215.18193410505688,39.319071023381085,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr901_vb069_rc183,0.901,-0.031,0.183,-0.024776278915055405,-0.11606043076324779,25.3118521141746,False
19.342797544107288,0.2375986130199752,0.21064126633084493,1.1279775191191148,-0.21848733322573244,901,1631,0.8235016011644832,0.026011560693641522,0.8,215.18827528491607,39.32376641879469,215.18827528491607,39.32376641879469,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr901_vb069_rc184,0.901,-0.031,0.184,-0.024782768288558632,-0.11609909688567166,25.31819329403379,False
19.136115335946037,0.23670468373305553,0.2111953881689851,1.1207852869574004,-0.21838419770562112,897,1619,0.8235016011644832,0.026011560693641522,0.8,216.58623623063016,39.30498552231695,216.58623623063016,39.30498552231695,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr899_vb069_rc180,0.899,-0.031,0.18,-0.025676697575478302,-0.12329132904738604,26.71615423974788,False
19.134937693916488,0.23669956588204966,0.21119660153818368,1.1207546151695775,-0.21840998136489642,897,1619,0.8235016011644832,0.026011560693641522,0.8,216.59047127391602,39.30968057513262,216.59047127391602,39.30968057513262,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr899_vb069_rc181,0.899,-0.031,0.181,-0.025681815426484178,-0.12332200083520894,26.72038928303374,False
19.13375964690575,0.23669444599275646,0.21119782305626253,1.1207238908409662,-0.21843576517137497,897,1619,0.8235016011644832,0.026011560693641522,0.8,216.59470658563427,39.31437574215718,216.59470658563427,39.31437574215718,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr899_vb069_rc182,0.899,-0.031,0.182,-0.02568693531577737,-0.12335272516382023,26.724624594751987,False
19.132581194985953,0.23668932406517085,0.21119905272309195,1.1206931139766985,-0.2184615491250047,897,1619,0.8235016011644832,0.026011560693641522,0.8,216.59894216577223,39.319071023381156,216.59894216577223,39.319071023381156,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf3_vr899_vb069_rc183,0.899,-0.031,0.183,-0.025692057243362987,-0.12338350202808801,26.728860174889945,False
