strategy,year,start_date,end_date,strategy_return,hs300_return,excess_return
confirm60_top3,2018,2017-12-29,2018-12-28,-0.08525703121932471,-0.2416418271617753,0.15638479594245058
confirm60_top3,2019,2018-12-28,2019-12-31,0.4279081970299734,0.3859357093623652,0.041972487667608194
confirm60_top3,2020,2019-12-31,2020-12-31,0.6369287676742506,0.2907714843749991,0.34615728329925144
confirm60_top3,2021,2020-12-31,2021-12-31,-0.044319386199386024,-0.0404000983832733,-0.0039192878161127265
confirm60_top3,2022,2021-12-31,2022-12-30,0.3788109759369216,-0.20132014717873803,0.5801311231156596
confirm60_top3,2023,2022-12-30,2023-12-29,0.16520613521828942,-0.09775224647250746,0.2629583816907969
confirm60_top3,2024,2023-12-29,2024-12-31,0.14108905568319519,0.17374101990322166,-0.032651964220026475
confirm60_top3,2025,2024-12-31,2025-12-31,1.0952603555548883,0.20838818873246168,0.8868721668224266
confirm60_top3,2026,2025-12-31,2026-07-16,0.20221553802598602,0.025960320810468174,0.17625521721551785
slope_r2_020,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
slope_r2_020,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
slope_r2_020,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
slope_r2_020,2015,2014-12-31,2015-12-31,0.06823886230846687,0.0680185133646376,0.00022034894382927384
slope_r2_020,2016,2015-12-31,2016-12-30,0.1499275242877922,-0.09686562903164342,0.24679315331943563
slope_r2_020,2017,2016-12-30,2017-12-29,0.08158957312672066,0.23368087754307587,-0.1520913044163552
slope_r2_020,2018,2017-12-29,2018-12-28,-0.021976329039665843,-0.2416418271617753,0.21966549812210945
slope_r2_020,2019,2018-12-28,2019-12-31,0.3745802851557354,0.3859357093623652,-0.011355424206629827
slope_r2_020,2020,2019-12-31,2020-12-31,0.4482266788793645,0.2907714843749991,0.1574551945043654
slope_r2_020,2021,2020-12-31,2021-12-31,0.005704040652544373,-0.0404000983832733,0.04610413903581767
slope_r2_020,2022,2021-12-31,2022-12-30,0.023423523111712363,-0.20132014717873803,0.2247436702904504
slope_r2_020,2023,2022-12-30,2023-12-29,0.20352924919336712,-0.09775224647250746,0.3012814956658746
slope_r2_020,2024,2023-12-29,2024-12-31,0.4580935616298638,0.17374101990322166,0.28435254172664215
slope_r2_020,2025,2024-12-31,2025-12-31,1.122430000213698,0.20838818873246168,0.9140418114812363
slope_r2_020,2026,2025-12-31,2026-07-16,0.12472158131532285,0.025960320810468174,0.09876126050485468
tie_r2_gap005,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
tie_r2_gap005,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
tie_r2_gap005,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
tie_r2_gap005,2015,2014-12-31,2015-12-31,0.08877576109186225,0.0680185133646376,0.020757247727224648
tie_r2_gap005,2016,2015-12-31,2016-12-30,0.21383844810245511,-0.09686562903164342,0.31070407713409853
tie_r2_gap005,2017,2016-12-30,2017-12-29,0.0739136098603912,0.23368087754307587,-0.15976726768268468
tie_r2_gap005,2018,2017-12-29,2018-12-28,-0.024598382226732718,-0.2416418271617753,0.21704344493504257
tie_r2_gap005,2019,2018-12-28,2019-12-31,0.39319005737250645,0.3859357093623652,0.007254348010141243
tie_r2_gap005,2020,2019-12-31,2020-12-31,0.4229739982952907,0.2907714843749991,0.1322025139202916
tie_r2_gap005,2021,2020-12-31,2021-12-31,0.0073724772474930145,-0.0404000983832733,0.04777257563076631
tie_r2_gap005,2022,2021-12-31,2022-12-30,0.055367972754940986,-0.20132014717873803,0.256688119933679
tie_r2_gap005,2023,2022-12-30,2023-12-29,0.16465785677922473,-0.09775224647250746,0.2624101032517322
tie_r2_gap005,2024,2023-12-29,2024-12-31,0.45677798593549723,0.17374101990322166,0.28303696603227557
tie_r2_gap005,2025,2024-12-31,2025-12-31,1.112082982518102,0.20838818873246168,0.9036947937856403
tie_r2_gap005,2026,2025-12-31,2026-07-16,0.08398663252482041,0.025960320810468174,0.05802631171435224
leader_margin005,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
leader_margin005,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
leader_margin005,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
leader_margin005,2015,2014-12-31,2015-12-31,0.07266516951436452,0.0680185133646376,0.004646656149726924
leader_margin005,2016,2015-12-31,2016-12-30,0.21955694785377777,-0.09686562903164342,0.3164225768854212
leader_margin005,2017,2016-12-30,2017-12-29,0.09525353870833131,0.23368087754307587,-0.13842733883474456
leader_margin005,2018,2017-12-29,2018-12-28,-0.03957114933397432,-0.2416418271617753,0.20207067782780097
leader_margin005,2019,2018-12-28,2019-12-31,0.37449644077754907,0.3859357093623652,-0.011439268584816142
leader_margin005,2020,2019-12-31,2020-12-31,0.42252016802164816,0.2907714843749991,0.13174868364664905
leader_margin005,2021,2020-12-31,2021-12-31,-0.021642384909322354,-0.0404000983832733,0.018757713473950943
leader_margin005,2022,2021-12-31,2022-12-30,0.0239196603140035,-0.20132014717873803,0.22523980749274153
leader_margin005,2023,2022-12-30,2023-12-29,0.19647715391225606,-0.09775224647250746,0.29422940038476353
leader_margin005,2024,2023-12-29,2024-12-31,0.4485648559693538,0.17374101990322166,0.27482383606613214
leader_margin005,2025,2024-12-31,2025-12-31,1.0698226207183628,0.20838818873246168,0.8614344319859011
leader_margin005,2026,2025-12-31,2026-07-16,0.07574809713324493,0.025960320810468174,0.049787776322776756
continuous_transition,2012,2012-05-28,2012-12-31,0.040194024364754055,-0.030721966205837004,0.07091599057059106
continuous_transition,2013,2012-12-31,2013-12-31,-0.06680204852939486,-0.05863708399365919,-0.008164964535735675
continuous_transition,2014,2013-12-31,2014-12-31,0.41579564128687463,0.5372985893150872,-0.1215029480282126
continuous_transition,2015,2014-12-31,2015-12-31,0.09790011585776615,0.0680185133646376,0.029881602493128545
continuous_transition,2016,2015-12-31,2016-12-30,0.2044594937706119,-0.09686562903164342,0.3013251228022553
continuous_transition,2017,2016-12-30,2017-12-29,0.041744068882761054,0.23368087754307587,-0.19193680866031482
continuous_transition,2018,2017-12-29,2018-12-28,0.004360831581034397,-0.2416418271617753,0.2460026587428097
continuous_transition,2019,2018-12-28,2019-12-31,0.4372472875690614,0.3859357093623652,0.051311578206696185
continuous_transition,2020,2019-12-31,2020-12-31,0.5088997079799733,0.2907714843749991,0.2181282236049742
continuous_transition,2021,2020-12-31,2021-12-31,-0.05794461613103852,-0.0404000983832733,-0.01754451774776522
continuous_transition,2022,2021-12-31,2022-12-30,0.0941691887165872,-0.20132014717873803,0.2954893358953252
continuous_transition,2023,2022-12-30,2023-12-29,0.2643349206906165,-0.09775224647250746,0.36208716716312395
continuous_transition,2024,2023-12-29,2024-12-31,0.37465183163033644,0.17374101990322166,0.20091081172711478
continuous_transition,2025,2024-12-31,2025-12-31,1.0415959492986469,0.20838818873246168,0.8332077605661852
continuous_transition,2026,2025-12-31,2026-07-16,0.029174760910042563,0.025960320810468174,0.0032144400995743894
extreme_volcap,2012,2012-05-28,2012-12-31,0.051736503161359915,-0.030721966205837004,0.08245846936719692
extreme_volcap,2013,2012-12-31,2013-12-31,-0.07173814761100283,-0.05863708399365919,-0.013101063617343645
extreme_volcap,2014,2013-12-31,2014-12-31,0.3820709007622194,0.5372985893150872,-0.15522768855286784
extreme_volcap,2015,2014-12-31,2015-12-31,0.08367261488177391,0.0680185133646376,0.01565410151713631
extreme_volcap,2016,2015-12-31,2016-12-30,0.2046484658266554,-0.09686562903164342,0.30151409485829883
extreme_volcap,2017,2016-12-30,2017-12-29,0.09539733246804483,0.23368087754307587,-0.13828354507503104
extreme_volcap,2018,2017-12-29,2018-12-28,-0.017713145926333995,-0.2416418271617753,0.2239286812354413
extreme_volcap,2019,2018-12-28,2019-12-31,0.36055440154141927,0.3859357093623652,-0.025381307820945942
extreme_volcap,2020,2019-12-31,2020-12-31,0.4023882353324493,0.2907714843749991,0.11161675095745016
extreme_volcap,2021,2020-12-31,2021-12-31,-0.014051393434645343,-0.0404000983832733,0.026348704948627955
extreme_volcap,2022,2021-12-31,2022-12-30,0.0901371787132852,-0.20132014717873803,0.2914573258920232
extreme_volcap,2023,2022-12-30,2023-12-29,0.20315336029014475,-0.09775224647250746,0.3009056067626522
extreme_volcap,2024,2023-12-29,2024-12-31,0.4272626076346948,0.17374101990322166,0.25352158773147315
extreme_volcap,2025,2024-12-31,2025-12-31,1.1831413993028912,0.20838818873246168,0.9747532105704295
extreme_volcap,2026,2025-12-31,2026-07-16,0.1098598497908978,0.025960320810468174,0.08389952898042963
combo_confirm_tie_volcap,2012,2012-05-28,2012-12-31,0.051736503161359915,-0.030721966205837004,0.08245846936719692
combo_confirm_tie_volcap,2013,2012-12-31,2013-12-31,-0.07173814761100283,-0.05863708399365919,-0.013101063617343645
combo_confirm_tie_volcap,2014,2013-12-31,2014-12-31,0.3820709007622194,0.5372985893150872,-0.15522768855286784
combo_confirm_tie_volcap,2015,2014-12-31,2015-12-31,0.08393764125830505,0.0680185133646376,0.01591912789366745
combo_confirm_tie_volcap,2016,2015-12-31,2016-12-30,0.2090177329454923,-0.09686562903164342,0.3058833619771357
combo_confirm_tie_volcap,2017,2016-12-30,2017-12-29,0.06954754232816174,0.23368087754307587,-0.16413333521491413
combo_confirm_tie_volcap,2018,2017-12-29,2018-12-28,-0.08688051664364238,-0.2416418271617753,0.1547613105181329
combo_confirm_tie_volcap,2019,2018-12-28,2019-12-31,0.4402569555048408,0.3859357093623652,0.05432124614247558
combo_confirm_tie_volcap,2020,2019-12-31,2020-12-31,0.6132477814870398,0.2907714843749991,0.32247629711204073
combo_confirm_tie_volcap,2021,2020-12-31,2021-12-31,-0.021862288969856536,-0.0404000983832733,0.01853780941341676
combo_confirm_tie_volcap,2022,2021-12-31,2022-12-30,0.3297877493171153,-0.20132014717873803,0.5311078964958533
combo_confirm_tie_volcap,2023,2022-12-30,2023-12-29,0.12227225595289348,-0.09775224647250746,0.22002450242540095
combo_confirm_tie_volcap,2024,2023-12-29,2024-12-31,0.14634496624745896,0.17374101990322166,-0.027396053655762698
combo_confirm_tie_volcap,2025,2024-12-31,2025-12-31,1.1130658472936048,0.20838818873246168,0.9046776585611431
combo_confirm_tie_volcap,2026,2025-12-31,2026-07-16,0.17264041521819173,0.025960320810468174,0.14668009440772356
