date,nav,strategy_return,current_momentum,signal,holding,exposure,trade_cost_rate,turnover,drawdown,holding_for_return,exposure_for_return,weight_510300,weight_159949,weight_159954,weight_159941,weight_518880,weight_513880,weight_512890,weight_159985,weight_511260,return_weight_510300,return_weight_159949,return_weight_159954,return_weight_159941,return_weight_518880,return_weight_513880,return_weight_512890,return_weight_159985,return_weight_511260,effective_momentum,signal_asset_momentum,base_target_exposure,weak_market_trigger,top2_close_risk_cap_triggered,top2_close_gap,top2_close_risk_cap,target_exposure,stress_bond_trigger,target_weight_510300,target_weight_159949,target_weight_159954,target_weight_159941,target_weight_518880,target_weight_513880,target_weight_512890,target_weight_159985,target_weight_511260
2018-10-17,1.7903817757265323,-0.0029336266960029445,0.03541507996953541,518880,518880,1.0,0.0,0.0,-0.06690895260433116,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03541507996953541,0.03541507996953541,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-10-18,1.792357187763009,0.001103346818683404,0.03734756097560976,518880,518880,1.0,0.0,0.0,-0.0658794295656453,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03734756097560976,0.03734756097560976,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-10-19,1.8002588359089151,0.004408523144746601,0.038359285985567704,518880,518880,1.0,0.0,0.0,-0.06176133741090151,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.038359285985567704,0.038359285985567704,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-10-22,1.7974451906982938,-0.0015629114850036485,0.03330809992429984,518880,518880,0.8,9.999999999999998e-05,0.19999999999999996,-0.06322772139233646,518880,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008421052631578885,0.03330809992429984,1.0,False,False,0.005,0.7,0.8,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-10-23,1.8046388428814977,0.0040021538461538775,0.042157235093049916,518880,518880,1.0,9.999999999999998e-05,0.19999999999999996,-0.05947861461453652,518880,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.042157235093049916,0.042157235093049916,0.8,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-10-24,1.8052965100982912,0.00036443148688047877,0.03977272727272729,518880,518880,1.0,0.0,0.0,-0.05913585900761764,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03977272727272729,0.03977272727272729,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-10-25,1.8145038511334006,0.0051001821493623645,0.045471769609700674,518880,518880,1.0,0.0,0.0,-0.05433728051075315,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.045471769609700674,0.045471769609700674,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-10-26,1.8131885166998136,-0.0007249003262050913,0.04037735849056601,518880,518880,1.0,0.0,0.0,-0.0550227917245909,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04037735849056601,0.04037735849056601,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-10-29,1.8105578478326394,-0.0014508523757708058,0.03652108433734935,518880,518880,1.0,0.0,0.0,-0.05639381415226652,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03652108433734935,0.03652108433734935,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-10-30,1.806611844531878,-0.002179440610243444,0.0397426192278576,518880,518880,1.0,0.0,0.0,-0.05845034779378,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0397426192278576,0.0397426192278576,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
