total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,ratio_cut,breadth_cut,risk_cap,short_ratio_cut,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
18.7431398898717,0.23498123697177475,0.21313012254455135,1.1025247588953822,-0.23540675852741133,882,1568,0.8235016011644832,0.026011560693641522,0.8,220.1393941816279,41.86824020651851,220.1393941816279,41.86824020651851,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr895_vb075_rc186_sr920,0.895,-0.025,0.186,0.92,-0.02740014433675908,-0.14155185710940432,30.26931219074561,False
18.742912816471318,0.23498023192807538,0.2131291322462333,1.1025251660884958,-0.23542459902988577,882,1568,0.8235016011644832,0.026011560693641522,0.8,220.14856824680882,41.874129412043054,220.14856824680882,41.874129412043054,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr895_vb070_rc184_sr920,0.895,-0.03,0.184,0.92,-0.027401149380458456,-0.14155144991629065,30.278486255926538,False
18.742912816471318,0.23498023192807538,0.2131291322462333,1.1025251660884958,-0.23542459902988577,882,1568,0.8235016011644832,0.026011560693641522,0.8,220.14856824680882,41.874129412043054,220.14856824680882,41.874129412043054,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr895_vb075_rc184_sr920,0.895,-0.025,0.184,0.92,-0.027401149380458456,-0.14155144991629065,30.278486255926538,False
18.742684972473814,0.23497922346285938,0.21312815545373923,1.1025254873651036,-0.2354424396607252,882,1568,0.8235016011644832,0.026011560693641522,0.8,220.15774215622136,41.880018659373754,220.15774215622136,41.880018659373754,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr895_vb070_rc182_sr920,0.895,-0.03,0.182,0.92,-0.027402157845674457,-0.1415511286396829,30.287660165339076,False
18.742684972473814,0.23497922346285938,0.21312815545373923,1.1025254873651036,-0.2354424396607252,882,1568,0.8235016011644832,0.026011560693641522,0.8,220.15774215622136,41.880018659373754,220.15774215622136,41.880018659373754,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr895_vb075_rc182_sr920,0.895,-0.025,0.182,0.92,-0.027402157845674457,-0.1415511286396829,30.287660165339076,False
18.660576084350144,0.23461509345365683,0.21304634971459413,1.1012396775065947,-0.23624509596241916,887,1582,0.8235016011644832,0.026011560693641522,0.8,220.19415701625556,41.94808029626128,220.19415701625556,41.94808029626128,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr905_vb070_rc186_sr920,0.905,-0.03,0.186,0.92,-0.027766287854877003,-0.1428369384981918,30.324075025373276,False
18.660576084350144,0.23461509345365683,0.21304634971459413,1.1012396775065947,-0.23624509596241916,887,1582,0.8235016011644832,0.026011560693641522,0.8,220.19415701625556,41.94808029626128,220.19415701625556,41.94808029626128,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr905_vb075_rc186_sr920,0.905,-0.025,0.186,0.92,-0.027766287854877003,-0.1428369384981918,30.324075025373276,False
18.660461216063467,0.23461458305574423,0.21304519669319621,1.1012432417972315,-0.23627822874270454,887,1582,0.8235016011644832,0.026011560693641522,0.8,220.2044495926313,41.95556651076551,220.2044495926313,41.95556651076551,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr905_vb070_rc184_sr920,0.905,-0.03,0.184,0.92,-0.027766798252789604,-0.14283337420755493,30.334367601749022,False
18.660461216063467,0.23461458305574423,0.21304519669319621,1.1012432417972315,-0.23627822874270454,887,1582,0.8235016011644832,0.026011560693641522,0.8,220.2044495926313,41.95556651076551,220.2044495926313,41.95556651076551,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr905_vb075_rc184_sr920,0.905,-0.025,0.184,0.92,-0.027766798252789604,-0.14283337420755493,30.334367601749022,False
18.660345493967608,0.23461406886127212,0.21304405850190902,1.1012467116475337,-0.23631136266010278,887,1582,0.8235016011644832,0.026011560693641522,0.8,220.21474222644133,41.96305302247739,220.21474222644133,41.96305302247739,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr905_vb070_rc182_sr920,0.905,-0.03,0.182,0.92,-0.027767312447261716,-0.14282990435725273,30.344660235559047,False
18.660345493967608,0.23461406886127212,0.21304405850190902,1.1012467116475337,-0.23631136266010278,887,1582,0.8235016011644832,0.026011560693641522,0.8,220.21474222644133,41.96305302247739,220.21474222644133,41.96305302247739,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr905_vb075_rc182_sr920,0.905,-0.025,0.182,0.92,-0.027767312447261716,-0.14282990435725273,30.344660235559047,False
18.599693841726626,0.2343441841886973,0.21321045021616836,1.0991214734132497,-0.23557844773616887,880,1568,0.8235016011644832,0.026011560693641522,0.8,220.2959607121276,41.92451080435302,220.2959607121276,41.92451080435302,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr895_vb065_rc186_sr920,0.895,-0.035,0.186,0.92,-0.028037197119836543,-0.14495514259153675,30.42587872124531,False
18.59898524680812,0.23434102653469435,0.21320948039133097,1.0991116628799897,-0.23560036993838618,880,1568,0.8235016011644832,0.026011560693641522,0.8,220.3066326229154,41.93173777522591,220.3066326229154,41.93173777522591,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr895_vb065_rc184_sr920,0.895,-0.035,0.184,0.92,-0.028040354773839482,-0.14496495312479674,30.436550632033118,False
18.598275960938455,0.2343378656954187,0.21320852312601557,1.0991017725727352,-0.23562229198356033,880,1568,0.8235016011644832,0.026011560693641522,0.8,220.31730459343206,41.93896469441432,220.31730459343206,41.93896469441432,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr895_vb065_rc182_sr920,0.895,-0.035,0.182,0.92,-0.028043515613115133,-0.14497484343205125,30.447222602549772,False
18.517729913007212,0.23397822954206982,0.21312670581868454,1.09783627839265,-0.23641659692272965,885,1582,0.8235016011644832,0.026011560693641522,0.8,220.35070534097463,42.004332688315195,220.35070534097463,42.004332688315195,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__trf2_vr905_vb065_rc186_sr920,0.905,-0.035,0.186,0.92,-0.02840315176646402,-0.1462403376121364,30.480623350092344,False
